February 2020 Washington County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WA-001,"Adams County",36.8,99,3.6,33.2
WA-003,"Asotin County",35.4,89,2.6,32.8
WA-005,"Benton County",40.9,104,4.3,36.6
WA-007,"Chelan County",31.6,99,3.5,28.1
WA-009,"Clallam County",39.0,75,0.8,38.2
WA-011,"Clark County",41.7,80,1.0,40.7
WA-013,"Columbia County",35.8,95,2.9,32.9
WA-015,"Cowlitz County",39.9,76,0.8,39.1
WA-017,"Douglas County",34.8,107,4.9,29.9
WA-019,"Ferry County",29.0,89,2.7,26.3
WA-021,"Franklin County",40.0,105,4.3,35.7
WA-023,"Garfield County",36.0,91,2.8,33.2
WA-025,"Grant County",37.5,104,4.7,32.8
WA-027,"Grays Harbor County",41.0,70,0.3,40.7
WA-029,"Island County",42.4,82,1.1,41.3
WA-031,"Jefferson County",36.6,74,0.6,36
WA-033,"King County",37.6,74,0.7,36.9
WA-035,"Kitsap County",42.2,81,1.0,41.2
WA-037,"Kittitas County",33.8,104,3.8,30
WA-039,"Klickitat County",38.6,113,4.6,34
WA-041,"Lewis County",36.7,57,-0.1,36.8
WA-043,"Lincoln County",34.0,97,3.6,30.4
WA-045,"Mason County",39.5,83,0.9,38.6
WA-047,"Okanogan County",29.3,93,3.2,26.1
WA-049,"Pacific County",41.8,66,0.3,41.5
WA-051,"Pend Oreille County",28.4,82,2.3,26.1
WA-053,"Pierce County",36.7,70,0.4,36.3
WA-055,"San Juan County",41.4,68,0.4,41
WA-057,"Skagit County",35.3,65,0.5,34.8
WA-059,"Skamania County",35.6,90,1.9,33.7
WA-061,"Snohomish County",35.8,59,0.1,35.7
WA-063,"Spokane County",34.7,100,3.8,30.9
WA-065,"Stevens County",31.3,96,3.2,28.1
WA-067,"Thurston County",40.6,54,-0.3,40.9
WA-069,"Wahkiakum County",41.5,67,0.3,41.2
WA-071,"Walla Walla County",40.7,104,3.9,36.8
WA-073,"Whatcom County",33.4,67,0.7,32.7
WA-075,"Whitman County",37.4,99,3.6,33.8
WA-077,"Yakima County",35.2,102,3.3,31.9
