February 2020 West Virginia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",38.5,119,6.9,31.6
WV-003,"Berkeley County",39.3,121,7.4,31.9
WV-005,"Boone County",40.0,103,4.4,35.6
WV-007,"Braxton County",39.9,110,5.7,34.2
WV-009,"Brooke County",33.8,95,3.8,30
WV-011,"Cabell County",39.2,94,3.6,35.6
WV-013,"Calhoun County",38.7,102,5.1,33.6
WV-015,"Clay County",40.0,107,5.2,34.8
WV-017,"Doddridge County",37.4,105,4.9,32.5
WV-019,"Fayette County",38.6,108,5.1,33.5
WV-021,"Gilmer County",39.3,111,5.8,33.5
WV-023,"Grant County",37.6,118,6.8,30.8
WV-025,"Greenbrier County",37.6,118,6.3,31.3
WV-027,"Hampshire County",38.5,116,6.5,32
WV-029,"Hancock County",33.2,97,3.7,29.5
WV-031,"Hardy County",38.6,118,6.9,31.7
WV-033,"Harrison County",38.6,115,6.3,32.3
WV-035,"Jackson County",38.0,92,3.7,34.3
WV-037,"Jefferson County",39.7,121,7.2,32.5
WV-039,"Kanawha County",39.9,102,4.3,35.6
WV-041,"Lewis County",39.4,112,6.2,33.2
WV-043,"Lincoln County",40.4,102,4.1,36.3
WV-045,"Logan County",40.7,102,4.3,36.4
WV-047,"McDowell County",39.9,103,4.5,35.4
WV-049,"Marion County",37.4,110,5.6,31.8
WV-051,"Marshall County",34.4,93,3.5,30.9
WV-053,"Mason County",37.5,89,3.0,34.5
WV-055,"Mercer County",38.2,102,4.4,33.8
WV-057,"Mineral County",38.4,116,6.3,32.1
WV-059,"Mingo County",41.0,100,3.9,37.1
WV-061,"Monongalia County",36.2,104,5.1,31.1
WV-063,"Monroe County",39.1,114,5.5,33.6
WV-065,"Morgan County",38.9,121,7.2,31.7
WV-067,"Nicholas County",38.5,112,5.9,32.6
WV-069,"Ohio County",34.0,94,3.8,30.2
WV-071,"Pendleton County",37.4,119,6.9,30.5
WV-073,"Pleasants County",36.4,96,4.1,32.3
WV-075,"Pocahontas County",34.3,113,5.9,28.4
WV-077,"Preston County",35.8,115,6.6,29.2
WV-079,"Putnam County",39.6,103,4.3,35.3
WV-081,"Raleigh County",38.1,106,4.8,33.3
WV-083,"Randolph County",35.1,117,6.6,28.5
WV-085,"Ritchie County",37.3,100,4.6,32.7
WV-087,"Roane County",38.6,97,4.4,34.2
WV-089,"Summers County",39.1,109,5.0,34.1
WV-091,"Taylor County",38.3,114,6.4,31.9
WV-093,"Tucker County",35.3,120,7.3,28
WV-095,"Tyler County",36.3,97,4.2,32.1
WV-097,"Upshur County",38.6,116,6.6,32
WV-099,"Wayne County",39.5,95,3.3,36.2
WV-101,"Webster County",36.6,109,5.5,31.1
WV-103,"Wetzel County",35.6,96,4.0,31.6
WV-105,"Wirt County",37.5,97,4.2,33.3
WV-107,"Wood County",37.0,96,3.9,33.1
WV-109,"Wyoming County",39.7,104,4.8,34.9
