February 2020 Wisconsin County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WI-001,"Adams County",21.0,93,3.4,17.6
WI-003,"Ashland County",15.3,88,2.6,12.7
WI-005,"Barron County",16.5,88,2.7,13.8
WI-007,"Bayfield County",16.0,92,3.3,12.7
WI-009,"Brown County",21.2,94,3.2,18
WI-011,"Buffalo County",19.7,83,2.3,17.4
WI-013,"Burnett County",16.6,90,3.4,13.2
WI-015,"Calumet County",21.3,90,3.1,18.2
WI-017,"Chippewa County",17.3,80,2.2,15.1
WI-019,"Clark County",17.9,90,3.0,14.9
WI-021,"Columbia County",23.4,96,4.0,19.4
WI-023,"Crawford County",22.3,82,2.0,20.3
WI-025,"Dane County",23.6,88,3.1,20.5
WI-027,"Dodge County",22.0,82,2.1,19.9
WI-029,"Door County",21.3,92,3.1,18.2
WI-031,"Douglas County",16.0,95,3.6,12.4
WI-033,"Dunn County",18.8,92,3.2,15.6
WI-035,"Eau Claire County",19.2,93,3.5,15.7
WI-037,"Florence County",16.0,91,2.8,13.2
WI-039,"Fond du Lac County",21.5,84,2.5,19
WI-041,"Forest County",15.5,92,2.6,12.9
WI-043,"Grant County",23.0,81,1.8,21.2
WI-045,"Green County",23.4,80,2.0,21.4
WI-047,"Green Lake County",22.1,92,3.4,18.7
WI-049,"Iowa County",22.6,81,2.2,20.4
WI-051,"Iron County",14.5,86,2.3,12.2
WI-053,"Jackson County",18.8,85,2.6,16.2
WI-055,"Jefferson County",23.4,83,2.1,21.3
WI-057,"Juneau County",20.5,89,2.8,17.7
WI-059,"Kenosha County",26.8,96,3.5,23.3
WI-061,"Kewaunee County",21.7,93,3.4,18.3
WI-063,"La Crosse County",20.3,79,1.8,18.5
WI-065,"Lafayette County",23.6,85,2.3,21.3
WI-067,"Langlade County",15.8,88,2.2,13.6
WI-069,"Lincoln County",15.6,83,2.1,13.5
WI-071,"Manitowoc County",22.2,92,3.1,19.1
WI-073,"Marathon County",17.3,89,2.7,14.6
WI-075,"Marinette County",19.0,95,3.1,15.9
WI-077,"Marquette County",22.3,93,3.9,18.4
WI-078,"Menominee County",18.4,90,3.0,15.4
WI-079,"Milwaukee County",26.2,93,3.5,22.7
WI-081,"Monroe County",19.0,77,1.6,17.4
WI-083,"Oconto County",19.3,91,2.9,16.4
WI-085,"Oneida County",14.5,78,1.7,12.8
WI-087,"Outagamie County",21.2,95,3.6,17.6
WI-089,"Ozaukee County",24.0,86,2.7,21.3
WI-091,"Pepin County",19.4,84,2.3,17.1
WI-093,"Pierce County",18.2,81,2.1,16.1
WI-095,"Polk County",17.6,93,3.6,14
WI-097,"Portage County",19.5,94,3.3,16.2
WI-099,"Price County",15.0,86,2.4,12.6
WI-101,"Racine County",26.2,96,3.4,22.8
WI-103,"Richland County",21.7,81,1.8,19.9
WI-105,"Rock County",24.2,83,2.2,22
WI-107,"Rusk County",15.9,82,2.0,13.9
WI-109,"St. Croix County",18.3,89,3.2,15.1
WI-111,"Sauk County",22.3,88,2.9,19.4
WI-113,"Sawyer County",15.0,89,3.0,12
WI-115,"Shawano County",19.2,93,3.2,16
WI-117,"Sheboygan County",22.8,89,3.0,19.8
WI-119,"Taylor County",16.6,89,2.8,13.8
WI-121,"Trempealeau County",19.7,87,2.7,17
WI-123,"Vernon County",20.6,82,1.8,18.8
WI-125,"Vilas County",13.8,80,1.7,12.1
WI-127,"Walworth County",25.0,90,3.0,22
WI-129,"Washburn County",15.5,90,2.9,12.6
WI-131,"Washington County",22.0,83,2.1,19.9
WI-133,"Waukesha County",23.9,86,2.7,21.2
WI-135,"Waupaca County",20.6,94,3.6,17
WI-137,"Waushara County",20.8,93,3.4,17.4
WI-139,"Winnebago County",21.5,91,3.2,18.3
WI-141,"Wood County",18.8,86,2.6,16.2
