February 2020 Colorado County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-001,"Adams County",28.1,39,-2.5,30.6
CO-003,"Alamosa County",26.3,77,1.8,24.5
CO-005,"Arapahoe County",27.6,39,-3.1,30.7
CO-007,"Archuleta County",28.1,83,2.1,26
CO-009,"Baca County",33.4,40,-1.8,35.2
CO-011,"Bent County",32.8,41,-1.5,34.3
CO-013,"Boulder County",25.9,38,-1.9,27.8
CO-014,"Broomfield County",30.8,43,-2.0,32.8
CO-015,"Chaffee County",21.0,59,-0.6,21.6
CO-017,"Cheyenne County",31.6,54,-0.1,31.7
CO-019,"Clear Creek County",18.8,32,-2.5,21.3
CO-021,"Conejos County",25.2,84,2.0,23.2
CO-023,"Costilla County",26.3,78,1.1,25.2
CO-025,"Crowley County",30.3,36,-2.7,33
CO-027,"Custer County",23.9,43,-1.7,25.6
CO-029,"Delta County",28.6,61,0.6,28
CO-031,"Denver County",29.4,34,-3.1,32.5
CO-033,"Dolores County",27.3,69,1.1,26.2
CO-035,"Douglas County",25.8,20,-4.6,30.4
CO-037,"Eagle County",20.6,46,-1.2,21.8
CO-039,"Elbert County",27.0,38,-2.5,29.5
CO-041,"El Paso County",27.9,31,-2.7,30.6
CO-043,"Fremont County",25.3,21,-3.9,29.2
CO-045,"Garfield County",24.4,50,-0.9,25.3
CO-047,"Gilpin County",20.9,33,-2.7,23.6
CO-049,"Grand County",16.6,28,-2.8,19.4
CO-051,"Gunnison County",20.0,62,0.2,19.8
CO-053,"Hinsdale County",20.6,75,1.4,19.2
CO-055,"Huerfano County",29.0,42,-1.6,30.6
CO-057,"Jackson County",15.8,25,-3.0,18.8
CO-059,"Jefferson County",26.0,24,-4.0,30
CO-061,"Kiowa County",31.5,44,-1.4,32.9
CO-063,"Kit Carson County",31.8,63,0.5,31.3
CO-065,"Lake County",16.9,47,-1.0,17.9
CO-067,"La Plata County",29.4,85,2.0,27.4
CO-069,"Larimer County",22.6,32,-2.1,24.7
CO-071,"Las Animas County",32.2,38,-1.8,34
CO-073,"Lincoln County",29.6,42,-1.5,31.1
CO-075,"Logan County",30.2,56,-0.0,30.2
CO-077,"Mesa County",28.7,61,0.4,28.3
CO-079,"Mineral County",21.2,75,1.3,19.9
CO-081,"Moffat County",20.8,36,-2.8,23.6
CO-083,"Montezuma County",32.6,74,1.5,31.1
CO-085,"Montrose County",30.0,71,1.2,28.8
CO-087,"Morgan County",29.4,58,0.2,29.2
CO-089,"Otero County",32.0,37,-2.8,34.8
CO-091,"Ouray County",24.5,65,0.6,23.9
CO-093,"Park County",18.9,27,-3.0,21.9
CO-095,"Phillips County",30.2,62,0.5,29.7
CO-097,"Pitkin County",20.6,56,-0.3,20.9
CO-099,"Prowers County",33.2,45,-1.1,34.3
CO-101,"Pueblo County",31.3,31,-3.2,34.5
CO-103,"Rio Blanco County",23.3,45,-1.6,24.9
CO-105,"Rio Grande County",23.6,74,1.6,22
CO-107,"Routt County",18.2,26,-2.9,21.1
CO-109,"Saguache County",21.4,59,-0.4,21.8
CO-111,"San Juan County",20.7,74,1.3,19.4
CO-113,"San Miguel County",28.1,69,0.9,27.2
CO-115,"Sedgwick County",30.3,67,0.6,29.7
CO-117,"Summit County",17.2,40,-1.4,18.6
CO-119,"Teller County",20.0,18,-4.2,24.2
CO-121,"Washington County",29.6,52,-0.5,30.1
CO-123,"Weld County",28.5,48,-1.0,29.5
CO-125,"Yuma County",31.2,60,0.4,30.8
