February 2020 Florida County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
FL-001,"Alachua County",59.6,92,2.5,57.1
FL-003,"Baker County",57.7,91,2.5,55.2
FL-005,"Bay County",57.8,100,3.3,54.5
FL-007,"Bradford County",59.1,94,2.7,56.4
FL-009,"Brevard County",66.5,108,4.7,61.8
FL-011,"Broward County",71.0,113,4.9,66.1
FL-013,"Calhoun County",57.3,102,3.5,53.8
FL-015,"Charlotte County",68.4,109,4.8,63.6
FL-017,"Citrus County",63.0,104,4.3,58.7
FL-019,"Clay County",60.6,103,4.0,56.6
FL-021,"Collier County",70.1,110,4.6,65.5
FL-023,"Columbia County",57.2,84,1.9,55.3
FL-027,"DeSoto County",67.5,107,4.6,62.9
FL-029,"Dixie County",58.7,94,2.8,55.9
FL-031,"Duval County",59.8,105,4.1,55.7
FL-033,"Escambia County",57.3,102,3.4,53.9
FL-035,"Flagler County",63.4,108,4.9,58.5
FL-037,"Franklin County",58.3,102,3.2,55.1
FL-039,"Gadsden County",56.7,97,3.1,53.6
FL-041,"Gilchrist County",58.6,93,2.4,56.2
FL-043,"Glades County",68.9,111,5.3,63.6
FL-045,"Gulf County",58.4,105,3.7,54.7
FL-047,"Hamilton County",56.8,87,2.3,54.5
FL-049,"Hardee County",66.8,106,4.6,62.2
FL-051,"Hendry County",69.8,113,5.3,64.5
FL-053,"Hernando County",64.5,109,5.0,59.5
FL-055,"Highlands County",67.4,108,4.7,62.7
FL-057,"Hillsborough County",66.1,109,4.8,61.3
FL-059,"Holmes County",56.2,100,3.1,53.1
FL-061,"Indian River County",67.5,111,5.0,62.5
FL-063,"Jackson County",56.7,99,3.0,53.7
FL-065,"Jefferson County",57.5,99,3.4,54.1
FL-067,"Lafayette County",57.8,95,2.5,55.3
FL-069,"Lake County",65.2,110,5.3,59.9
FL-071,"Lee County",69.2,109,4.8,64.4
FL-073,"Leon County",57.2,100,3.2,54
FL-075,"Levy County",60.0,96,2.9,57.1
FL-077,"Liberty County",57.5,102,3.4,54.1
FL-079,"Madison County",57.4,95,3.1,54.3
FL-081,"Manatee County",66.4,106,4.3,62.1
FL-083,"Marion County",62.5,103,4.1,58.4
FL-085,"Martin County",70.1,121,5.8,64.3
FL-086,"Miami-Dade County",72.0,116,5.3,66.7
FL-087,"Monroe County",72.6,116,5.5,67.1
FL-089,"Nassau County",58.4,102,3.6,54.8
FL-091,"Okaloosa County",56.8,100,3.4,53.4
FL-093,"Okeechobee County",68.0,111,5.1,62.9
FL-095,"Orange County",66.1,109,5.0,61.1
FL-097,"Osceola County",66.6,108,4.7,61.9
FL-099,"Palm Beach County",70.8,117,5.6,65.2
FL-101,"Pasco County",65.2,109,5.1,60.1
FL-103,"Pinellas County",66.2,109,4.7,61.5
FL-105,"Polk County",66.5,109,4.9,61.6
FL-107,"Putnam County",62.4,106,4.5,57.9
FL-109,"St. Johns County",62.0,110,4.9,57.1
FL-111,"St. Lucie County",68.7,113,5.2,63.5
FL-113,"Santa Rosa County",57.1,99,3.3,53.8
FL-115,"Sarasota County",67.0,106,4.1,62.9
FL-117,"Seminole County",65.5,108,4.7,60.8
FL-119,"Sumter County",64.2,107,4.7,59.5
FL-121,"Suwannee County",57.2,84,2.1,55.1
FL-123,"Taylor County",58.6,100,3.6,55
FL-125,"Union County",57.9,87,1.9,56
FL-127,"Volusia County",64.4,108,4.7,59.7
FL-129,"Wakulla County",57.7,101,3.1,54.6
FL-131,"Walton County",56.6,101,3.3,53.3
FL-133,"Washington County",57.0,101,3.2,53.8
