February 2020 Georgia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-001,"Appling County",55.0,94,2.9,52.1
GA-003,"Atkinson County",55.4,93,2.9,52.5
GA-005,"Bacon County",55.1,94,2.7,52.4
GA-007,"Baker County",56.0,103,3.6,52.4
GA-009,"Baldwin County",51.9,106,4.1,47.8
GA-011,"Banks County",46.5,85,2.0,44.5
GA-013,"Barrow County",46.9,87,2.3,44.6
GA-015,"Bartow County",47.1,95,3.3,43.8
GA-017,"Ben Hill County",55.2,108,4.3,50.9
GA-019,"Berrien County",55.3,96,3.1,52.2
GA-021,"Bibb County",51.9,104,3.7,48.2
GA-023,"Bleckley County",52.8,100,3.2,49.6
GA-025,"Brantley County",55.3,89,2.3,53
GA-027,"Brooks County",56.0,92,2.8,53.2
GA-029,"Bryan County",56.0,106,3.8,52.2
GA-031,"Bulloch County",54.6,105,3.7,50.9
GA-033,"Burke County",52.7,107,4.0,48.7
GA-035,"Butts County",51.1,111,4.9,46.2
GA-037,"Calhoun County",55.2,103,3.5,51.7
GA-039,"Camden County",56.7,92,2.6,54.1
GA-043,"Candler County",54.1,101,3.4,50.7
GA-045,"Carroll County",48.4,105,4.2,44.2
GA-047,"Catoosa County",46.3,98,3.8,42.5
GA-049,"Charlton County",57.0,95,2.9,54.1
GA-051,"Chatham County",56.3,106,4.1,52.2
GA-053,"Chattahoochee County",51.7,91,2.4,49.3
GA-055,"Chattooga County",46.4,93,3.0,43.4
GA-057,"Cherokee County",46.4,96,3.3,43.1
GA-059,"Clarke County",47.3,87,2.2,45.1
GA-061,"Clay County",53.8,90,2.5,51.3
GA-063,"Clayton County",49.2,102,4.1,45.1
GA-065,"Clinch County",56.0,89,2.4,53.6
GA-067,"Cobb County",47.6,99,3.8,43.8
GA-069,"Coffee County",55.3,100,3.5,51.8
GA-071,"Colquitt County",55.1,93,2.8,52.3
GA-073,"Columbia County",51.2,103,3.9,47.3
GA-075,"Cook County",55.3,91,2.8,52.5
GA-077,"Coweta County",49.8,107,4.5,45.3
GA-079,"Crawford County",51.7,101,3.6,48.1
GA-081,"Crisp County",54.9,110,4.9,50
GA-083,"Dade County",45.1,94,3.4,41.7
GA-085,"Dawson County",44.8,93,2.7,42.1
GA-087,"Decatur County",56.4,97,3.2,53.2
GA-089,"DeKalb County",48.3,98,3.9,44.4
GA-091,"Dodge County",54.0,105,3.8,50.2
GA-093,"Dooly County",53.7,109,4.2,49.5
GA-095,"Dougherty County",55.8,106,4.2,51.6
GA-097,"Douglas County",48.4,104,4.3,44.1
GA-099,"Early County",55.4,97,3.1,52.3
GA-101,"Echols County",56.4,87,2.4,54
GA-103,"Effingham County",55.2,106,4.1,51.1
GA-105,"Elbert County",48.1,100,3.2,44.9
GA-107,"Emanuel County",53.1,100,3.1,50
GA-109,"Evans County",55.1,100,3.4,51.7
GA-111,"Fannin County",42.9,95,3.2,39.7
GA-113,"Fayette County",50.0,107,4.7,45.3
GA-115,"Floyd County",47.1,91,3.0,44.1
GA-117,"Forsyth County",46.0,93,2.9,43.1
GA-119,"Franklin County",46.5,85,1.9,44.6
GA-121,"Fulton County",48.2,102,4.0,44.2
GA-123,"Gilmer County",43.3,92,2.6,40.7
GA-125,"Glascock County",51.0,99,3.2,47.8
GA-127,"Glynn County",55.8,89,2.1,53.7
GA-129,"Gordon County",46.3,91,2.8,43.5
GA-131,"Grady County",56.2,96,3.0,53.2
GA-133,"Greene County",49.7,103,3.5,46.2
GA-135,"Gwinnett County",47.0,96,3.0,44
GA-137,"Habersham County",45.3,89,2.3,43
GA-139,"Hall County",46.1,91,2.5,43.6
GA-141,"Hancock County",50.9,103,3.6,47.3
GA-143,"Haralson County",47.8,105,4.2,43.6
GA-145,"Harris County",50.4,93,2.9,47.5
GA-147,"Hart County",47.2,95,2.8,44.4
GA-149,"Heard County",48.9,98,3.6,45.3
GA-151,"Henry County",49.9,105,4.3,45.6
GA-153,"Houston County",52.5,101,3.4,49.1
GA-155,"Irwin County",55.3,105,4.1,51.2
GA-157,"Jackson County",46.8,84,2.1,44.7
GA-159,"Jasper County",51.7,115,5.6,46.1
GA-161,"Jeff Davis County",54.8,100,3.3,51.5
GA-163,"Jefferson County",51.5,96,3.0,48.5
GA-165,"Jenkins County",53.2,106,3.9,49.3
GA-167,"Johnson County",52.3,96,2.8,49.5
GA-169,"Jones County",51.9,107,4.5,47.4
GA-171,"Lamar County",51.3,109,4.6,46.7
GA-173,"Lanier County",55.6,91,2.6,53
GA-175,"Laurens County",53.2,100,3.3,49.9
GA-177,"Lee County",55.0,108,4.2,50.8
GA-179,"Liberty County",56.2,104,3.5,52.7
GA-181,"Lincoln County",49.8,101,3.6,46.2
GA-183,"Long County",55.9,98,3.1,52.8
GA-185,"Lowndes County",56.0,92,2.6,53.4
GA-187,"Lumpkin County",44.5,97,3.1,41.4
GA-189,"McDuffie County",50.7,101,3.7,47
GA-191,"McIntosh County",56.2,95,2.9,53.3
GA-193,"Macon County",52.5,102,3.5,49
GA-195,"Madison County",46.9,91,2.2,44.7
GA-197,"Marion County",51.4,91,2.6,48.8
GA-199,"Meriwether County",50.4,104,4.0,46.4
GA-201,"Miller County",56.0,99,3.3,52.7
GA-205,"Mitchell County",55.8,100,3.4,52.4
GA-207,"Monroe County",51.6,109,4.5,47.1
GA-209,"Montgomery County",54.2,101,3.3,50.9
GA-211,"Morgan County",50.5,112,4.7,45.8
GA-213,"Murray County",45.4,93,3.1,42.3
GA-215,"Muscogee County",51.4,91,2.5,48.9
GA-217,"Newton County",50.1,112,4.7,45.4
GA-219,"Oconee County",48.1,96,2.7,45.4
GA-221,"Oglethorpe County",47.9,95,2.7,45.2
GA-223,"Paulding County",47.6,102,3.8,43.8
GA-225,"Peach County",51.9,100,3.4,48.5
GA-227,"Pickens County",44.8,91,2.7,42.1
GA-229,"Pierce County",55.3,90,2.5,52.8
GA-231,"Pike County",51.1,108,4.5,46.6
GA-233,"Polk County",48.0,103,4.0,44
GA-235,"Pulaski County",53.3,102,3.5,49.8
GA-237,"Putnam County",51.8,114,5.2,46.6
GA-239,"Quitman County",52.8,88,2.3,50.5
GA-241,"Rabun County",43.7,94,2.7,41
GA-243,"Randolph County",53.6,95,3.0,50.6
GA-245,"Richmond County",52.4,108,4.2,48.2
GA-247,"Rockdale County",49.1,105,4.1,45
GA-249,"Schley County",52.2,97,3.1,49.1
GA-251,"Screven County",53.7,107,4.0,49.7
GA-253,"Seminole County",56.4,99,3.2,53.2
GA-255,"Spalding County",50.8,105,4.6,46.2
GA-257,"Stephens County",46.1,82,1.6,44.5
GA-259,"Stewart County",52.2,89,2.5,49.7
GA-261,"Sumter County",53.6,105,3.8,49.8
GA-263,"Talbot County",50.8,96,3.0,47.8
GA-265,"Taliaferro County",49.6,101,3.3,46.3
GA-267,"Tattnall County",55.0,99,3.1,51.9
GA-269,"Taylor County",51.5,98,3.2,48.3
GA-271,"Telfair County",54.8,105,3.9,50.9
GA-273,"Terrell County",54.4,104,3.7,50.7
GA-275,"Thomas County",56.1,93,2.9,53.2
GA-277,"Tift County",55.1,103,3.7,51.4
GA-279,"Toombs County",54.4,97,3.1,51.3
GA-281,"Towns County",43.0,101,3.4,39.6
GA-283,"Treutlen County",53.5,100,3.2,50.3
GA-285,"Troup County",49.6,97,3.3,46.3
GA-287,"Turner County",54.9,109,4.4,50.5
GA-289,"Twiggs County",52.2,100,3.3,48.9
GA-291,"Union County",43.0,100,3.4,39.6
GA-293,"Upson County",51.4,103,4.1,47.3
GA-295,"Walker County",45.9,96,3.6,42.3
GA-297,"Walton County",48.6,103,3.6,45
GA-299,"Ware County",55.9,90,2.5,53.4
GA-301,"Warren County",50.4,101,3.4,47
GA-303,"Washington County",51.6,97,2.9,48.7
