March 2020 Idaho County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-001,"Ada County",44.4,93,2.1,42.3
ID-003,"Adams County",35.3,96,2.5,32.8
ID-005,"Bannock County",37.2,103,3.9,33.3
ID-007,"Bear Lake County",32.4,106,5.0,27.4
ID-009,"Benewah County",36.4,63,0.2,36.2
ID-011,"Bingham County",37.0,103,4.0,33
ID-013,"Blaine County",33.5,95,3.2,30.3
ID-015,"Boise County",35.1,93,2.6,32.5
ID-017,"Bonner County",33.9,60,0.1,33.8
ID-019,"Bonneville County",34.0,106,4.4,29.6
ID-021,"Boundary County",31.8,69,0.7,31.1
ID-023,"Butte County",33.2,99,3.6,29.6
ID-025,"Camas County",32.6,100,3.5,29.1
ID-027,"Canyon County",44.9,84,1.5,43.4
ID-029,"Caribou County",33.5,103,4.0,29.5
ID-031,"Cassia County",38.1,98,3.1,35
ID-033,"Clark County",31.1,103,3.9,27.2
ID-035,"Clearwater County",35.3,79,1.2,34.1
ID-037,"Custer County",29.6,94,3.0,26.6
ID-039,"Elmore County",39.5,105,3.5,36
ID-041,"Franklin County",36.1,101,4.2,31.9
ID-043,"Fremont County",31.3,107,4.7,26.6
ID-045,"Gem County",41.2,87,1.8,39.4
ID-047,"Gooding County",40.5,97,3.1,37.4
ID-049,"Idaho County",33.4,85,1.6,31.8
ID-051,"Jefferson County",35.2,101,4.1,31.1
ID-053,"Jerome County",41.9,106,3.8,38.1
ID-055,"Kootenai County",36.0,67,0.2,35.8
ID-057,"Latah County",37.7,68,0.6,37.1
ID-059,"Lemhi County",30.2,84,1.9,28.3
ID-061,"Lewis County",36.6,67,0.3,36.3
ID-063,"Lincoln County",38.5,97,3.5,35
ID-065,"Madison County",34.7,107,4.9,29.8
ID-067,"Minidoka County",39.1,101,3.9,35.2
ID-069,"Nez Perce County",40.1,67,0.5,39.6
ID-071,"Oneida County",37.9,102,3.7,34.2
ID-073,"Owyhee County",39.2,92,2.2,37
ID-075,"Payette County",43.5,78,1.3,42.2
ID-077,"Power County",37.8,101,3.3,34.5
ID-079,"Shoshone County",33.0,66,0.4,32.6
ID-081,"Teton County",31.8,111,5.0,26.8
ID-083,"Twin Falls County",39.6,90,2.4,37.2
ID-085,"Valley County",30.9,93,2.7,28.2
ID-087,"Washington County",40.4,97,2.6,37.8
