March 2020 Illinois County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",44.9,104,4.5,40.4
IL-003,"Alexander County",52.0,114,5.6,46.4
IL-005,"Bond County",46.7,102,3.9,42.8
IL-007,"Boone County",39.5,109,5.1,34.4
IL-009,"Brown County",44.8,103,4.5,40.3
IL-011,"Bureau County",40.9,104,4.4,36.5
IL-013,"Calhoun County",46.6,101,4.2,42.4
IL-015,"Carroll County",40.5,111,5.7,34.8
IL-017,"Cass County",44.7,103,4.2,40.5
IL-019,"Champaign County",43.1,103,4.2,38.9
IL-021,"Christian County",45.0,102,4.1,40.9
IL-023,"Clark County",45.2,101,4.0,41.2
IL-025,"Clay County",47.5,108,4.7,42.8
IL-027,"Clinton County",47.8,105,4.4,43.4
IL-029,"Coles County",44.5,103,3.9,40.6
IL-031,"Cook County",41.1,107,4.8,36.3
IL-033,"Crawford County",46.9,107,4.7,42.2
IL-035,"Cumberland County",45.4,102,4.1,41.3
IL-037,"DeKalb County",39.2,100,4.0,35.2
IL-039,"De Witt County",43.8,106,4.9,38.9
IL-041,"Douglas County",44.2,105,4.4,39.8
IL-043,"DuPage County",40.6,107,4.7,35.9
IL-045,"Edgar County",44.2,100,4.0,40.2
IL-047,"Edwards County",48.8,111,4.9,43.9
IL-049,"Effingham County",46.2,104,4.4,41.8
IL-051,"Fayette County",46.3,101,4.0,42.3
IL-053,"Ford County",42.6,106,4.6,38
IL-055,"Franklin County",49.4,109,4.8,44.6
IL-057,"Fulton County",43.4,102,4.1,39.3
IL-059,"Gallatin County",50.9,112,5.3,45.6
IL-061,"Greene County",46.1,101,4.0,42.1
IL-063,"Grundy County",41.1,102,4.1,37
IL-065,"Hamilton County",49.5,111,5.0,44.5
IL-067,"Hancock County",44.0,104,4.6,39.4
IL-069,"Hardin County",51.5,110,5.5,46
IL-071,"Henderson County",42.7,102,4.4,38.3
IL-073,"Henry County",41.3,106,4.7,36.6
IL-075,"Iroquois County",42.7,108,4.8,37.9
IL-077,"Jackson County",49.7,106,4.8,44.9
IL-079,"Jasper County",46.9,109,4.8,42.1
IL-081,"Jefferson County",48.6,108,4.7,43.9
IL-083,"Jersey County",47.0,103,4.4,42.6
IL-085,"Jo Daviess County",39.6,110,5.5,34.1
IL-087,"Johnson County",51.4,112,5.8,45.6
IL-089,"Kane County",39.6,104,4.2,35.4
IL-091,"Kankakee County",41.6,104,4.3,37.3
IL-093,"Kendall County",40.5,102,4.0,36.5
IL-095,"Knox County",41.6,103,4.1,37.5
IL-097,"Lake County",39.9,109,5.2,34.7
IL-099,"LaSalle County",40.9,102,4.1,36.8
IL-101,"Lawrence County",48.0,110,4.9,43.1
IL-103,"Lee County",40.2,107,4.7,35.5
IL-105,"Livingston County",41.7,103,4.3,37.4
IL-107,"Logan County",44.5,108,4.8,39.7
IL-109,"McDonough County",43.1,101,4.1,39
IL-111,"McHenry County",39.3,110,5.1,34.2
IL-113,"McLean County",43.0,106,5.1,37.9
IL-115,"Macon County",44.6,106,4.7,39.9
IL-117,"Macoupin County",45.9,100,4.1,41.8
IL-119,"Madison County",47.9,106,4.7,43.2
IL-121,"Marion County",47.4,107,4.3,43.1
IL-123,"Marshall County",42.0,104,4.4,37.6
IL-125,"Mason County",44.5,106,4.4,40.1
IL-127,"Massac County",52.7,113,6.3,46.4
IL-129,"Menard County",44.6,105,4.4,40.2
IL-131,"Mercer County",41.7,101,4.4,37.3
IL-133,"Monroe County",50.1,111,5.6,44.5
IL-135,"Montgomery County",45.4,98,3.7,41.7
IL-137,"Morgan County",45.0,102,4.3,40.7
IL-139,"Moultrie County",44.5,103,4.2,40.3
IL-141,"Ogle County",40.1,110,5.3,34.8
IL-143,"Peoria County",43.0,105,4.8,38.2
IL-145,"Perry County",49.0,107,4.8,44.2
IL-147,"Piatt County",43.7,105,4.5,39.2
IL-149,"Pike County",45.6,101,4.3,41.3
IL-151,"Pope County",51.7,110,5.8,45.9
IL-153,"Pulaski County",52.3,114,5.9,46.4
IL-155,"Putnam County",41.6,103,4.1,37.5
IL-157,"Randolph County",49.5,109,5.1,44.4
IL-159,"Richland County",47.9,111,4.8,43.1
IL-161,"Rock Island County",41.7,107,5.0,36.7
IL-163,"St. Clair County",49.0,109,5.0,44
IL-165,"Saline County",50.6,111,5.3,45.3
IL-167,"Sangamon County",44.8,104,4.3,40.5
IL-169,"Schuyler County",44.4,102,4.4,40
IL-171,"Scott County",45.5,101,4.2,41.3
IL-173,"Shelby County",45.1,102,4.0,41.1
IL-175,"Stark County",41.6,104,4.5,37.1
IL-177,"Stephenson County",39.4,110,5.5,33.9
IL-179,"Tazewell County",43.8,107,5.0,38.8
IL-181,"Union County",50.9,112,5.4,45.5
IL-183,"Vermilion County",43.2,103,4.0,39.2
IL-185,"Wabash County",48.9,111,5.0,43.9
IL-187,"Warren County",41.8,100,4.1,37.7
IL-189,"Washington County",48.4,107,4.6,43.8
IL-191,"Wayne County",48.6,111,4.9,43.7
IL-193,"White County",49.9,111,5.1,44.8
IL-195,"Whiteside County",41.1,110,5.3,35.8
IL-197,"Will County",41.0,102,4.0,37
IL-199,"Williamson County",50.2,109,5.2,45
IL-201,"Winnebago County",39.8,109,5.3,34.5
IL-203,"Woodford County",42.5,106,4.9,37.6
