March 2020 Indiana County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",42.4,108,5.3,37.1
IN-003,"Allen County",41.6,108,4.9,36.7
IN-005,"Bartholomew County",47.4,112,5.8,41.6
IN-007,"Benton County",42.3,104,4.6,37.7
IN-009,"Blackford County",43.1,106,5.0,38.1
IN-011,"Boone County",43.5,108,5.3,38.2
IN-013,"Brown County",46.5,112,5.6,40.9
IN-015,"Carroll County",42.6,104,4.5,38.1
IN-017,"Cass County",41.7,102,4.1,37.6
IN-019,"Clark County",49.9,115,6.3,43.6
IN-021,"Clay County",45.0,103,4.4,40.6
IN-023,"Clinton County",43.0,106,4.9,38.1
IN-025,"Crawford County",48.7,110,5.0,43.7
IN-027,"Daviess County",48.0,113,5.7,42.3
IN-029,"Dearborn County",47.7,115,6.2,41.5
IN-031,"Decatur County",46.7,110,5.7,41
IN-033,"DeKalb County",41.0,109,5.3,35.7
IN-035,"Delaware County",44.4,110,5.8,38.6
IN-037,"Dubois County",48.6,113,5.4,43.2
IN-039,"Elkhart County",40.0,104,4.6,35.4
IN-041,"Fayette County",45.2,113,5.8,39.4
IN-043,"Floyd County",50.3,115,6.5,43.8
IN-045,"Fountain County",43.7,106,4.7,39
IN-047,"Franklin County",46.1,113,5.7,40.4
IN-049,"Fulton County",41.2,106,4.7,36.5
IN-051,"Gibson County",49.3,112,5.2,44.1
IN-053,"Grant County",42.9,108,4.6,38.3
IN-055,"Greene County",46.2,107,5.1,41.1
IN-057,"Hamilton County",43.9,108,5.0,38.9
IN-059,"Hancock County",44.8,109,5.2,39.6
IN-061,"Harrison County",50.1,114,6.1,44
IN-063,"Hendricks County",44.2,106,5.0,39.2
IN-065,"Henry County",44.5,112,5.9,38.6
IN-067,"Howard County",42.4,104,4.3,38.1
IN-069,"Huntington County",42.1,106,4.8,37.3
IN-071,"Jackson County",47.9,111,5.7,42.2
IN-073,"Jasper County",41.1,101,4.0,37.1
IN-075,"Jay County",43.2,108,5.4,37.8
IN-077,"Jefferson County",48.9,115,6.3,42.6
IN-079,"Jennings County",48.0,114,5.9,42.1
IN-081,"Johnson County",45.7,110,5.4,40.3
IN-083,"Knox County",48.0,110,5.2,42.8
IN-085,"Kosciusko County",40.9,105,4.8,36.1
IN-087,"LaGrange County",40.2,108,5.0,35.2
IN-089,"Lake County",40.4,100,3.7,36.7
IN-091,"LaPorte County",39.9,99,3.9,36
IN-093,"Lawrence County",47.2,110,5.4,41.8
IN-095,"Madison County",44.4,109,5.4,39
IN-097,"Marion County",44.6,107,4.8,39.8
IN-099,"Marshall County",40.5,105,4.7,35.8
IN-101,"Martin County",47.8,112,5.8,42
IN-103,"Miami County",42.0,104,4.4,37.6
IN-105,"Monroe County",46.0,109,5.2,40.8
IN-107,"Montgomery County",43.7,107,5.2,38.5
IN-109,"Morgan County",45.6,110,5.3,40.3
IN-111,"Newton County",41.9,103,4.6,37.3
IN-113,"Noble County",40.6,108,5.0,35.6
IN-115,"Ohio County",48.8,116,6.6,42.2
IN-117,"Orange County",48.2,110,5.5,42.7
IN-119,"Owen County",45.1,104,4.6,40.5
IN-121,"Parke County",44.5,105,4.7,39.8
IN-123,"Perry County",48.8,104,4.1,44.7
IN-125,"Pike County",48.7,113,5.5,43.2
IN-127,"Porter County",39.9,99,3.6,36.3
IN-129,"Posey County",50.4,111,5.1,45.3
IN-131,"Pulaski County",41.0,103,4.2,36.8
IN-133,"Putnam County",44.4,107,4.8,39.6
IN-135,"Randolph County",44.0,112,6.1,37.9
IN-137,"Ripley County",47.3,114,6.0,41.3
IN-139,"Rush County",45.4,111,5.7,39.7
IN-141,"St. Joseph County",39.9,102,4.4,35.5
IN-143,"Scott County",48.9,115,6.1,42.8
IN-145,"Shelby County",46.1,109,5.5,40.6
IN-147,"Spencer County",49.2,104,4.2,45
IN-149,"Starke County",40.5,102,4.2,36.3
IN-151,"Steuben County",40.3,111,5.6,34.7
IN-153,"Sullivan County",46.2,104,4.6,41.6
IN-155,"Switzerland County",49.4,116,6.8,42.6
IN-157,"Tippecanoe County",43.6,108,5.3,38.3
IN-159,"Tipton County",43.1,107,4.8,38.3
IN-161,"Union County",45.1,112,5.6,39.5
IN-163,"Vanderburgh County",50.3,111,5.1,45.2
IN-165,"Vermillion County",44.3,104,4.3,40
IN-167,"Vigo County",45.3,102,4.4,40.9
IN-169,"Wabash County",42.2,106,4.7,37.5
IN-171,"Warren County",43.0,104,4.5,38.5
IN-173,"Warrick County",49.5,110,5.0,44.5
IN-175,"Washington County",48.4,113,5.9,42.5
IN-177,"Wayne County",44.5,113,5.9,38.6
IN-179,"Wells County",42.4,107,5.1,37.3
IN-181,"White County",42.1,104,4.5,37.6
IN-183,"Whitley County",41.1,106,4.6,36.5
