March 2020 Kansas County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KS-001,"Allen County",50.5,113,5.6,44.9
KS-003,"Anderson County",49.7,113,5.6,44.1
KS-005,"Atchison County",47.2,111,5.8,41.4
KS-007,"Barber County",49.8,105,4.8,45
KS-009,"Barton County",46.9,102,4.7,42.2
KS-011,"Bourbon County",50.6,112,5.5,45.1
KS-013,"Brown County",46.4,112,5.9,40.5
KS-015,"Butler County",49.8,111,5.4,44.4
KS-017,"Chase County",48.3,109,5.1,43.2
KS-019,"Chautauqua County",52.2,116,5.6,46.6
KS-021,"Cherokee County",52.8,116,5.9,46.9
KS-023,"Cheyenne County",44.4,112,5.7,38.7
KS-025,"Clark County",50.2,109,5.4,44.8
KS-027,"Clay County",47.2,111,5.5,41.7
KS-029,"Cloud County",46.4,111,5.4,41
KS-031,"Coffey County",49.3,113,5.4,43.9
KS-033,"Comanche County",50.1,109,5.2,44.9
KS-035,"Cowley County",51.3,111,5.5,45.8
KS-037,"Crawford County",51.4,112,5.5,45.9
KS-039,"Decatur County",45.2,115,6.2,39
KS-041,"Dickinson County",48.1,112,5.6,42.5
KS-043,"Doniphan County",46.9,111,5.7,41.2
KS-045,"Douglas County",49.0,112,5.8,43.2
KS-047,"Edwards County",48.2,108,5.4,42.8
KS-049,"Elk County",51.1,113,5.6,45.5
KS-051,"Ellis County",46.7,107,5.4,41.3
KS-053,"Ellsworth County",47.3,108,5.0,42.3
KS-055,"Finney County",47.6,114,6.1,41.5
KS-057,"Ford County",48.4,110,5.5,42.9
KS-059,"Franklin County",49.6,113,6.0,43.6
KS-061,"Geary County",47.8,111,5.5,42.3
KS-063,"Gove County",46.6,114,6.2,40.4
KS-065,"Graham County",46.2,109,5.8,40.4
KS-067,"Grant County",48.8,116,6.1,42.7
KS-069,"Gray County",48.1,113,5.8,42.3
KS-071,"Greeley County",46.0,115,6.1,39.9
KS-073,"Greenwood County",49.8,112,5.4,44.4
KS-075,"Hamilton County",48.0,118,6.3,41.7
KS-077,"Harper County",50.4,102,4.8,45.6
KS-079,"Harvey County",49.6,112,5.7,43.9
KS-081,"Haskell County",48.4,114,5.8,42.6
KS-083,"Hodgeman County",48.2,112,5.8,42.4
KS-085,"Jackson County",47.0,111,5.7,41.3
KS-087,"Jefferson County",47.8,110,5.6,42.2
KS-089,"Jewell County",44.4,106,4.7,39.7
KS-091,"Johnson County",48.9,113,6.0,42.9
KS-093,"Kearny County",48.0,115,6.4,41.6
KS-095,"Kingman County",49.2,102,4.6,44.6
KS-097,"Kiowa County",48.9,108,5.2,43.7
KS-099,"Labette County",52.8,119,5.9,46.9
KS-101,"Lane County",47.0,114,6.3,40.7
KS-103,"Leavenworth County",48.6,113,6.2,42.4
KS-105,"Lincoln County",47.1,109,5.4,41.7
KS-107,"Linn County",50.2,113,5.8,44.4
KS-109,"Logan County",46.1,111,6.1,40
KS-111,"Lyon County",48.2,110,5.1,43.1
KS-113,"McPherson County",48.7,112,5.7,43
KS-115,"Marion County",48.7,112,5.6,43.1
KS-117,"Marshall County",44.7,104,4.5,40.2
KS-119,"Meade County",49.9,111,5.6,44.3
KS-121,"Miami County",49.5,114,5.9,43.6
KS-123,"Mitchell County",46.0,109,5.0,41
KS-125,"Montgomery County",52.9,118,5.9,47
KS-127,"Morris County",47.7,112,5.4,42.3
KS-129,"Morton County",50.1,118,6.7,43.4
KS-131,"Nemaha County",45.2,108,5.1,40.1
KS-133,"Neosho County",51.3,112,5.4,45.9
KS-135,"Ness County",47.4,110,5.6,41.8
KS-137,"Norton County",45.1,109,5.7,39.4
KS-139,"Osage County",49.4,113,6.3,43.1
KS-141,"Osborne County",46.0,105,5.1,40.9
KS-143,"Ottawa County",47.6,111,5.7,41.9
KS-145,"Pawnee County",47.5,105,5.1,42.4
KS-147,"Phillips County",45.3,106,5.4,39.9
KS-149,"Pottawatomie County",46.8,110,5.4,41.4
KS-151,"Pratt County",48.3,103,4.6,43.7
KS-153,"Rawlins County",44.5,110,5.7,38.8
KS-155,"Reno County",48.7,106,4.8,43.9
KS-157,"Republic County",44.7,108,5.0,39.7
KS-159,"Rice County",47.8,104,4.9,42.9
KS-161,"Riley County",47.3,110,5.5,41.8
KS-163,"Rooks County",46.4,107,5.6,40.8
KS-165,"Rush County",47.0,105,5.1,41.9
KS-167,"Russell County",46.8,105,5.1,41.7
KS-169,"Saline County",48.2,109,5.6,42.6
KS-171,"Scott County",46.8,115,6.3,40.5
KS-173,"Sedgwick County",50.2,111,5.4,44.8
KS-175,"Seward County",49.9,115,6.1,43.8
KS-177,"Shawnee County",48.6,113,6.1,42.5
KS-179,"Sheridan County",46.0,115,6.5,39.5
KS-181,"Sherman County",44.6,114,6.1,38.5
KS-183,"Smith County",44.8,105,4.8,40
KS-185,"Stafford County",47.5,103,4.6,42.9
KS-187,"Stanton County",48.9,116,6.2,42.7
KS-189,"Stevens County",49.8,117,6.4,43.4
KS-191,"Sumner County",51.1,111,5.3,45.8
KS-193,"Thomas County",45.0,112,6.1,38.9
KS-195,"Trego County",46.5,108,5.5,41
KS-197,"Wabaunsee County",48.5,114,6.3,42.2
KS-199,"Wallace County",45.4,115,6.1,39.3
KS-201,"Washington County",45.2,106,5.1,40.1
KS-203,"Wichita County",46.6,117,6.4,40.2
KS-205,"Wilson County",51.6,114,5.6,46
KS-207,"Woodson County",50.3,113,5.5,44.8
KS-209,"Wyandotte County",48.9,114,6.2,42.7
