March 2020 Arizona County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-001,"Apache County",43.3,104,3.4,39.9
AZ-003,"Cochise County",53.0,85,1.6,51.4
AZ-005,"Coconino County",44.1,88,2.2,41.9
AZ-007,"Gila County",50.3,83,1.7,48.6
AZ-009,"Graham County",52.3,86,1.7,50.6
AZ-011,"Greenlee County",49.0,97,2.6,46.4
AZ-012,"La Paz County",60.0,51,-0.4,60.4
AZ-013,"Maricopa County",59.6,65,0.5,59.1
AZ-015,"Mohave County",50.9,55,-0.0,50.9
AZ-017,"Navajo County",44.4,99,3.1,41.3
AZ-019,"Pima County",57.6,69,0.8,56.8
AZ-021,"Pinal County",58.8,76,1.3,57.5
AZ-023,"Santa Cruz County",51.8,75,1.0,50.8
AZ-025,"Yavapai County",48.9,65,0.8,48.1
AZ-027,"Yuma County",61.4,52,-0.2,61.6
