March 2020 Mississippi County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",66.9,123,8.6,58.3
MS-003,"Alcorn County",58.1,120,7.3,50.8
MS-005,"Amite County",67.4,125,9.3,58.1
MS-007,"Attala County",62.6,122,8.0,54.6
MS-009,"Benton County",58.0,117,6.8,51.2
MS-011,"Bolivar County",59.4,115,5.3,54.1
MS-013,"Calhoun County",60.9,119,7.2,53.7
MS-015,"Carroll County",62.8,123,8.4,54.4
MS-017,"Chickasaw County",61.3,121,7.6,53.7
MS-019,"Choctaw County",61.8,122,7.9,53.9
MS-021,"Claiborne County",66.9,126,9.4,57.5
MS-023,"Clarke County",66.5,126,9.9,56.6
MS-025,"Clay County",62.3,121,8.1,54.2
MS-027,"Coahoma County",59.1,116,5.8,53.3
MS-029,"Copiah County",66.9,126,9.6,57.3
MS-031,"Covington County",66.9,126,9.5,57.4
MS-033,"DeSoto County",58.3,117,6.2,52.1
MS-035,"Forrest County",67.8,126,9.5,58.3
MS-037,"Franklin County",66.8,124,9.0,57.8
MS-039,"George County",68.6,126,9.8,58.8
MS-041,"Greene County",68.0,126,9.7,58.3
MS-043,"Grenada County",61.7,120,7.6,54.1
MS-045,"Hancock County",69.1,126,9.6,59.5
MS-047,"Harrison County",69.0,126,9.6,59.4
MS-049,"Hinds County",66.8,126,10.0,56.8
MS-051,"Holmes County",64.0,123,8.6,55.4
MS-053,"Humphreys County",63.8,123,8.0,55.8
MS-055,"Issaquena County",63.8,123,7.7,56.1
MS-057,"Itawamba County",60.5,122,8.0,52.5
MS-059,"Jackson County",69.2,126,9.8,59.4
MS-061,"Jasper County",66.6,126,10.2,56.4
MS-063,"Jefferson County",66.5,124,8.8,57.7
MS-065,"Jefferson Davis County",66.7,126,9.2,57.5
MS-067,"Jones County",67.4,126,9.9,57.5
MS-069,"Kemper County",64.3,124,9.0,55.3
MS-071,"Lafayette County",59.5,117,6.6,52.9
MS-073,"Lamar County",67.5,126,9.3,58.2
MS-075,"Lauderdale County",65.8,126,10.0,55.8
MS-077,"Lawrence County",66.9,125,9.2,57.7
MS-079,"Leake County",63.6,123,8.5,55.1
MS-081,"Lee County",60.8,122,7.9,52.9
MS-083,"Leflore County",63.1,123,8.2,54.9
MS-085,"Lincoln County",66.6,125,9.1,57.5
MS-087,"Lowndes County",62.9,123,8.4,54.5
MS-089,"Madison County",65.0,123,8.7,56.3
MS-091,"Marion County",67.6,126,9.2,58.4
MS-093,"Marshall County",58.3,117,6.5,51.8
MS-095,"Monroe County",61.4,121,7.7,53.7
MS-097,"Montgomery County",61.4,120,7.4,54
MS-099,"Neshoba County",63.3,124,8.4,54.9
MS-101,"Newton County",65.2,126,9.7,55.5
MS-103,"Noxubee County",63.8,123,8.9,54.9
MS-105,"Oktibbeha County",63.0,123,8.6,54.4
MS-107,"Panola County",59.4,117,6.3,53.1
MS-109,"Pearl River County",68.5,126,9.8,58.7
MS-111,"Perry County",68.2,126,9.9,58.3
MS-113,"Pike County",67.6,126,9.6,58
MS-115,"Pontotoc County",60.4,120,7.5,52.9
MS-117,"Prentiss County",59.3,121,7.7,51.6
MS-119,"Quitman County",59.5,116,6.0,53.5
MS-121,"Rankin County",65.9,125,9.5,56.4
MS-123,"Scott County",64.7,124,9.1,55.6
MS-125,"Sharkey County",63.6,122,7.6,56
MS-127,"Simpson County",66.4,126,9.6,56.8
MS-129,"Smith County",66.3,126,9.9,56.4
MS-131,"Stone County",68.5,126,9.8,58.7
MS-133,"Sunflower County",61.4,117,6.7,54.7
MS-135,"Tallahatchie County",61.0,116,7.0,54
MS-137,"Tate County",58.8,117,6.3,52.5
MS-139,"Tippah County",58.4,119,7.2,51.2
MS-141,"Tishomingo County",58.4,121,7.5,50.9
MS-143,"Tunica County",58.6,115,5.8,52.8
MS-145,"Union County",59.7,119,7.4,52.3
MS-147,"Walthall County",67.6,126,9.4,58.2
MS-149,"Warren County",66.7,126,9.8,56.9
MS-151,"Washington County",61.0,117,5.8,55.2
MS-153,"Wayne County",66.6,126,9.2,57.4
MS-155,"Webster County",61.4,122,7.6,53.8
MS-157,"Wilkinson County",67.3,123,8.5,58.8
MS-159,"Winston County",62.8,123,8.5,54.3
MS-161,"Yalobusha County",60.6,118,7.1,53.5
MS-163,"Yazoo County",65.2,123,8.8,56.4
