March 2020 Missouri County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MO-001,"Adair County",44.2,106,4.9,39.3
MO-003,"Andrew County",46.0,107,5.6,40.4
MO-005,"Atchison County",45.6,111,6.2,39.4
MO-007,"Audrain County",46.4,108,4.9,41.5
MO-009,"Barry County",51.8,113,5.5,46.3
MO-011,"Barton County",51.1,110,5.0,46.1
MO-013,"Bates County",50.3,113,5.7,44.6
MO-015,"Benton County",49.5,113,5.5,44
MO-017,"Bollinger County",50.6,107,4.7,45.9
MO-019,"Boone County",48.2,113,5.6,42.6
MO-021,"Buchanan County",47.1,111,5.8,41.3
MO-023,"Butler County",52.8,113,4.8,48
MO-025,"Caldwell County",46.1,108,5.3,40.8
MO-027,"Callaway County",48.1,110,5.2,42.9
MO-029,"Camden County",49.9,112,5.4,44.5
MO-031,"Cape Girardeau County",51.1,112,5.2,45.9
MO-033,"Carroll County",46.4,104,4.5,41.9
MO-035,"Carter County",52.1,115,5.9,46.2
MO-037,"Cass County",49.7,116,6.7,43
MO-039,"Cedar County",51.1,114,5.6,45.5
MO-041,"Chariton County",46.7,107,4.9,41.8
MO-043,"Christian County",50.4,111,5.3,45.1
MO-045,"Clark County",43.7,101,4.2,39.5
MO-047,"Clay County",48.4,118,6.6,41.8
MO-049,"Clinton County",46.8,114,6.1,40.7
MO-051,"Cole County",49.0,108,4.9,44.1
MO-053,"Cooper County",48.3,110,5.3,43
MO-055,"Crawford County",48.5,108,4.9,43.6
MO-057,"Dade County",51.1,111,5.4,45.7
MO-059,"Dallas County",49.8,111,5.3,44.5
MO-061,"Daviess County",45.2,104,4.7,40.5
MO-063,"DeKalb County",45.4,104,5.1,40.3
MO-065,"Dent County",48.9,106,4.8,44.1
MO-067,"Douglas County",50.9,113,5.7,45.2
MO-069,"Dunklin County",54.3,112,5.2,49.1
MO-071,"Franklin County",48.6,107,5.1,43.5
MO-073,"Gasconade County",48.3,107,4.9,43.4
MO-075,"Gentry County",45.4,110,5.9,39.5
