March 2020 Montana County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MT-001,"Beaverhead County",28.1,85,2.2,25.9
MT-003,"Big Horn County",35.2,85,2.9,32.3
MT-005,"Blaine County",29.5,71,1.3,28.2
MT-007,"Broadwater County",32.0,67,1.1,30.9
MT-009,"Carbon County",33.0,89,2.9,30.1
MT-011,"Carter County",35.0,101,5.2,29.8
MT-013,"Cascade County",30.6,55,0.1,30.5
MT-015,"Chouteau County",31.0,59,0.3,30.7
MT-017,"Custer County",35.8,101,4.7,31.1
MT-019,"Daniels County",28.4,87,4.7,23.7
MT-021,"Dawson County",33.1,92,4.5,28.6
MT-023,"Deer Lodge County",28.5,80,2.0,26.5
MT-025,"Fallon County",34.0,100,4.9,29.1
MT-027,"Fergus County",32.0,69,1.1,30.9
MT-029,"Flathead County",29.8,68,0.9,28.9
MT-031,"Gallatin County",30.1,85,2.6,27.5
MT-033,"Garfield County",32.6,80,2.4,30.2
MT-035,"Glacier County",26.1,55,-0.5,26.6
MT-037,"Golden Valley County",33.2,71,1.4,31.8
MT-039,"Granite County",30.1,79,1.9,28.2
MT-041,"Hill County",28.1,62,0.6,27.5
MT-043,"Jefferson County",30.7,74,1.8,28.9
MT-045,"Judith Basin County",29.8,61,1.0,28.8
MT-047,"Lake County",34.5,75,1.5,33
MT-049,"Lewis and Clark County",29.5,61,0.6,28.9
MT-051,"Liberty County",28.2,59,0.2,28
MT-053,"Lincoln County",32.2,71,0.9,31.3
MT-055,"McCone County",32.6,90,4.4,28.2
MT-057,"Madison County",29.9,82,2.4,27.5
MT-059,"Meagher County",29.4,76,2.2,27.2
MT-061,"Mineral County",32.1,62,0.2,31.9
MT-063,"Missoula County",32.5,73,1.5,31
MT-065,"Musselshell County",34.6,75,1.8,32.8
MT-067,"Park County",29.4,86,2.8,26.6
MT-069,"Petroleum County",34.4,80,1.8,32.6
MT-071,"Phillips County",30.7,78,2.0,28.7
MT-073,"Pondera County",28.8,56,0.2,28.6
MT-075,"Powder River County",36.3,98,4.2,32.1
MT-077,"Powell County",29.8,77,1.7,28.1
MT-079,"Prairie County",34.0,94,4.3,29.7
MT-081,"Ravalli County",31.8,78,1.5,30.3
MT-083,"Richland County",32.9,95,5.4,27.5
MT-085,"Roosevelt County",31.5,92,5.4,26.1
MT-087,"Rosebud County",34.9,85,3.1,31.8
MT-089,"Sanders County",32.9,59,0.0,32.9
MT-091,"Sheridan County",30.2,96,6.1,24.1
MT-093,"Silver Bow County",29.9,82,2.4,27.5
MT-095,"Stillwater County",32.4,71,1.2,31.2
MT-097,"Sweet Grass County",31.8,73,1.7,30.1
MT-099,"Teton County",29.1,55,0.1,29
MT-101,"Toole County",29.1,60,0.6,28.5
MT-103,"Treasure County",35.5,81,2.7,32.8
MT-105,"Valley County",29.8,82,3.5,26.3
MT-107,"Wheatland County",31.8,73,1.7,30.1
MT-109,"Wibaux County",33.0,93,4.3,28.7
MT-111,"Yellowstone County",35.6,76,1.9,33.7
