March 2020 Nevada County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NV-001,"Churchill County",41.3,59,-0.0,41.3
NV-003,"Clark County",52.6,51,-0.3,52.9
NV-005,"Douglas County",37.1,41,-1.4,38.5
NV-007,"Elko County",36.7,91,2.4,34.3
NV-009,"Esmeralda County",41.8,66,0.6,41.2
NV-011,"Eureka County",37.2,87,1.9,35.3
NV-013,"Humboldt County",39.4,76,0.9,38.5
NV-015,"Lander County",38.0,75,0.9,37.1
NV-017,"Lincoln County",43.5,55,-0.1,43.6
NV-019,"Lyon County",40.1,44,-1.0,41.1
NV-021,"Mineral County",39.4,58,0.2,39.2
NV-023,"Nye County",41.4,71,1.0,40.4
NV-027,"Pershing County",40.3,65,-0.0,40.3
NV-029,"Storey County",39.0,49,-0.7,39.7
NV-031,"Washoe County",38.2,60,-0.2,38.4
NV-033,"White Pine County",36.4,88,2.1,34.3
NV-510,"Carson City",38.7,45,-1.0,39.7
