March 2020 North Carolina County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NC-001,"Alamance County",55.6,122,6.8,48.8
NC-003,"Alexander County",54.3,122,6.3,48
NC-005,"Alleghany County",48.9,122,7.4,41.5
NC-007,"Anson County",58.4,121,6.8,51.6
NC-009,"Ashe County",47.4,122,7.0,40.4
NC-011,"Avery County",47.5,123,7.8,39.7
NC-013,"Beaufort County",58.0,122,6.4,51.6
NC-015,"Bertie County",56.5,121,6.5,50
NC-017,"Bladen County",58.8,119,5.7,53.1
NC-019,"Brunswick County",59.9,122,6.3,53.6
NC-021,"Buncombe County",51.5,122,7.3,44.2
NC-023,"Burke County",54.4,122,6.7,47.7
NC-025,"Cabarrus County",57.2,122,7.1,50.1
NC-027,"Caldwell County",54.1,122,6.9,47.2
NC-029,"Camden County",56.4,123,7.3,49.1
NC-031,"Carteret County",58.3,120,5.6,52.7
NC-033,"Caswell County",54.7,121,6.6,48.1
NC-035,"Catawba County",55.6,123,6.8,48.8
NC-037,"Chatham County",57.0,122,6.9,50.1
NC-039,"Cherokee County",53.2,121,6.5,46.7
NC-041,"Chowan County",56.8,122,6.7,50.1
NC-043,"Clay County",52.2,122,6.9,45.3
NC-045,"Cleveland County",55.7,119,6.3,49.4
NC-047,"Columbus County",59.3,120,5.7,53.6
NC-049,"Craven County",58.3,122,6.3,52
NC-051,"Cumberland County",58.4,121,6.0,52.4
NC-053,"Currituck County",56.4,123,7.4,49
NC-055,"Dare County",57.4,122,6.7,50.7
NC-057,"Davidson County",55.9,122,7.2,48.7
NC-059,"Davie County",55.6,123,7.6,48
NC-061,"Duplin County",57.5,116,5.4,52.1
NC-063,"Durham County",55.6,122,6.7,48.9
NC-065,"Edgecombe County",56.9,122,6.8,50.1
NC-067,"Forsyth County",55.2,122,7.6,47.6
NC-069,"Franklin County",55.8,123,7.0,48.8
NC-071,"Gaston County",57.2,122,7.4,49.8
NC-073,"Gates County",56.3,123,7.0,49.3
NC-075,"Graham County",51.3,121,6.7,44.6
NC-077,"Granville County",54.8,122,6.9,47.9
NC-079,"Greene County",57.4,120,6.1,51.3
NC-081,"Guilford County",55.1,122,6.9,48.2
NC-083,"Halifax County",55.8,122,6.9,48.9
NC-085,"Harnett County",57.7,121,6.2,51.5
NC-087,"Haywood County",48.5,122,7.0,41.5
NC-089,"Henderson County",52.4,122,6.5,45.9
NC-091,"Hertford County",56.1,123,6.7,49.4
NC-093,"Hoke County",58.3,121,6.3,52
NC-095,"Hyde County",58.2,121,6.3,51.9
NC-097,"Iredell County",55.6,123,7.3,48.3
NC-099,"Jackson County",49.9,122,6.8,43.1
NC-101,"Johnston County",57.0,118,5.8,51.2
NC-103,"Jones County",58.0,122,6.1,51.9
NC-105,"Lee County",57.8,122,7.0,50.8
NC-107,"Lenoir County",57.2,119,5.5,51.7
NC-109,"Lincoln County",56.4,123,7.3,49.1
NC-111,"McDowell County",54.3,123,7.5,46.8
NC-113,"Macon County",50.9,122,6.7,44.2
NC-115,"Madison County",51.8,121,7.2,44.6
NC-117,"Martin County",57.1,121,6.6,50.5
NC-119,"Mecklenburg County",57.6,122,7.4,50.2
NC-121,"Mitchell County",48.9,123,7.5,41.4
NC-123,"Montgomery County",58.0,122,7.4,50.6
NC-125,"Moore County",58.2,122,7.3,50.9
NC-127,"Nash County",56.4,122,7.0,49.4
NC-129,"New Hanover County",60.0,122,6.6,53.4
NC-131,"Northampton County",55.6,122,6.8,48.8
NC-133,"Onslow County",58.8,122,6.3,52.5
NC-135,"Orange County",55.2,122,6.5,48.7
NC-137,"Pamlico County",58.4,122,6.0,52.4
NC-139,"Pasquotank County",56.6,123,7.2,49.4
NC-141,"Pender County",59.1,122,6.2,52.9
NC-143,"Perquimans County",56.7,122,6.9,49.8
NC-145,"Person County",53.8,120,6.3,47.5
NC-147,"Pitt County",57.7,122,6.5,51.2
NC-149,"Polk County",55.4,119,6.0,49.4
NC-151,"Randolph County",56.3,122,6.8,49.5
NC-153,"Richmond County",58.7,121,7.0,51.7
NC-155,"Robeson County",58.6,116,5.3,53.3
NC-157,"Rockingham County",54.7,122,6.8,47.9
NC-159,"Rowan County",56.4,123,7.4,49
NC-161,"Rutherford County",55.5,119,6.2,49.3
NC-163,"Sampson County",57.6,117,5.4,52.2
NC-165,"Scotland County",58.6,121,6.4,52.2
NC-167,"Stanly County",57.9,122,7.2,50.7
NC-169,"Stokes County",54.5,122,7.5,47
NC-171,"Surry County",53.3,122,7.1,46.2
NC-173,"Swain County",49.6,122,6.9,42.7
NC-175,"Transylvania County",51.6,122,6.8,44.8
NC-177,"Tyrrell County",57.5,122,6.6,50.9
NC-179,"Union County",57.9,122,6.9,51
NC-181,"Vance County",55.3,123,7.3,48
NC-183,"Wake County",56.5,122,6.5,50
NC-185,"Warren County",55.4,123,7.3,48.1
NC-187,"Washington County",57.3,121,6.7,50.6
NC-189,"Watauga County",48.0,122,7.5,40.5
NC-191,"Wayne County",57.2,118,5.7,51.5
NC-193,"Wilkes County",53.6,122,7.0,46.6
NC-195,"Wilson County",57.2,121,6.5,50.7
NC-197,"Yadkin County",54.7,123,7.5,47.2
NC-199,"Yancey County",49.0,123,7.8,41.2
