March 2020 Ohio County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",48.6,115,6.5,42.1
OH-003,"Allen County",42.9,110,5.4,37.5
OH-005,"Ashland County",42.7,115,6.4,36.3
OH-007,"Ashtabula County",41.8,117,7.6,34.2
OH-009,"Athens County",47.6,117,6.5,41.1
OH-011,"Auglaize County",42.9,108,5.2,37.7
OH-013,"Belmont County",45.4,117,6.3,39.1
OH-015,"Brown County",48.0,114,6.5,41.5
OH-017,"Butler County",46.5,112,5.8,40.7
OH-019,"Carroll County",44.0,118,6.7,37.3
OH-021,"Champaign County",44.1,111,5.8,38.3
OH-023,"Clark County",45.3,113,6.2,39.1
OH-025,"Clermont County",48.1,114,6.5,41.6
OH-027,"Clinton County",46.5,115,6.5,40
OH-029,"Columbiana County",43.4,117,6.7,36.7
OH-031,"Coshocton County",44.4,114,6.1,38.3
OH-033,"Crawford County",42.5,113,6.0,36.5
OH-035,"Cuyahoga County",43.4,118,7.4,36
OH-037,"Darke County",44.5,113,6.2,38.3
OH-039,"Defiance County",41.6,109,5.1,36.5
OH-041,"Delaware County",44.6,112,5.8,38.8
OH-043,"Erie County",42.4,113,5.7,36.7
OH-045,"Fairfield County",46.2,114,6.2,40
OH-047,"Fayette County",46.1,115,6.4,39.7
OH-049,"Franklin County",45.9,113,5.9,40
OH-051,"Fulton County",41.0,111,5.3,35.7
OH-053,"Gallia County",48.5,113,5.6,42.9
OH-055,"Geauga County",41.7,117,7.4,34.3
OH-057,"Greene County",46.2,114,6.4,39.8
OH-059,"Guernsey County",44.6,112,5.4,39.2
OH-061,"Hamilton County",48.0,114,6.3,41.7
OH-063,"Hancock County",43.4,114,6.2,37.2
OH-065,"Hardin County",44.0,116,6.7,37.3
OH-067,"Harrison County",44.6,117,6.4,38.2
OH-069,"Henry County",42.0,110,5.3,36.7
OH-071,"Highland County",47.3,115,6.8,40.5
OH-073,"Hocking County",46.8,117,6.5,40.3
OH-075,"Holmes County",43.3,113,6.1,37.2
OH-077,"Huron County",42.0,112,5.6,36.4
OH-079,"Jackson County",48.1,116,6.4,41.7
OH-081,"Jefferson County",44.8,117,6.2,38.6
OH-083,"Knox County",43.0,112,5.5,37.5
OH-085,"Lake County",42.5,117,7.5,35
OH-087,"Lawrence County",49.3,115,6.0,43.3
OH-089,"Licking County",44.7,114,5.9,38.8
OH-091,"Logan County",43.0,110,5.5,37.5
OH-093,"Lorain County",43.0,114,6.4,36.6
OH-095,"Lucas County",42.5,115,5.9,36.6
OH-097,"Madison County",45.3,114,6.1,39.2
OH-099,"Mahoning County",42.7,117,6.9,35.8
OH-101,"Marion County",43.9,112,6.2,37.7
OH-103,"Medina County",43.4,117,7.0,36.4
OH-105,"Meigs County",47.8,113,5.6,42.2
OH-107,"Mercer County",42.8,108,5.2,37.6
OH-109,"Miami County",45.3,113,6.3,39
OH-111,"Monroe County",46.1,116,6.1,40
OH-113,"Montgomery County",46.1,114,6.3,39.8
OH-115,"Morgan County",46.8,115,6.4,40.4
OH-117,"Morrow County",42.6,110,5.5,37.1
OH-119,"Muskingum County",45.9,115,6.5,39.4
OH-121,"Noble County",45.9,115,6.0,39.9
OH-123,"Ottawa County",42.5,113,5.7,36.8
OH-125,"Paulding County",42.1,109,5.1,37
OH-127,"Perry County",46.1,116,6.4,39.7
OH-129,"Pickaway County",46.7,115,6.0,40.7
OH-131,"Pike County",48.3,116,6.7,41.6
OH-133,"Portage County",43.0,118,7.7,35.3
OH-135,"Preble County",44.8,112,5.8,39
OH-137,"Putnam County",42.6,110,5.3,37.3
OH-139,"Richland County",42.3,115,6.3,36
OH-141,"Ross County",47.6,115,6.6,41
OH-143,"Sandusky County",42.4,111,5.4,37
OH-145,"Scioto County",48.7,116,6.4,42.3
OH-147,"Seneca County",42.4,110,5.6,36.8
OH-149,"Shelby County",43.5,110,5.5,38
OH-151,"Stark County",44.2,118,7.7,36.5
OH-153,"Summit County",44.3,119,8.1,36.2
OH-155,"Trumbull County",42.3,117,7.3,35
OH-157,"Tuscarawas County",44.5,116,6.4,38.1
OH-159,"Union County",44.2,112,5.8,38.4
OH-161,"Van Wert County",42.2,107,4.8,37.4
OH-163,"Vinton County",47.5,117,6.5,41
OH-165,"Warren County",47.0,114,6.2,40.8
OH-167,"Washington County",47.9,117,6.6,41.3
OH-169,"Wayne County",43.3,117,6.6,36.7
OH-171,"Williams County",40.8,112,5.3,35.5
OH-173,"Wood County",42.8,114,5.8,37
OH-175,"Wyandot County",44.2,116,6.9,37.3
