March 2020 Oklahoma County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",55.1,117,6.2,48.9
OK-003,"Alfalfa County",51.6,107,4.8,46.8
OK-005,"Atoka County",59.3,120,6.8,52.5
OK-007,"Beaver County",51.5,116,6.1,45.4
OK-009,"Beckham County",55.3,118,6.4,48.9
OK-011,"Blaine County",53.8,113,5.7,48.1
OK-013,"Bryan County",60.5,122,7.3,53.2
OK-015,"Caddo County",55.5,115,5.9,49.6
OK-017,"Canadian County",55.2,119,6.4,48.8
OK-019,"Carter County",58.9,115,6.1,52.8
OK-021,"Cherokee County",55.7,117,6.2,49.5
OK-023,"Choctaw County",59.7,120,6.8,52.9
OK-025,"Cimarron County",49.0,111,5.6,43.4
OK-027,"Cleveland County",56.5,117,6.2,50.3
OK-029,"Coal County",58.8,120,6.5,52.3
OK-031,"Comanche County",56.7,112,5.4,51.3
OK-033,"Cotton County",58.0,110,5.4,52.6
OK-035,"Craig County",54.0,118,6.0,48
OK-037,"Creek County",56.0,119,6.4,49.6
OK-039,"Custer County",54.1,116,6.0,48.1
OK-041,"Delaware County",54.4,116,6.0,48.4
OK-043,"Dewey County",53.1,114,5.9,47.2
OK-045,"Ellis County",52.6,116,6.4,46.2
OK-047,"Garfield County",53.4,113,5.7,47.7
OK-049,"Garvin County",57.7,114,6.0,51.7
OK-051,"Grady County",56.6,119,6.4,50.2
OK-053,"Grant County",52.3,113,5.5,46.8
OK-055,"Greer County",56.0,116,5.9,50.1
OK-057,"Harmon County",56.2,113,5.7,50.5
OK-059,"Harper County",51.7,112,5.6,46.1
OK-061,"Haskell County",57.9,119,6.5,51.4
OK-063,"Hughes County",57.6,115,6.4,51.2
OK-065,"Jackson County",56.9,115,5.8,51.1
OK-067,"Jefferson County",59.0,116,5.8,53.2
OK-069,"Johnston County",59.4,120,6.8,52.6
OK-071,"Kay County",53.2,115,5.9,47.3
OK-073,"Kingfisher County",54.5,111,5.6,48.9
OK-075,"Kiowa County",56.0,115,5.8,50.2
OK-077,"Latimer County",58.0,116,6.5,51.5
OK-079,"Le Flore County",57.5,118,6.6,50.9
OK-081,"Lincoln County",55.8,112,5.8,50
OK-083,"Logan County",54.9,114,5.8,49.1
OK-085,"Love County",59.9,118,6.4,53.5
OK-087,"McClain County",56.9,116,6.3,50.6
OK-089,"McCurtain County",59.5,121,7.6,51.9
OK-091,"McIntosh County",57.8,116,6.5,51.3
OK-093,"Major County",52.7,108,5.2,47.5
OK-095,"Marshall County",60.3,122,7.0,53.3
OK-097,"Mayes County",54.9,116,5.7,49.2
OK-099,"Murray County",58.2,115,6.0,52.2
OK-101,"Muskogee County",57.4,118,6.6,50.8
OK-103,"Noble County",54.4,115,6.1,48.3
OK-105,"Nowata County",54.2,118,6.3,47.9
OK-107,"Okfuskee County",56.9,116,6.2,50.7
OK-109,"Oklahoma County",55.8,116,6.1,49.7
OK-111,"Okmulgee County",57.2,118,6.5,50.7
OK-113,"Osage County",54.3,118,6.3,48
OK-115,"Ottawa County",54.4,120,6.7,47.7
OK-117,"Pawnee County",55.2,119,6.5,48.7
OK-119,"Payne County",55.2,114,6.1,49.1
OK-121,"Pittsburg County",58.0,113,6.2,51.8
OK-123,"Pontotoc County",57.9,117,6.3,51.6
OK-125,"Pottawatomie County",56.7,116,6.0,50.7
OK-127,"Pushmataha County",58.9,119,7.1,51.8
OK-129,"Roger Mills County",54.2,118,6.6,47.6
OK-131,"Rogers County",55.2,120,6.3,48.9
OK-133,"Seminole County",57.0,117,6.1,50.9
OK-135,"Sequoyah County",57.2,119,6.5,50.7
OK-137,"Stephens County",57.7,113,5.7,52
OK-139,"Texas County",51.1,115,6.4,44.7
OK-141,"Tillman County",57.4,112,5.4,52
OK-143,"Tulsa County",56.2,119,6.8,49.4
OK-145,"Wagoner County",56.4,117,6.3,50.1
OK-147,"Washington County",54.5,118,6.6,47.9
OK-149,"Washita County",54.8,113,5.7,49.1
OK-151,"Woods County",51.3,107,5.1,46.2
OK-153,"Woodward County",52.2,113,5.9,46.3
