March 2020 Pennsylvania County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",46.0,119,6.4,39.6
PA-003,"Allegheny County",45.9,118,7.1,38.8
PA-005,"Armstrong County",43.8,119,7.3,36.5
PA-007,"Beaver County",44.6,117,6.5,38.1
PA-009,"Bedford County",44.8,120,6.9,37.9
PA-011,"Berks County",45.1,119,6.6,38.5
PA-013,"Blair County",42.8,118,6.5,36.3
PA-015,"Bradford County",39.1,115,6.1,33
PA-017,"Bucks County",45.8,119,7.1,38.7
PA-019,"Butler County",43.1,117,6.6,36.5
PA-021,"Cambria County",41.1,117,6.3,34.8
PA-023,"Cameron County",40.5,116,6.4,34.1
PA-025,"Carbon County",40.4,117,6.3,34.1
PA-027,"Centre County",41.3,114,5.4,35.9
PA-029,"Chester County",46.2,119,6.6,39.6
PA-031,"Clarion County",42.5,119,7.9,34.6
PA-033,"Clearfield County",41.2,118,6.7,34.5
PA-035,"Clinton County",40.6,113,5.2,35.4
PA-037,"Columbia County",41.0,115,5.6,35.4
PA-039,"Crawford County",41.0,118,7.6,33.4
PA-041,"Cumberland County",45.8,117,6.4,39.4
PA-043,"Dauphin County",45.0,118,6.7,38.3
PA-045,"Delaware County",47.7,120,6.7,41
PA-047,"Elk County",40.8,120,7.8,33
PA-049,"Erie County",41.0,119,7.8,33.2
PA-051,"Fayette County",45.6,119,7.2,38.4
PA-053,"Forest County",41.4,121,8.2,33.2
PA-055,"Franklin County",45.8,118,6.4,39.4
PA-057,"Fulton County",45.9,122,6.9,39
PA-059,"Greene County",46.5,118,7.0,39.5
PA-061,"Huntingdon County",44.2,117,6.4,37.8
PA-063,"Indiana County",42.9,118,6.7,36.2
PA-065,"Jefferson County",41.8,119,7.8,34
PA-067,"Juniata County",44.1,114,5.5,38.6
PA-069,"Lackawanna County",39.8,118,7.0,32.8
PA-071,"Lancaster County",46.3,119,6.9,39.4
PA-073,"Lawrence County",43.1,116,6.5,36.6
PA-075,"Lebanon County",45.1,119,6.9,38.2
PA-077,"Lehigh County",44.4,119,6.9,37.5
PA-079,"Luzerne County",40.3,117,6.6,33.7
PA-081,"Lycoming County",40.5,115,5.8,34.7
PA-083,"McKean County",39.5,119,7.6,31.9
PA-085,"Mercer County",42.0,118,7.3,34.7
PA-087,"Mifflin County",43.3,114,5.4,37.9
PA-089,"Monroe County",40.1,117,6.7,33.4
PA-091,"Montgomery County",46.4,120,6.8,39.6
PA-093,"Montour County",42.0,114,5.3,36.7
PA-095,"Northampton County",43.7,119,7.1,36.6
PA-097,"Northumberland County",42.4,115,5.5,36.9
PA-099,"Perry County",44.8,117,6.1,38.7
PA-101,"Philadelphia County",48.2,121,7.2,41
PA-103,"Pike County",39.5,117,6.4,33.1
PA-105,"Potter County",38.6,116,6.2,32.4
PA-107,"Schuylkill County",41.7,115,6.0,35.7
PA-109,"Snyder County",43.0,114,5.3,37.7
PA-111,"Somerset County",42.5,118,7.2,35.3
PA-113,"Sullivan County",37.8,115,6.0,31.8
PA-115,"Susquehanna County",38.6,115,6.2,32.4
PA-117,"Tioga County",38.7,115,6.3,32.4
PA-119,"Union County",42.0,114,5.2,36.8
PA-121,"Venango County",42.0,119,7.9,34.1
PA-123,"Warren County",40.4,120,8.0,32.4
PA-125,"Washington County",45.9,118,7.0,38.9
PA-127,"Wayne County",38.6,116,6.3,32.3
PA-129,"Westmoreland County",45.0,118,6.9,38.1
PA-131,"Wyoming County",40.1,117,6.8,33.3
PA-133,"York County",46.5,121,7.1,39.4
