March 2020 Texas County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-001,"Anderson County",64.1,121,7.1,57
TX-003,"Andrews County",58.6,115,5.3,53.3
TX-005,"Angelina County",66.5,125,8.1,58.4
TX-007,"Aransas County",72.2,126,9.0,63.2
TX-009,"Archer County",59.4,115,5.9,53.5
TX-011,"Armstrong County",53.6,116,5.9,47.7
TX-013,"Atascosa County",69.9,125,6.8,63.1
TX-015,"Austin County",70.0,125,9.5,60.5
TX-017,"Bailey County",53.1,116,5.6,47.5
TX-019,"Bandera County",66.3,125,7.3,59
TX-021,"Bastrop County",68.0,125,8.3,59.7
TX-023,"Baylor County",58.9,110,5.6,53.3
TX-025,"Bee County",72.4,126,8.7,63.7
TX-027,"Bell County",65.3,125,7.9,57.4
TX-029,"Bexar County",68.3,125,6.9,61.4
TX-031,"Blanco County",66.0,125,7.8,58.2
TX-033,"Borden County",58.6,109,4.7,53.9
TX-035,"Bosque County",63.7,124,7.2,56.5
TX-037,"Bowie County",60.9,118,6.6,54.3
TX-039,"Brazoria County",71.2,126,9.6,61.6
TX-041,"Brazos County",68.0,125,9.0,59
TX-043,"Brewster County",63.5,122,6.0,57.5
TX-045,"Briscoe County",54.7,112,5.4,49.3
TX-047,"Brooks County",75.5,126,8.9,66.6
TX-049,"Brown County",63.3,125,7.7,55.6
TX-051,"Burleson County",67.9,125,8.8,59.1
TX-053,"Burnet County",64.9,125,7.0,57.9
TX-055,"Caldwell County",69.0,125,8.8,60.2
TX-057,"Calhoun County",71.7,126,9.2,62.5
TX-059,"Callahan County",61.2,120,6.5,54.7
TX-061,"Cameron County",76.4,126,8.1,68.3
TX-063,"Camp County",61.8,118,6.7,55.1
TX-065,"Carson County",52.7,117,6.5,46.2
TX-067,"Cass County",61.4,117,5.9,55.5
TX-069,"Castro County",51.8,108,5.0,46.8
TX-071,"Chambers County",69.9,126,9.1,60.8
TX-073,"Cherokee County",64.4,122,7.1,57.3
TX-075,"Childress County",56.5,110,5.5,51
TX-077,"Clay County",59.6,117,6.2,53.4
TX-079,"Cochran County",54.0,114,5.3,48.7
TX-081,"Coke County",62.1,121,6.8,55.3
TX-083,"Coleman County",63.2,125,7.6,55.6
TX-085,"Collin County",61.8,123,7.3,54.5
TX-087,"Collingsworth County",54.6,110,5.2,49.4
TX-089,"Colorado County",70.5,126,9.6,60.9
TX-091,"Comal County",67.2,125,7.4,59.8
TX-093,"Comanche County",62.9,125,7.5,55.4
TX-095,"Concho County",63.3,123,7.4,55.9
TX-097,"Cooke County",60.6,119,6.6,54
TX-099,"Coryell County",63.6,124,6.8,56.8
TX-101,"Cottle County",57.4,112,5.4,52
TX-103,"Crane County",63.0,121,6.6,56.4
