March 2020 West Virginia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",48.0,119,7.9,40.1
WV-003,"Berkeley County",47.8,120,6.9,40.9
WV-005,"Boone County",50.3,115,6.4,43.9
WV-007,"Braxton County",49.1,118,6.4,42.7
WV-009,"Brooke County",45.5,117,6.5,39
WV-011,"Cabell County",50.4,116,6.1,44.3
WV-013,"Calhoun County",48.3,115,6.1,42.2
WV-015,"Clay County",49.7,116,6.5,43.2
WV-017,"Doddridge County",47.4,117,6.2,41.2
WV-019,"Fayette County",48.3,116,6.6,41.7
WV-021,"Gilmer County",48.2,115,6.0,42.2
WV-023,"Grant County",46.6,123,7.3,39.3
WV-025,"Greenbrier County",46.7,123,7.3,39.4
WV-027,"Hampshire County",47.3,119,6.5,40.8
WV-029,"Hancock County",44.6,117,6.0,38.6
WV-031,"Hardy County",46.9,120,6.6,40.3
WV-033,"Harrison County",48.2,118,7.2,41
WV-035,"Jackson County",49.1,116,6.1,43
WV-037,"Jefferson County",48.3,120,6.9,41.4
WV-039,"Kanawha County",50.4,116,6.4,44
WV-041,"Lewis County",48.5,118,6.7,41.8
WV-043,"Lincoln County",51.0,115,6.2,44.8
WV-045,"Logan County",50.7,114,6.0,44.7
WV-047,"McDowell County",49.8,117,6.6,43.2
WV-049,"Marion County",47.6,117,7.1,40.5
WV-051,"Marshall County",46.2,116,6.4,39.8
WV-053,"Mason County",48.8,113,5.5,43.3
WV-055,"Mercer County",47.5,115,6.0,41.5
WV-057,"Mineral County",47.5,119,6.6,40.9
WV-059,"Mingo County",51.2,114,5.8,45.4
WV-061,"Monongalia County",46.8,118,6.9,39.9
WV-063,"Monroe County",48.4,123,6.8,41.6
WV-065,"Morgan County",47.3,119,6.8,40.5
WV-067,"Nicholas County",47.8,118,6.9,40.9
WV-069,"Ohio County",45.8,118,6.7,39.1
WV-071,"Pendleton County",46.1,123,7.5,38.6
WV-073,"Pleasants County",47.9,118,6.6,41.3
WV-075,"Pocahontas County",43.3,120,7.0,36.3
WV-077,"Preston County",45.5,120,7.7,37.8
WV-079,"Putnam County",50.0,116,6.1,43.9
WV-081,"Raleigh County",48.2,117,6.7,41.5
WV-083,"Randolph County",44.3,120,7.7,36.6
WV-085,"Ritchie County",47.9,117,6.4,41.5
WV-087,"Roane County",49.0,115,6.2,42.8
WV-089,"Summers County",48.9,116,6.7,42.2
WV-091,"Taylor County",48.1,119,7.5,40.6
WV-093,"Tucker County",44.4,122,8.2,36.2
WV-095,"Tyler County",47.4,117,6.4,41
WV-097,"Upshur County",47.8,119,7.3,40.5
WV-099,"Wayne County",51.0,114,6.2,44.8
WV-101,"Webster County",45.7,117,6.3,39.4
WV-103,"Wetzel County",46.7,117,6.3,40.4
WV-105,"Wirt County",48.5,117,6.4,42.1
WV-107,"Wood County",48.9,117,6.8,42.1
WV-109,"Wyoming County",49.5,116,6.5,43
