March 2020 Wisconsin County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WI-001,"Adams County",35.9,113,6.4,29.5
WI-003,"Ashland County",29.8,109,5.4,24.4
WI-005,"Barron County",32.7,110,5.9,26.8
WI-007,"Bayfield County",30.7,111,6.0,24.7
WI-009,"Brown County",34.9,113,5.9,29
WI-011,"Buffalo County",37.2,114,7.1,30.1
WI-013,"Burnett County",32.3,110,6.0,26.3
WI-015,"Calumet County",35.7,116,6.2,29.5
WI-017,"Chippewa County",34.2,114,6.5,27.7
WI-019,"Clark County",34.4,114,7.0,27.4
WI-021,"Columbia County",37.2,112,6.1,31.1
WI-023,"Crawford County",38.2,114,5.9,32.3
WI-025,"Dane County",37.9,111,5.7,32.2
WI-027,"Dodge County",36.5,109,5.1,31.4
WI-029,"Door County",33.0,109,4.8,28.2
WI-031,"Douglas County",30.9,110,6.0,24.9
WI-033,"Dunn County",35.3,114,6.7,28.6
WI-035,"Eau Claire County",35.9,115,7.4,28.5
WI-037,"Florence County",30.5,114,6.3,24.2
WI-039,"Fond du Lac County",36.2,114,5.8,30.4
WI-041,"Forest County",30.0,113,6.0,24
WI-043,"Grant County",38.3,107,5.2,33.1
WI-045,"Green County",38.1,106,5.0,33.1
WI-047,"Green Lake County",36.3,111,5.8,30.5
WI-049,"Iowa County",37.8,111,5.6,32.2
WI-051,"Iron County",28.2,106,4.7,23.5
WI-053,"Jackson County",35.9,115,7.0,28.9
WI-055,"Jefferson County",37.9,110,5.2,32.7
WI-057,"Juneau County",36.1,111,6.3,29.8
WI-059,"Kenosha County",39.0,110,4.9,34.1
WI-061,"Kewaunee County",34.2,114,5.3,28.9
WI-063,"La Crosse County",37.0,113,6.1,30.9
WI-065,"Lafayette County",38.4,110,5.3,33.1
WI-067,"Langlade County",30.9,113,5.8,25.1
WI-069,"Lincoln County",31.2,111,5.9,25.3
WI-071,"Manitowoc County",35.4,115,5.7,29.7
WI-073,"Marathon County",32.8,110,6.0,26.8
WI-075,"Marinette County",32.7,113,5.9,26.8
WI-077,"Marquette County",36.4,112,6.1,30.3
WI-078,"Menominee County",33.0,114,6.0,27
WI-079,"Milwaukee County",38.5,110,5.5,33
WI-081,"Monroe County",35.6,109,5.8,29.8
WI-083,"Oconto County",33.6,113,6.1,27.5
WI-085,"Oneida County",29.7,111,5.5,24.2
WI-087,"Outagamie County",35.3,115,6.2,29.1
WI-089,"Ozaukee County",37.2,111,5.6,31.6
WI-091,"Pepin County",36.8,114,6.8,30
WI-093,"Pierce County",35.6,111,6.4,29.2
WI-095,"Polk County",33.6,111,6.4,27.2
WI-097,"Portage County",34.6,112,6.3,28.3
WI-099,"Price County",30.5,111,6.1,24.4
WI-101,"Racine County",38.4,109,4.8,33.6
WI-103,"Richland County",37.8,113,6.0,31.8
WI-105,"Rock County",38.4,105,4.8,33.6
WI-107,"Rusk County",32.9,114,6.5,26.4
WI-109,"St. Croix County",34.8,112,6.5,28.3
WI-111,"Sauk County",37.4,113,6.2,31.2
WI-113,"Sawyer County",31.4,113,6.9,24.5
WI-115,"Shawano County",33.8,114,6.1,27.7
WI-117,"Sheboygan County",36.3,114,5.8,30.5
WI-119,"Taylor County",32.1,112,6.1,26
WI-121,"Trempealeau County",36.8,115,7.0,29.8
WI-123,"Vernon County",36.5,111,5.6,30.9
WI-125,"Vilas County",28.4,109,5.3,23.1
WI-127,"Walworth County",38.6,110,5.3,33.3
WI-129,"Washburn County",31.5,110,6.0,25.5
WI-131,"Washington County",36.3,111,5.4,30.9
WI-133,"Waukesha County",37.5,110,5.3,32.2
WI-135,"Waupaca County",35.0,113,6.2,28.8
WI-137,"Waushara County",35.5,112,6.2,29.3
WI-139,"Winnebago County",36.0,112,6.0,30
WI-141,"Wood County",35.0,112,6.5,28.5
