March 2020 Colorado County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-001,"Adams County",41.8,105,4.6,37.2
CO-003,"Alamosa County",38.0,116,5.5,32.5
CO-005,"Arapahoe County",41.2,102,4.3,36.9
CO-007,"Archuleta County",36.4,107,4.0,32.4
CO-009,"Baca County",47.8,116,6.0,41.8
CO-011,"Bent County",47.7,116,6.1,41.6
CO-013,"Boulder County",37.4,106,4.5,32.9
CO-014,"Broomfield County",43.1,106,4.6,38.5
CO-015,"Chaffee County",31.2,111,4.4,26.8
CO-017,"Cheyenne County",44.4,114,5.6,38.8
CO-019,"Clear Creek County",30.7,112,5.1,25.6
CO-021,"Conejos County",34.4,112,4.8,29.6
CO-023,"Costilla County",36.6,115,5.4,31.2
CO-025,"Crowley County",45.6,116,5.8,39.8
CO-027,"Custer County",35.6,113,5.4,30.2
CO-029,"Delta County",40.4,115,5.4,35
CO-031,"Denver County",43.0,106,4.6,38.4
CO-033,"Dolores County",35.8,109,4.1,31.7
CO-035,"Douglas County",39.2,101,4.0,35.2
CO-037,"Eagle County",32.5,112,4.8,27.7
CO-039,"Elbert County",40.2,109,4.9,35.3
CO-041,"El Paso County",41.0,112,5.2,35.8
CO-043,"Fremont County",38.6,106,4.2,34.4
CO-045,"Garfield County",36.2,112,4.8,31.4
CO-047,"Gilpin County",32.2,110,4.4,27.8
CO-049,"Grand County",30.3,111,5.0,25.3
CO-051,"Gunnison County",31.4,112,5.2,26.2
CO-053,"Hinsdale County",28.5,110,4.5,24
CO-055,"Huerfano County",41.3,118,5.8,35.5
CO-057,"Jackson County",30.1,115,5.8,24.3
CO-059,"Jefferson County",38.5,100,4.0,34.5
CO-061,"Kiowa County",45.7,115,5.5,40.2
CO-063,"Kit Carson County",44.0,113,5.8,38.2
CO-065,"Lake County",26.6,107,3.8,22.8
CO-067,"La Plata County",37.4,107,3.8,33.6
CO-069,"Larimer County",34.8,112,5.1,29.7
CO-071,"Las Animas County",45.7,117,6.2,39.5
CO-073,"Lincoln County",42.6,114,5.1,37.5
CO-075,"Logan County",41.4,105,4.4,37
CO-077,"Mesa County",40.6,113,5.2,35.4
CO-079,"Mineral County",29.6,111,4.6,25
CO-081,"Moffat County",35.9,110,4.7,31.2
CO-083,"Montezuma County",41.2,107,3.9,37.3
CO-085,"Montrose County",40.8,112,5.3,35.5
CO-087,"Morgan County",41.6,109,5.1,36.5
CO-089,"Otero County",47.6,117,6.1,41.5
CO-091,"Ouray County",34.9,114,5.5,29.4
CO-093,"Park County",31.2,105,4.3,26.9
CO-095,"Phillips County",42.1,108,5.2,36.9
CO-097,"Pitkin County",30.7,112,4.6,26.1
CO-099,"Prowers County",47.3,115,5.7,41.6
CO-101,"Pueblo County",45.7,116,5.3,40.4
CO-103,"Rio Blanco County",36.7,111,4.8,31.9
CO-105,"Rio Grande County",33.6,112,4.7,28.9
CO-107,"Routt County",32.7,114,5.5,27.2
CO-109,"Saguache County",32.7,112,4.4,28.3
CO-111,"San Juan County",27.8,109,4.3,23.5
CO-113,"San Miguel County",38.0,112,5.0,33
CO-115,"Sedgwick County",41.8,104,4.8,37
CO-117,"Summit County",29.1,114,5.4,23.7
CO-119,"Teller County",33.1,105,4.4,28.7
CO-121,"Washington County",41.6,102,4.6,37
CO-123,"Weld County",40.7,105,4.5,36.2
CO-125,"Yuma County",43.3,109,5.4,37.9
