March 2020 Georgia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-001,"Appling County",66.0,124,7.7,58.3
GA-003,"Atkinson County",67.0,125,8.3,58.7
GA-005,"Bacon County",66.2,124,7.7,58.5
GA-007,"Baker County",67.8,125,9.1,58.7
GA-009,"Baldwin County",62.4,121,7.4,55
GA-011,"Banks County",57.1,116,5.6,51.5
GA-013,"Barrow County",57.9,117,6.2,51.7
GA-015,"Bartow County",58.2,122,7.1,51.1
GA-017,"Ben Hill County",66.4,125,8.9,57.5
GA-019,"Berrien County",66.9,125,8.4,58.5
GA-021,"Bibb County",63.7,123,8.5,55.2
GA-023,"Bleckley County",64.3,122,7.9,56.4
GA-025,"Brantley County",66.6,124,7.7,58.9
GA-027,"Brooks County",67.3,125,8.1,59.2
GA-029,"Bryan County",66.0,124,7.7,58.3
GA-031,"Bulloch County",65.1,123,7.8,57.3
GA-033,"Burke County",63.4,122,7.8,55.6
GA-035,"Butts County",61.4,122,8.1,53.3
GA-037,"Calhoun County",67.3,125,9.1,58.2
GA-039,"Camden County",67.7,125,7.9,59.8
GA-043,"Candler County",64.9,123,7.7,57.2
GA-045,"Carroll County",60.0,123,8.6,51.4
GA-047,"Catoosa County",57.2,120,7.0,50.2
GA-049,"Charlton County",68.1,126,8.1,60
GA-051,"Chatham County",66.4,125,8.2,58.2
GA-053,"Chattahoochee County",64.0,122,7.9,56.1
GA-055,"Chattooga County",58.0,121,7.1,50.9
GA-057,"Cherokee County",57.2,120,6.8,50.4
GA-059,"Clarke County",58.4,118,6.1,52.3
GA-061,"Clay County",67.0,125,9.2,57.8
GA-063,"Clayton County",60.6,123,8.2,52.4
GA-065,"Clinch County",67.4,123,7.8,59.6
GA-067,"Cobb County",59.0,122,7.9,51.1
GA-069,"Coffee County",66.5,125,8.3,58.2
GA-071,"Colquitt County",67.0,126,8.5,58.5
GA-073,"Columbia County",62.0,121,7.6,54.4
GA-075,"Cook County",67.0,126,8.3,58.7
GA-077,"Coweta County",61.2,124,8.7,52.5
GA-079,"Crawford County",63.4,124,8.4,55
GA-081,"Crisp County",66.4,126,9.5,56.9
GA-083,"Dade County",56.0,119,6.4,49.6
GA-085,"Dawson County",55.4,118,6.1,49.3
GA-087,"Decatur County",68.4,126,8.9,59.5
GA-089,"DeKalb County",59.6,122,7.9,51.7
GA-091,"Dodge County",65.1,125,8.1,57
GA-093,"Dooly County",65.3,125,8.9,56.4
GA-095,"Dougherty County",67.4,125,9.1,58.3
GA-097,"Douglas County",60.0,123,8.6,51.4
GA-099,"Early County",68.0,126,9.3,58.7
GA-101,"Echols County",67.4,123,7.4,60
