April 2020 Alabama County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",63.2,53,-0.4,63.6
AL-003,"Baldwin County",67.9,96,1.5,66.4
AL-005,"Barbour County",64.1,57,-0.4,64.5
AL-007,"Bibb County",60.8,30,-1.7,62.5
AL-009,"Blount County",59.1,39,-1.2,60.3
AL-011,"Bullock County",63.2,52,-0.6,63.8
AL-013,"Butler County",64.4,68,-0.0,64.4
AL-015,"Calhoun County",59.1,33,-1.6,60.7
AL-017,"Chambers County",59.8,33,-1.5,61.3
AL-019,"Cherokee County",58.0,21,-2.4,60.4
AL-021,"Chilton County",61.2,43,-1.2,62.4
AL-023,"Choctaw County",63.9,56,-0.5,64.4
AL-025,"Clarke County",65.0,68,0.3,64.7
AL-027,"Clay County",58.9,34,-1.7,60.6
AL-029,"Cleburne County",58.4,38,-1.3,59.7
AL-031,"Coffee County",65.5,73,0.4,65.1
AL-033,"Colbert County",57.6,22,-2.2,59.8
AL-035,"Conecuh County",66.2,82,1.1,65.1
AL-037,"Coosa County",60.4,33,-1.6,62
AL-039,"Covington County",66.1,82,0.8,65.3
AL-041,"Crenshaw County",64.1,59,-0.2,64.3
AL-043,"Cullman County",58.7,35,-1.4,60.1
AL-045,"Dale County",65.9,74,0.5,65.4
AL-047,"Dallas County",63.2,51,-0.8,64
AL-049,"DeKalb County",56.6,19,-2.6,59.2
AL-051,"Elmore County",62.4,46,-0.9,63.3
AL-053,"Escambia County",67.0,89,1.3,65.7
AL-055,"Etowah County",58.7,26,-1.9,60.6
AL-057,"Fayette County",60.1,31,-1.6,61.7
AL-059,"Franklin County",57.2,18,-2.6,59.8
AL-061,"Geneva County",67.1,93,1.2,65.9
AL-063,"Greene County",61.8,28,-1.8,63.6
AL-065,"Hale County",61.6,28,-1.8,63.4
AL-067,"Henry County",65.9,72,0.5,65.4
AL-069,"Houston County",67.8,95,1.5,66.3
AL-071,"Jackson County",57.0,20,-2.4,59.4
AL-073,"Jefferson County",60.2,39,-1.3,61.5
AL-075,"Lamar County",60.4,35,-1.4,61.8
AL-077,"Lauderdale County",57.2,22,-2.3,59.5
AL-079,"Lawrence County",57.1,16,-2.8,59.9
AL-081,"Lee County",61.4,45,-1.0,62.4
AL-083,"Limestone County",57.4,21,-2.4,59.8
AL-085,"Lowndes County",64.3,62,-0.1,64.4
AL-087,"Macon County",62.5,46,-1.0,63.5
AL-089,"Madison County",57.5,21,-2.3,59.8
AL-091,"Marengo County",62.9,45,-1.2,64.1
AL-093,"Marion County",58.3,23,-2.2,60.5
AL-095,"Marshall County",58.1,25,-2.0,60.1
AL-097,"Mobile County",67.8,98,1.6,66.2
AL-099,"Monroe County",66.0,83,1.1,64.9
AL-101,"Montgomery County",63.9,55,-0.2,64.1
AL-103,"Morgan County",58.0,25,-2.1,60.1
AL-105,"Perry County",61.7,33,-1.6,63.3
AL-107,"Pickens County",61.5,36,-1.3,62.8
AL-109,"Pike County",64.0,57,-0.4,64.4
AL-111,"Randolph County",59.0,37,-1.2,60.2
AL-113,"Russell County",62.8,46,-0.9,63.7
AL-115,"St. Clair County",59.4,36,-1.4,60.8
AL-117,"Shelby County",60.2,37,-1.5,61.7
AL-119,"Sumter County",62.4,36,-1.4,63.8
AL-121,"Talladega County",59.8,31,-1.7,61.5
AL-123,"Tallapoosa County",60.2,35,-1.6,61.8
AL-125,"Tuscaloosa County",61.3,34,-1.5,62.8
AL-127,"Walker County",59.7,32,-1.6,61.3
AL-129,"Washington County",65.7,72,0.4,65.3
AL-131,"Wilcox County",64.0,55,-0.4,64.4
AL-133,"Winston County",57.5,20,-2.5,60
