April 2020 Illinois County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",50.4,31,-2.0,52.4
IL-003,"Alexander County",54.3,21,-2.6,56.9
IL-005,"Bond County",52.0,33,-1.7,53.7
IL-007,"Boone County",45.8,38,-1.2,47
IL-009,"Brown County",49.9,28,-2.2,52.1
IL-011,"Bureau County",47.0,30,-2.0,49
IL-013,"Calhoun County",51.9,30,-2.0,53.9
IL-015,"Carroll County",47.0,43,-0.6,47.6
IL-017,"Cass County",50.1,30,-2.3,52.4
IL-019,"Champaign County",48.9,36,-1.6,50.5
IL-021,"Christian County",50.3,28,-1.9,52.2
IL-023,"Clark County",50.1,26,-2.3,52.4
IL-025,"Clay County",51.2,23,-2.5,53.7
IL-027,"Clinton County",52.3,25,-2.1,54.4
IL-029,"Coles County",49.8,27,-2.1,51.9
IL-031,"Cook County",46.7,48,-0.8,47.5
IL-033,"Crawford County",51.3,28,-2.0,53.3
IL-035,"Cumberland County",50.5,28,-2.0,52.5
IL-037,"DeKalb County",45.7,34,-1.7,47.4
IL-039,"De Witt County",49.4,40,-1.2,50.6
IL-041,"Douglas County",49.4,30,-1.9,51.3
IL-043,"DuPage County",46.7,45,-0.9,47.6
IL-045,"Edgar County",49.0,23,-2.5,51.5
IL-047,"Edwards County",51.9,20,-2.9,54.8
IL-049,"Effingham County",50.7,24,-2.3,53
IL-051,"Fayette County",51.1,26,-2.2,53.3
IL-053,"Ford County",48.1,37,-1.5,49.6
IL-055,"Franklin County",51.9,18,-3.3,55.2
IL-057,"Fulton County",49.2,27,-2.3,51.5
IL-059,"Gallatin County",52.8,19,-3.3,56.1
IL-061,"Greene County",51.3,26,-2.3,53.6
IL-063,"Grundy County",47.2,31,-1.6,48.8
IL-065,"Hamilton County",52.0,19,-3.3,55.3
IL-067,"Hancock County",50.0,30,-1.8,51.8
IL-069,"Hardin County",53.5,22,-2.8,56.3
IL-071,"Henderson County",48.9,30,-1.9,50.8
IL-073,"Henry County",47.9,38,-1.3,49.2
IL-075,"Iroquois County",48.2,38,-1.2,49.4
IL-077,"Jackson County",52.5,20,-3.0,55.5
IL-079,"Jasper County",51.2,27,-2.1,53.3
IL-081,"Jefferson County",51.7,19,-3.1,54.8
IL-083,"Jersey County",51.9,26,-2.2,54.1
IL-085,"Jo Daviess County",45.5,37,-1.6,47.1
IL-087,"Johnson County",53.6,23,-2.4,56
IL-089,"Kane County",45.9,36,-1.4,47.3
IL-091,"Kankakee County",47.4,35,-1.4,48.8
IL-093,"Kendall County",46.7,31,-1.7,48.4
IL-095,"Knox County",47.7,29,-2.2,49.9
IL-097,"Lake County",44.8,36,-1.4,46.2
IL-099,"LaSalle County",46.9,31,-2.0,48.9
IL-101,"Lawrence County",51.9,27,-2.2,54.1
IL-103,"Lee County",46.4,34,-1.7,48.1
IL-105,"Livingston County",48.0,38,-1.4,49.4
IL-107,"Logan County",50.1,37,-1.5,51.6
IL-109,"McDonough County",49.3,31,-2.0,51.3
IL-111,"McHenry County",45.3,39,-1.1,46.4
IL-113,"McLean County",49.0,41,-0.8,49.8
IL-115,"Macon County",49.6,32,-1.8,51.4
IL-117,"Macoupin County",51.2,30,-1.9,53.1
IL-119,"Madison County",52.1,26,-2.3,54.4
IL-121,"Marion County",51.1,19,-2.9,54
IL-123,"Marshall County",48.2,35,-1.7,49.9
IL-125,"Mason County",50.3,32,-1.9,52.2
IL-127,"Massac County",55.0,27,-1.8,56.8
IL-129,"Menard County",50.3,31,-1.8,52.1
IL-131,"Mercer County",48.1,32,-1.9,50
IL-133,"Monroe County",53.9,38,-1.5,55.4
IL-135,"Montgomery County",51.3,34,-1.5,52.8
IL-137,"Morgan County",50.2,28,-2.2,52.4
IL-139,"Moultrie County",49.5,27,-2.2,51.7
IL-141,"Ogle County",46.5,39,-1.1,47.6
IL-143,"Peoria County",49.0,34,-1.5,50.5
IL-145,"Perry County",52.3,23,-2.6,54.9
IL-147,"Piatt County",49.2,33,-1.6,50.8
IL-149,"Pike County",50.7,28,-2.2,52.9
IL-151,"Pope County",54.0,24,-2.2,56.2
IL-153,"Pulaski County",54.6,23,-2.3,56.9
IL-155,"Putnam County",47.6,29,-2.2,49.8
IL-157,"Randolph County",53.5,31,-1.7,55.2
IL-159,"Richland County",51.5,22,-2.5,54
IL-161,"Rock Island County",48.2,37,-1.3,49.5
IL-163,"St. Clair County",53.3,31,-1.8,55.1
IL-165,"Saline County",52.7,20,-3.0,55.7
IL-167,"Sangamon County",50.4,32,-1.8,52.2
IL-169,"Schuyler County",50.0,31,-2.0,52
IL-171,"Scott County",50.5,27,-2.4,52.9
IL-173,"Shelby County",50.1,25,-2.3,52.4
IL-175,"Stark County",47.9,36,-1.7,49.6
IL-177,"Stephenson County",45.6,39,-1.3,46.9
IL-179,"Tazewell County",49.8,40,-1.1,50.9
IL-181,"Union County",53.2,21,-2.8,56
IL-183,"Vermilion County",48.6,31,-2.0,50.6
IL-185,"Wabash County",52.2,22,-2.5,54.7
IL-187,"Warren County",48.0,30,-2.1,50.1
IL-189,"Washington County",52.4,25,-2.3,54.7
IL-191,"Wayne County",51.7,19,-2.8,54.5
IL-193,"White County",52.1,17,-3.5,55.6
IL-195,"Whiteside County",47.6,40,-1.0,48.6
IL-197,"Will County",47.0,35,-1.5,48.5
IL-199,"Williamson County",52.2,19,-3.2,55.4
IL-201,"Winnebago County",46.2,38,-1.1,47.3
IL-203,"Woodford County",48.8,42,-1.0,49.8
