April 2020 Indiana County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",47.0,33,-1.4,48.4
IN-003,"Allen County",46.4,29,-1.8,48.2
IN-005,"Bartholomew County",50.6,30,-1.8,52.4
IN-007,"Benton County",48.0,40,-1.1,49.1
IN-009,"Blackford County",48.4,40,-0.9,49.3
IN-011,"Boone County",48.2,38,-1.2,49.4
IN-013,"Brown County",49.9,30,-1.9,51.8
IN-015,"Carroll County",48.0,36,-1.3,49.3
IN-017,"Cass County",47.4,34,-1.5,48.9
IN-019,"Clark County",52.4,32,-1.6,54
IN-021,"Clay County",49.6,27,-2.1,51.7
IN-023,"Clinton County",47.9,35,-1.4,49.3
IN-025,"Crawford County",51.2,17,-2.9,54.1
IN-027,"Daviess County",51.9,36,-1.4,53.3
IN-029,"Dearborn County",50.9,36,-1.1,52
IN-031,"Decatur County",50.0,30,-1.8,51.8
IN-033,"DeKalb County",45.6,30,-1.8,47.4
IN-035,"Delaware County",49.5,51,-0.2,49.7
IN-037,"Dubois County",51.4,22,-2.6,54
IN-039,"Elkhart County",45.8,39,-1.1,46.9
IN-041,"Fayette County",49.4,38,-1.0,50.4
IN-043,"Floyd County",52.7,33,-1.6,54.3
IN-045,"Fountain County",48.6,34,-1.7,50.3
IN-047,"Franklin County",50.1,39,-1.1,51.2
IN-049,"Fulton County",46.8,40,-1.1,47.9
IN-051,"Gibson County",52.6,24,-2.3,54.9
IN-053,"Grant County",48.0,33,-1.5,49.5
IN-055,"Greene County",50.6,35,-1.6,52.2
IN-057,"Hamilton County",48.9,37,-1.1,50
IN-059,"Hancock County",49.4,34,-1.2,50.6
IN-061,"Harrison County",52.4,26,-2.0,54.4
IN-063,"Hendricks County",48.6,30,-1.7,50.3
IN-065,"Henry County",49.1,45,-0.5,49.6
IN-067,"Howard County",47.4,27,-2.0,49.4
IN-069,"Huntington County",47.2,32,-1.6,48.8
IN-071,"Jackson County",51.1,32,-1.8,52.9
IN-073,"Jasper County",47.2,38,-1.3,48.5
IN-075,"Jay County",48.1,42,-0.8,48.9
IN-077,"Jefferson County",51.8,35,-1.3,53.1
IN-079,"Jennings County",51.2,32,-1.6,52.8
IN-081,"Johnson County",49.6,30,-1.7,51.3
IN-083,"Knox County",52.2,34,-1.7,53.9
IN-085,"Kosciusko County",46.6,41,-1.0,47.6
IN-087,"LaGrange County",45.5,36,-1.4,46.9
IN-089,"Lake County",46.3,34,-1.5,47.8
IN-091,"LaPorte County",45.0,26,-2.2,47.2
IN-093,"Lawrence County",50.5,27,-2.1,52.6
IN-095,"Madison County",49.3,44,-0.7,50
IN-097,"Marion County",49.4,33,-1.4,50.8
IN-099,"Marshall County",46.2,41,-1.0,47.2
IN-101,"Martin County",51.2,30,-1.8,53
IN-103,"Miami County",47.3,30,-1.7,49
IN-105,"Monroe County",49.8,29,-1.9,51.7
IN-107,"Montgomery County",48.3,36,-1.5,49.8
IN-109,"Morgan County",49.4,28,-1.9,51.3
IN-111,"Newton County",47.7,39,-1.1,48.8
IN-113,"Noble County",46.1,37,-1.2,47.3
IN-115,"Ohio County",51.4,33,-1.3,52.7
IN-117,"Orange County",50.8,20,-2.5,53.3
IN-119,"Owen County",49.7,30,-1.8,51.5
IN-121,"Parke County",48.5,23,-2.6,51.1
IN-123,"Perry County",51.3,13,-3.7,55
IN-125,"Pike County",52.3,31,-1.9,54.2
IN-127,"Porter County",45.4,29,-2.0,47.4
IN-129,"Posey County",52.5,15,-3.5,56
IN-131,"Pulaski County",46.9,41,-1.2,48.1
IN-133,"Putnam County",48.4,24,-2.3,50.7
IN-135,"Randolph County",48.6,50,-0.3,48.9
IN-137,"Ripley County",50.4,34,-1.5,51.9
IN-139,"Rush County",49.4,34,-1.3,50.7
IN-141,"St. Joseph County",45.4,33,-1.5,46.9
IN-143,"Scott County",51.9,33,-1.4,53.3
IN-145,"Shelby County",49.9,30,-1.7,51.6
IN-147,"Spencer County",51.9,12,-3.5,55.4
IN-149,"Starke County",46.1,33,-1.5,47.6
IN-151,"Steuben County",45.0,35,-1.5,46.5
IN-153,"Sullivan County",51.0,32,-1.7,52.7
IN-155,"Switzerland County",51.7,34,-1.4,53.1
IN-157,"Tippecanoe County",48.8,42,-0.8,49.6
IN-159,"Tipton County",48.0,34,-1.5,49.5
IN-161,"Union County",49.5,39,-0.8,50.3
IN-163,"Vanderburgh County",52.9,19,-2.9,55.8
IN-165,"Vermillion County",48.8,22,-2.5,51.3
IN-167,"Vigo County",49.6,23,-2.5,52.1
IN-169,"Wabash County",47.3,32,-1.6,48.9
IN-171,"Warren County",48.4,36,-1.5,49.9
IN-173,"Warrick County",52.4,20,-2.8,55.2
IN-175,"Washington County",51.2,31,-1.8,53
IN-177,"Wayne County",48.9,43,-0.6,49.5
IN-179,"Wells County",47.4,33,-1.3,48.7
IN-181,"White County",47.8,40,-1.1,48.9
IN-183,"Whitley County",46.7,36,-1.3,48
