April 2020 Kansas County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KS-001,"Allen County",54.1,34,-1.7,55.8
KS-003,"Anderson County",53.7,39,-1.4,55.1
KS-005,"Atchison County",51.9,44,-1.2,53.1
KS-007,"Barber County",55.2,50,-0.7,55.9
KS-009,"Barton County",52.3,42,-1.1,53.4
KS-011,"Bourbon County",53.9,30,-2.0,55.9
KS-013,"Brown County",51.5,48,-0.8,52.3
KS-015,"Butler County",54.9,55,-0.4,55.3
KS-017,"Chase County",53.3,47,-1.1,54.4
KS-019,"Chautauqua County",55.7,40,-1.7,57.4
KS-021,"Cherokee County",55.3,31,-2.1,57.4
KS-023,"Cheyenne County",48.5,52,-0.7,49.2
KS-025,"Clark County",54.8,47,-0.9,55.7
KS-027,"Clay County",52.8,53,-0.5,53.3
KS-029,"Cloud County",52.2,48,-0.5,52.7
KS-031,"Coffey County",53.8,47,-1.0,54.8
KS-033,"Comanche County",54.9,49,-0.8,55.7
KS-035,"Cowley County",55.8,48,-0.8,56.6
KS-037,"Crawford County",54.2,27,-2.3,56.5
KS-039,"Decatur County",49.9,50,-0.5,50.4
KS-041,"Dickinson County",53.8,59,-0.1,53.9
KS-043,"Doniphan County",52.0,41,-1.1,53.1
KS-045,"Douglas County",53.6,49,-0.8,54.4
KS-047,"Edwards County",52.9,43,-1.0,53.9
KS-049,"Elk County",54.8,41,-1.5,56.3
KS-051,"Ellis County",51.5,44,-1.0,52.5
KS-053,"Ellsworth County",52.8,46,-0.9,53.7
KS-055,"Finney County",52.2,56,-0.2,52.4
KS-057,"Ford County",53.4,55,-0.4,53.8
KS-059,"Franklin County",53.7,47,-0.9,54.6
KS-061,"Geary County",53.6,60,-0.1,53.7
KS-063,"Gove County",51.6,61,0.0,51.6
KS-065,"Graham County",51.3,49,-0.5,51.8
KS-067,"Grant County",52.6,49,-0.7,53.3
KS-069,"Gray County",52.5,50,-0.7,53.2
KS-071,"Greeley County",49.6,50,-0.7,50.3
KS-073,"Greenwood County",54.1,40,-1.2,55.3
KS-075,"Hamilton County",51.8,56,-0.4,52.2
KS-077,"Harper County",55.3,42,-1.1,56.4
KS-079,"Harvey County",54.7,59,-0.2,54.9
KS-081,"Haskell County",52.4,45,-0.9,53.3
KS-083,"Hodgeman County",53.0,53,-0.4,53.4
KS-085,"Jackson County",51.4,40,-1.4,52.8
KS-087,"Jefferson County",52.3,37,-1.3,53.6
KS-089,"Jewell County",51.0,48,-0.6,51.6
KS-091,"Johnson County",53.0,38,-1.2,54.2
KS-093,"Kearny County",52.1,57,-0.2,52.3
KS-095,"Kingman County",54.2,41,-1.2,55.4
KS-097,"Kiowa County",53.5,44,-1.1,54.6
KS-099,"Labette County",55.6,32,-2.0,57.6
KS-101,"Lane County",51.8,61,0.0,51.8
KS-103,"Leavenworth County",52.8,44,-1.1,53.9
KS-105,"Lincoln County",52.7,52,-0.5,53.2
KS-107,"Linn County",53.8,34,-1.5,55.3
KS-109,"Logan County",50.5,51,-0.4,50.9
KS-111,"Lyon County",53.2,51,-1.0,54.2
KS-113,"McPherson County",53.7,57,-0.4,54.1
KS-115,"Marion County",53.7,56,-0.5,54.2
KS-117,"Marshall County",52.0,60,-0.2,52.2
KS-119,"Meade County",53.9,43,-1.1,55
KS-121,"Miami County",53.3,40,-1.3,54.6
KS-123,"Mitchell County",51.6,43,-1.0,52.6
KS-125,"Montgomery County",55.8,35,-1.9,57.7
KS-127,"Morris County",53.0,57,-0.6,53.6
KS-129,"Morton County",53.8,61,0.1,53.7
KS-131,"Nemaha County",51.0,48,-0.9,51.9
KS-133,"Neosho County",54.6,31,-2.0,56.6
KS-135,"Ness County",51.8,45,-1.0,52.8
KS-137,"Norton County",50.0,44,-1.0,51
KS-139,"Osage County",53.8,59,-0.2,54
KS-141,"Osborne County",51.6,42,-0.9,52.5
KS-143,"Ottawa County",53.0,53,-0.3,53.3
KS-145,"Pawnee County",52.4,39,-1.2,53.6
KS-147,"Phillips County",50.5,41,-1.2,51.7
KS-149,"Pottawatomie County",52.6,55,-0.5,53.1
KS-151,"Pratt County",53.4,42,-1.3,54.7
KS-153,"Rawlins County",48.8,45,-0.9,49.7
KS-155,"Reno County",53.8,43,-1.1,54.9
KS-157,"Republic County",51.1,48,-0.6,51.7
KS-159,"Rice County",53.0,45,-1.1,54.1
KS-161,"Riley County",53.2,61,-0.2,53.4
KS-163,"Rooks County",51.5,44,-0.8,52.3
KS-165,"Rush County",51.7,39,-1.3,53
KS-167,"Russell County",52.6,50,-0.4,53
KS-169,"Saline County",53.6,54,-0.3,53.9
KS-171,"Scott County",51.5,59,0.0,51.5
KS-173,"Sedgwick County",55.2,52,-0.5,55.7
KS-175,"Seward County",53.2,42,-1.2,54.4
KS-177,"Shawnee County",53.3,55,-0.6,53.9
KS-179,"Sheridan County",51.1,66,0.4,50.7
KS-181,"Sherman County",48.7,55,-0.2,48.9
KS-183,"Smith County",50.4,40,-1.4,51.8
KS-185,"Stafford County",52.6,40,-1.4,54
KS-187,"Stanton County",52.8,55,-0.3,53.1
KS-189,"Stevens County",53.4,50,-0.5,53.9
KS-191,"Sumner County",55.9,44,-0.7,56.6
KS-193,"Thomas County",49.4,50,-0.5,49.9
KS-195,"Trego County",51.2,44,-1.0,52.2
KS-197,"Wabaunsee County",53.6,62,0.0,53.6
KS-199,"Wallace County",49.1,50,-0.7,49.8
KS-201,"Washington County",51.4,46,-0.7,52.1
KS-203,"Wichita County",50.7,55,-0.3,51
KS-205,"Wilson County",54.9,35,-1.9,56.8
KS-207,"Woodson County",54.3,41,-1.4,55.7
KS-209,"Wyandotte County",52.8,38,-1.3,54.1
