April 2020 Kentucky County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-001,"Adair County",52.2,15,-3.1,55.3
KY-003,"Allen County",53.9,15,-3.2,57.1
KY-005,"Anderson County",51.7,26,-2.3,54
KY-007,"Ballard County",55.2,25,-2.0,57.2
KY-009,"Barren County",53.6,15,-3.1,56.7
KY-011,"Bath County",50.8,16,-3.1,53.9
KY-013,"Bell County",52.2,20,-2.4,54.6
KY-015,"Boone County",51.4,39,-1.2,52.6
KY-017,"Bourbon County",50.8,24,-2.4,53.2
KY-019,"Boyd County",52.2,33,-1.5,53.7
KY-021,"Boyle County",50.9,16,-3.2,54.1
KY-023,"Bracken County",51.0,26,-1.8,52.8
KY-025,"Breathitt County",52.5,18,-2.7,55.2
KY-027,"Breckinridge County",52.0,17,-3.1,55.1
KY-029,"Bullitt County",53.3,32,-1.8,55.1
KY-031,"Butler County",54.7,28,-1.9,56.6
KY-033,"Caldwell County",54.4,19,-2.8,57.2
KY-035,"Calloway County",55.8,24,-2.2,58
KY-037,"Campbell County",51.4,34,-1.4,52.8
KY-039,"Carlisle County",55.4,25,-2.1,57.5
KY-041,"Carroll County",52.1,32,-1.6,53.7
KY-043,"Carter County",51.2,27,-2.0,53.2
KY-045,"Casey County",51.1,14,-3.3,54.4
KY-047,"Christian County",54.8,23,-2.4,57.2
KY-049,"Clark County",51.1,19,-2.7,53.8
KY-051,"Clay County",53.2,31,-1.8,55
KY-053,"Clinton County",53.5,25,-2.2,55.7
KY-055,"Crittenden County",54.0,21,-2.8,56.8
KY-057,"Cumberland County",53.5,17,-2.8,56.3
KY-059,"Daviess County",52.7,13,-3.3,56
KY-061,"Edmonson County",54.0,25,-2.4,56.4
KY-063,"Elliott County",51.2,22,-2.3,53.5
KY-065,"Estill County",51.9,18,-3.0,54.9
KY-067,"Fayette County",50.7,22,-2.6,53.3
KY-069,"Fleming County",50.5,16,-2.8,53.3
KY-071,"Floyd County",53.1,22,-2.2,55.3
KY-073,"Franklin County",51.9,27,-2.0,53.9
KY-075,"Fulton County",55.6,18,-2.8,58.4
KY-077,"Gallatin County",51.9,34,-1.4,53.3
KY-079,"Garrard County",51.3,17,-3.0,54.3
KY-081,"Grant County",51.3,32,-1.7,53
KY-083,"Graves County",55.5,24,-2.2,57.7
KY-085,"Grayson County",53.2,24,-2.3,55.5
KY-087,"Green County",52.9,18,-2.8,55.7
KY-089,"Greenup County",51.6,31,-1.5,53.1
KY-091,"Hancock County",51.7,12,-3.9,55.6
KY-093,"Hardin County",52.8,24,-2.2,55
KY-095,"Harlan County",51.1,22,-2.2,53.3
KY-097,"Harrison County",51.2,28,-1.9,53.1
KY-099,"Hart County",53.4,20,-2.5,55.9
KY-101,"Henderson County",52.8,13,-3.6,56.4
KY-103,"Henry County",51.8,30,-1.9,53.7
KY-105,"Hickman County",55.4,18,-2.5,57.9
KY-107,"Hopkins County",54.1,17,-2.9,57
KY-109,"Jackson County",51.9,23,-2.4,54.3
KY-111,"Jefferson County",53.2,32,-1.7,54.9
KY-113,"Jessamine County",51.0,18,-2.9,53.9
KY-115,"Johnson County",52.4,25,-2.1,54.5
KY-117,"Kenton County",51.3,38,-1.3,52.6
KY-119,"Knott County",52.4,22,-2.3,54.7
KY-121,"Knox County",53.4,28,-1.8,55.2
KY-123,"Larue County",52.7,20,-2.5,55.2
KY-125,"Laurel County",52.8,29,-1.9,54.7
KY-127,"Lawrence County",52.2,29,-1.9,54.1
KY-129,"Lee County",52.3,16,-2.9,55.2
KY-131,"Leslie County",52.6,24,-2.1,54.7
KY-133,"Letcher County",52.0,24,-1.9,53.9
KY-135,"Lewis County",50.7,23,-2.2,52.9
KY-137,"Lincoln County",51.1,16,-3.0,54.1
KY-139,"Livingston County",55.0,25,-2.0,57
KY-141,"Logan County",54.7,22,-2.4,57.1
KY-143,"Lyon County",55.2,24,-2.3,57.5
KY-145,"McCracken County",55.6,31,-1.5,57.1
KY-147,"McCreary County",52.9,23,-2.1,55
KY-149,"McLean County",53.6,17,-2.9,56.5
KY-151,"Madison County",51.5,17,-3.0,54.5
KY-153,"Magoffin County",52.1,21,-2.5,54.6
KY-155,"Marion County",51.8,16,-3.1,54.9
KY-157,"Marshall County",55.8,25,-2.0,57.8
KY-159,"Martin County",52.7,19,-2.3,55
KY-161,"Mason County",50.5,25,-2.3,52.8
KY-163,"Meade County",52.3,21,-2.5,54.8
KY-165,"Menifee County",51.0,17,-3.1,54.1
KY-167,"Mercer County",51.2,18,-2.9,54.1
KY-169,"Metcalfe County",52.8,15,-3.1,55.9
KY-171,"Monroe County",53.4,13,-3.2,56.6
KY-173,"Montgomery County",51.0,19,-2.7,53.7
KY-175,"Morgan County",51.4,17,-2.7,54.1
KY-177,"Muhlenberg County",54.6,23,-2.3,56.9
KY-179,"Nelson County",52.5,22,-2.4,54.9
KY-181,"Nicholas County",50.7,22,-2.5,53.2
KY-183,"Ohio County",53.7,25,-2.3,56
KY-185,"Oldham County",52.2,31,-1.8,54
KY-187,"Owen County",51.6,29,-1.8,53.4
KY-189,"Owsley County",52.8,20,-2.4,55.2
KY-191,"Pendleton County",51.3,29,-1.7,53
KY-193,"Perry County",52.6,20,-2.3,54.9
KY-195,"Pike County",53.1,24,-2.0,55.1
KY-197,"Powell County",51.6,19,-3.0,54.6
KY-199,"Pulaski County",52.5,26,-2.3,54.8
KY-201,"Robertson County",50.8,24,-2.1,52.9
KY-203,"Rockcastle County",51.8,21,-2.5,54.3
KY-205,"Rowan County",50.4,14,-3.2,53.6
KY-207,"Russell County",52.7,23,-2.5,55.2
KY-209,"Scott County",51.1,26,-2.2,53.3
KY-211,"Shelby County",51.8,27,-2.0,53.8
KY-213,"Simpson County",54.4,20,-2.7,57.1
KY-215,"Spencer County",52.3,27,-2.2,54.5
KY-217,"Taylor County",51.9,15,-3.2,55.1
KY-219,"Todd County",54.8,25,-2.3,57.1
KY-221,"Trigg County",55.4,25,-2.3,57.7
KY-223,"Trimble County",52.0,30,-1.6,53.6
KY-225,"Union County",53.1,14,-3.5,56.6
KY-227,"Warren County",54.6,21,-2.4,57
KY-229,"Washington County",51.6,18,-2.9,54.5
KY-231,"Wayne County",53.2,27,-1.9,55.1
KY-233,"Webster County",53.5,15,-3.3,56.8
KY-235,"Whitley County",53.1,21,-2.3,55.4
