April 2020 Maryland County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MD-001,"Allegany County",48.4,27,-2.0,50.4
MD-003,"Anne Arundel County",53.9,62,0.2,53.7
MD-005,"Baltimore County",51.0,52,-0.4,51.4
MD-009,"Calvert County",54.4,71,0.5,53.9
MD-011,"Caroline County",53.6,75,0.8,52.8
MD-013,"Carroll County",49.2,40,-1.2,50.4
MD-015,"Cecil County",51.2,51,-0.5,51.7
MD-017,"Charles County",54.5,63,0.2,54.3
MD-019,"Dorchester County",54.7,80,1.1,53.6
MD-021,"Frederick County",49.9,37,-1.3,51.2
MD-023,"Garrett County",44.8,36,-1.4,46.2
MD-025,"Harford County",51.0,48,-0.7,51.7
MD-027,"Howard County",51.0,53,-0.5,51.5
MD-029,"Kent County",52.9,65,0.1,52.8
MD-031,"Montgomery County",51.4,49,-0.8,52.2
MD-033,"Prince George's County",53.5,59,-0.1,53.6
MD-035,"Queen Anne's County",53.3,67,0.3,53
MD-037,"St. Mary's County",54.8,74,0.7,54.1
MD-039,"Somerset County",54.6,76,0.8,53.8
MD-041,"Talbot County",54.4,72,0.7,53.7
MD-043,"Washington County",49.7,36,-1.3,51
MD-045,"Wicomico County",54.1,78,1.0,53.1
MD-047,"Worcester County",53.7,77,1.0,52.7
MD-510,"Baltimore City",53.3,63,0.4,52.9
MD-511,"",53.5,56,-0.4,53.9
