April 2020 Michigan County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MI-001,"Alcona County",38.9,39,-1.4,40.3
MI-003,"Alger County",34.6,20,-3.1,37.7
MI-005,"Allegan County",43.8,28,-2.2,46
MI-007,"Alpena County",38.8,44,-1.2,40
MI-009,"Antrim County",38.8,32,-1.8,40.6
MI-011,"Arenac County",41.5,47,-1.0,42.5
MI-013,"Baraga County",34.0,30,-2.6,36.6
MI-015,"Barry County",43.5,32,-2.0,45.5
MI-017,"Bay County",43.1,48,-0.8,43.9
MI-019,"Benzie County",39.7,50,-0.6,40.3
MI-021,"Berrien County",44.5,27,-2.2,46.7
MI-023,"Branch County",44.5,32,-1.7,46.2
MI-025,"Calhoun County",43.9,33,-1.7,45.6
MI-027,"Cass County",44.6,31,-1.9,46.5
MI-029,"Charlevoix County",38.6,31,-2.0,40.6
MI-031,"Cheboygan County",38.0,32,-1.9,39.9
MI-033,"Chippewa County",35.8,37,-1.5,37.3
MI-035,"Clare County",40.4,40,-1.7,42.1
MI-037,"Clinton County",43.4,34,-1.9,45.3
MI-039,"Crawford County",38.7,39,-1.7,40.4
MI-041,"Delta County",35.9,26,-2.7,38.6
MI-043,"Dickinson County",35.6,26,-2.8,38.4
MI-045,"Eaton County",43.4,33,-1.9,45.3
MI-047,"Emmet County",37.6,34,-1.8,39.4
MI-049,"Genesee County",44.5,50,-0.4,44.9
MI-051,"Gladwin County",41.7,44,-1.3,43
MI-053,"Gogebic County",34.8,28,-3.0,37.8
MI-055,"Grand Traverse County",39.4,44,-1.1,40.5
MI-057,"Gratiot County",43.3,41,-1.4,44.7
MI-059,"Hillsdale County",44.0,32,-1.8,45.8
MI-061,"Houghton County",35.8,35,-1.9,37.7
MI-063,"Huron County",41.1,46,-1.2,42.3
MI-065,"Ingham County",43.6,40,-1.5,45.1
MI-067,"Ionia County",42.9,33,-2.2,45.1
MI-069,"Iosco County",40.1,42,-1.2,41.3
MI-071,"Iron County",34.6,29,-2.6,37.2
MI-073,"Isabella County",42.0,42,-1.5,43.5
MI-075,"Jackson County",43.6,36,-1.6,45.2
MI-077,"Kalamazoo County",44.3,32,-1.8,46.1
MI-079,"Kalkaska County",38.9,37,-1.6,40.5
MI-081,"Kent County",43.0,34,-1.9,44.9
MI-083,"Keweenaw County",35.5,46,-1.0,36.5
MI-085,"Lake County",40.8,38,-1.7,42.5
MI-087,"Lapeer County",43.4,45,-1.0,44.4
MI-089,"Leelanau County",39.0,48,-0.8,39.8
MI-091,"Lenawee County",45.2,42,-1.2,46.4
MI-093,"Livingston County",44.1,46,-0.6,44.7
MI-095,"Luce County",34.8,28,-2.3,37.1
MI-097,"Mackinac County",35.9,33,-1.8,37.7
MI-099,"Macomb County",44.5,46,-0.9,45.4
MI-101,"Manistee County",40.4,45,-1.0,41.4
MI-103,"Marquette County",33.9,24,-3.1,37
MI-105,"Mason County",41.2,41,-1.2,42.4
MI-107,"Mecosta County",41.2,37,-1.8,43
MI-109,"Menominee County",37.2,25,-2.8,40
MI-111,"Midland County",43.2,44,-1.0,44.2
MI-113,"Missaukee County",39.0,33,-1.8,40.8
MI-115,"Monroe County",46.4,50,-0.6,47
MI-117,"Montcalm County",42.1,37,-1.8,43.9
MI-119,"Montmorency County",38.6,38,-1.7,40.3
MI-121,"Muskegon County",43.0,44,-1.1,44.1
MI-123,"Newaygo County",42.0,40,-1.4,43.4
MI-125,"Oakland County",44.2,47,-0.7,44.9
MI-127,"Oceana County",41.8,42,-1.2,43
MI-129,"Ogemaw County",40.2,45,-1.2,41.4
MI-131,"Ontonagon County",35.4,29,-2.7,38.1
MI-133,"Osceola County",39.7,32,-2.0,41.7
MI-135,"Oscoda County",38.9,40,-1.6,40.5
MI-137,"Otsego County",37.8,32,-2.1,39.9
MI-139,"Ottawa County",43.5,39,-1.7,45.2
MI-141,"Presque Isle County",38.3,39,-1.5,39.8
MI-143,"Roscommon County",39.8,44,-1.2,41
MI-145,"Saginaw County",44.2,49,-0.7,44.9
MI-147,"St. Clair County",43.6,45,-1.1,44.7
MI-149,"St. Joseph County",44.7,30,-1.9,46.6
MI-151,"Sanilac County",42.1,42,-1.2,43.3
MI-153,"Schoolcraft County",35.7,24,-2.7,38.4
MI-155,"Shiawassee County",44.0,44,-1.1,45.1
MI-157,"Tuscola County",43.1,47,-1.0,44.1
MI-159,"Van Buren County",44.1,28,-2.3,46.4
MI-161,"Washtenaw County",44.6,46,-0.8,45.4
MI-163,"Wayne County",45.6,48,-0.7,46.3
MI-165,"Wexford County",39.2,35,-1.6,40.8
