April 2020 Mississippi County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",64.2,41,-1.3,65.5
MS-003,"Alcorn County",57.5,22,-2.6,60.1
MS-005,"Amite County",65.8,74,0.5,65.3
MS-007,"Attala County",60.2,19,-2.4,62.6
MS-009,"Benton County",57.8,18,-2.6,60.4
MS-011,"Bolivar County",61.7,36,-1.3,63
MS-013,"Calhoun County",59.8,22,-2.4,62.2
MS-015,"Carroll County",61.3,38,-1.4,62.7
MS-017,"Chickasaw County",60.6,34,-1.6,62.2
MS-019,"Choctaw County",59.8,21,-2.3,62.1
MS-021,"Claiborne County",64.2,49,-0.8,65
MS-023,"Clarke County",64.2,67,0.1,64.1
MS-025,"Clay County",61.2,34,-1.4,62.6
MS-027,"Coahoma County",60.5,28,-1.8,62.3
MS-029,"Copiah County",64.5,58,-0.1,64.6
MS-031,"Covington County",65.2,77,0.5,64.7
MS-033,"DeSoto County",59.1,20,-2.5,61.6
MS-035,"Forrest County",65.9,73,0.5,65.4
MS-037,"Franklin County",64.7,56,-0.3,65
MS-039,"George County",67.0,91,1.2,65.8
MS-041,"Greene County",65.9,75,0.4,65.5
MS-043,"Grenada County",60.6,28,-2.1,62.7
MS-045,"Hancock County",68.0,99,1.9,66.1
MS-047,"Harrison County",67.7,98,1.6,66.1
MS-049,"Hinds County",63.9,54,-0.5,64.4
MS-051,"Holmes County",62.5,41,-1.0,63.5
MS-053,"Humphreys County",64.0,66,-0.0,64
MS-055,"Issaquena County",63.5,49,-0.8,64.3
MS-057,"Itawamba County",59.6,32,-1.7,61.3
MS-059,"Jackson County",67.8,98,1.6,66.2
MS-061,"Jasper County",64.4,73,0.5,63.9
MS-063,"Jefferson County",64.0,45,-1.1,65.1
MS-065,"Jefferson Davis County",65.2,73,0.5,64.7
MS-067,"Jones County",65.5,78,0.6,64.9
MS-069,"Kemper County",61.6,34,-1.4,63
MS-071,"Lafayette County",58.9,17,-3.0,61.9
MS-073,"Lamar County",65.8,73,0.5,65.3
MS-075,"Lauderdale County",63.2,63,-0.2,63.4
MS-077,"Lawrence County",65.5,71,0.6,64.9
MS-079,"Leake County",60.6,17,-2.3,62.9
MS-081,"Lee County",60.3,35,-1.4,61.7
MS-083,"Leflore County",63.0,53,-0.4,63.4
MS-085,"Lincoln County",65.3,73,0.6,64.7
MS-087,"Lowndes County",61.7,41,-1.1,62.8
MS-089,"Madison County",62.1,25,-1.9,64
MS-091,"Marion County",66.0,73,0.5,65.5
MS-093,"Marshall County",58.3,15,-2.7,61
MS-095,"Monroe County",60.9,36,-1.3,62.2
MS-097,"Montgomery County",59.7,17,-2.6,62.3
MS-099,"Neshoba County",60.5,23,-2.1,62.6
MS-101,"Newton County",62.5,53,-0.6,63.1
MS-103,"Noxubee County",61.6,36,-1.4,63
MS-105,"Oktibbeha County",61.2,32,-1.4,62.6
MS-107,"Panola County",59.4,16,-2.9,62.3
MS-109,"Pearl River County",67.0,92,1.4,65.6
MS-111,"Perry County",65.9,75,0.5,65.4
MS-113,"Pike County",66.3,86,1.2,65.1
MS-115,"Pontotoc County",59.8,27,-1.9,61.7
MS-117,"Prentiss County",58.8,27,-1.9,60.7
MS-119,"Quitman County",60.2,20,-2.4,62.6
MS-121,"Rankin County",63.1,49,-0.8,63.9
MS-123,"Scott County",61.9,38,-1.3,63.2
MS-125,"Sharkey County",63.7,51,-0.6,64.3
MS-127,"Simpson County",64.2,59,-0.0,64.2
MS-129,"Smith County",64.0,63,0.1,63.9
MS-131,"Stone County",66.7,91,1.1,65.6
MS-133,"Sunflower County",62.8,51,-0.6,63.4
MS-135,"Tallahatchie County",61.2,34,-1.7,62.9
MS-137,"Tate County",59.1,17,-2.8,61.9
MS-139,"Tippah County",58.0,23,-2.4,60.4
MS-141,"Tishomingo County",57.7,21,-2.4,60.1
MS-143,"Tunica County",59.8,23,-2.2,62
MS-145,"Union County",59.2,28,-2.1,61.3
MS-147,"Walthall County",66.2,84,0.9,65.3
MS-149,"Warren County",64.2,52,-0.5,64.7
MS-151,"Washington County",63.0,47,-0.8,63.8
MS-153,"Wayne County",64.6,62,-0.2,64.8
MS-155,"Webster County",59.9,23,-2.2,62.1
MS-157,"Wilkinson County",65.2,53,-0.7,65.9
MS-159,"Winston County",60.4,25,-1.9,62.3
MS-161,"Yalobusha County",59.7,19,-2.7,62.4
MS-163,"Yazoo County",63.2,39,-1.1,64.3
