April 2020 New Jersey County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NJ-001,"Atlantic County",50.0,61,0.1,49.9
NJ-003,"Bergen County",47.8,37,-1.3,49.1
NJ-005,"Burlington County",50.1,52,-0.5,50.6
NJ-007,"Camden County",50.7,50,-0.5,51.2
NJ-009,"Cape May County",50.2,66,0.3,49.9
NJ-011,"Cumberland County",50.6,56,-0.1,50.7
NJ-013,"Essex County",48.1,36,-1.3,49.4
NJ-015,"Gloucester County",50.9,49,-0.5,51.4
NJ-017,"Hudson County",49.2,40,-0.9,50.1
NJ-019,"Hunterdon County",47.4,46,-0.6,48
NJ-021,"Mercer County",49.4,51,-0.4,49.8
NJ-023,"Middlesex County",49.2,52,-0.5,49.7
NJ-025,"Monmouth County",49.2,57,-0.3,49.5
NJ-027,"Morris County",46.1,34,-1.4,47.5
NJ-029,"Ocean County",49.2,59,-0.1,49.3
NJ-031,"Passaic County",46.3,35,-1.4,47.7
NJ-033,"Salem County",51.1,52,-0.4,51.5
NJ-035,"Somerset County",48.2,44,-0.7,48.9
NJ-037,"Sussex County",44.6,28,-1.9,46.5
NJ-039,"Union County",48.7,39,-1.0,49.7
NJ-041,"Warren County",45.6,32,-1.3,46.9
