April 2020 Ohio County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",50.8,34,-1.4,52.2
OH-003,"Allen County",47.5,38,-1.1,48.6
OH-005,"Ashland County",45.9,36,-1.2,47.1
OH-007,"Ashtabula County",43.9,40,-1.3,45.2
OH-009,"Athens County",50.0,32,-1.4,51.4
OH-011,"Auglaize County",47.3,32,-1.5,48.8
OH-013,"Belmont County",47.6,28,-1.9,49.5
OH-015,"Brown County",50.2,32,-1.5,51.7
OH-017,"Butler County",50.6,44,-0.8,51.4
OH-019,"Carroll County",46.3,33,-1.5,47.8
OH-021,"Champaign County",47.2,24,-2.0,49.2
OH-023,"Clark County",48.4,31,-1.4,49.8
OH-025,"Clermont County",50.7,33,-1.3,52
OH-027,"Clinton County",49.4,39,-1.1,50.5
OH-029,"Columbiana County",45.3,28,-2.1,47.4
OH-031,"Coshocton County",47.2,29,-1.7,48.9
OH-033,"Crawford County",46.4,38,-1.1,47.5
OH-035,"Cuyahoga County",45.9,44,-1.0,46.9
OH-037,"Darke County",48.3,40,-0.9,49.2
OH-039,"Defiance County",45.9,25,-2.0,47.9
OH-041,"Delaware County",47.6,24,-1.9,49.5
OH-043,"Erie County",45.6,25,-2.0,47.6
OH-045,"Fairfield County",48.4,28,-2.1,50.5
OH-047,"Fayette County",48.8,32,-1.4,50.2
OH-049,"Franklin County",48.6,24,-2.0,50.6
OH-051,"Fulton County",46.3,45,-1.0,47.3
OH-053,"Gallia County",50.4,21,-2.5,52.9
OH-055,"Geauga County",44.0,38,-1.4,45.4
OH-057,"Greene County",49.3,38,-1.1,50.4
OH-059,"Guernsey County",47.0,20,-2.7,49.7
OH-061,"Hamilton County",51.3,39,-1.0,52.3
OH-063,"Hancock County",47.7,48,-0.5,48.2
OH-065,"Hardin County",47.5,44,-0.8,48.3
OH-067,"Harrison County",46.8,26,-1.9,48.7
OH-069,"Henry County",46.9,43,-1.1,48
OH-071,"Highland County",49.7,36,-1.2,50.9
OH-073,"Hocking County",49.0,29,-1.7,50.7
OH-075,"Holmes County",46.3,31,-1.6,47.9
OH-077,"Huron County",45.6,27,-1.9,47.5
OH-079,"Jackson County",50.1,30,-1.7,51.8
OH-081,"Jefferson County",46.4,21,-2.6,49
OH-083,"Knox County",46.2,26,-1.9,48.1
OH-085,"Lake County",44.5,42,-1.2,45.7
OH-087,"Lawrence County",51.6,31,-1.6,53.2
OH-089,"Licking County",47.2,24,-2.2,49.4
OH-091,"Logan County",46.6,30,-1.9,48.5
OH-093,"Lorain County",45.9,34,-1.6,47.5
OH-095,"Lucas County",47.5,53,-0.4,47.9
OH-097,"Madison County",48.3,28,-1.6,49.9
OH-099,"Mahoning County",44.6,27,-2.1,46.7
OH-101,"Marion County",47.3,36,-1.4,48.7
OH-103,"Medina County",46.1,37,-1.2,47.3
OH-105,"Meigs County",49.9,21,-2.4,52.3
OH-107,"Mercer County",47.4,35,-1.4,48.8
OH-109,"Miami County",48.6,34,-1.3,49.9
OH-111,"Monroe County",48.4,28,-1.9,50.3
OH-113,"Montgomery County",49.9,41,-0.7,50.6
OH-115,"Morgan County",49.6,35,-1.2,50.8
OH-117,"Morrow County",46.2,28,-1.7,47.9
OH-119,"Muskingum County",48.3,31,-1.6,49.9
OH-121,"Noble County",48.7,30,-1.7,50.4
OH-123,"Ottawa County",46.6,38,-1.4,48
OH-125,"Paulding County",45.8,22,-2.7,48.5
OH-127,"Perry County",48.5,29,-1.6,50.1
OH-129,"Pickaway County",49.4,29,-1.8,51.2
OH-131,"Pike County",50.6,37,-1.2,51.8
OH-133,"Portage County",45.1,42,-1.1,46.2
OH-135,"Preble County",49.1,42,-0.7,49.8
OH-137,"Putnam County",47.2,39,-1.3,48.5
OH-139,"Richland County",46.0,42,-0.9,46.9
OH-141,"Ross County",49.9,32,-1.6,51.5
OH-143,"Sandusky County",46.5,31,-1.7,48.2
OH-145,"Scioto County",51.2,33,-1.3,52.5
OH-147,"Seneca County",46.5,34,-1.5,48
OH-149,"Shelby County",47.2,26,-1.9,49.1
OH-151,"Stark County",46.6,48,-0.7,47.3
OH-153,"Summit County",46.6,50,-0.5,47.1
OH-155,"Trumbull County",44.4,34,-1.6,46
OH-157,"Tuscarawas County",47.1,30,-1.6,48.7
OH-159,"Union County",47.5,24,-1.8,49.3
OH-161,"Van Wert County",46.6,24,-2.1,48.7
OH-163,"Vinton County",49.4,30,-1.8,51.2
OH-165,"Warren County",50.4,42,-0.9,51.3
OH-167,"Washington County",50.8,41,-0.7,51.5
OH-169,"Wayne County",45.9,32,-1.6,47.5
OH-171,"Williams County",45.4,30,-1.7,47.1
OH-173,"Wood County",47.6,49,-0.7,48.3
OH-175,"Wyandot County",47.7,48,-0.6,48.3
