April 2020 Oklahoma County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",57.0,33,-1.7,58.7
OK-003,"Alfalfa County",56.4,45,-0.9,57.3
OK-005,"Atoka County",59.6,20,-2.3,61.9
OK-007,"Beaver County",55.0,43,-0.8,55.8
OK-009,"Beckham County",58.7,58,-0.3,59
OK-011,"Blaine County",57.0,36,-1.4,58.4
OK-013,"Bryan County",60.7,26,-1.8,62.5
OK-015,"Caddo County",58.4,37,-1.3,59.7
OK-017,"Canadian County",57.7,36,-1.3,59
OK-019,"Carter County",59.4,14,-3.0,62.4
OK-021,"Cherokee County",58.0,34,-1.6,59.6
OK-023,"Choctaw County",60.1,24,-1.9,62
OK-025,"Cimarron County",52.8,58,-0.3,53.1
OK-027,"Cleveland County",58.8,34,-1.6,60.4
OK-029,"Coal County",59.3,17,-2.6,61.9
OK-031,"Comanche County",59.5,33,-1.6,61.1
OK-033,"Cotton County",60.5,28,-1.8,62.3
OK-035,"Craig County",57.1,37,-1.4,58.5
OK-037,"Creek County",58.4,33,-1.8,60.2
OK-039,"Custer County",57.4,45,-1.0,58.4
OK-041,"Delaware County",57.0,35,-1.5,58.5
OK-043,"Dewey County",56.5,40,-1.1,57.6
OK-045,"Ellis County",56.2,54,-0.4,56.6
OK-047,"Garfield County",56.9,43,-1.1,58
OK-049,"Garvin County",58.9,19,-2.8,61.7
OK-051,"Grady County",59.3,45,-1.0,60.3
OK-053,"Grant County",56.6,49,-0.8,57.4
OK-055,"Greer County",59.2,44,-1.0,60.2
OK-057,"Harmon County",59.7,43,-1.0,60.7
OK-059,"Harper County",55.8,46,-1.0,56.8
OK-061,"Haskell County",59.3,27,-1.9,61.2
OK-063,"Hughes County",59.0,23,-2.1,61.1
OK-065,"Jackson County",60.0,39,-1.3,61.3
OK-067,"Jefferson County",60.2,18,-2.7,62.9
OK-069,"Johnston County",59.2,16,-2.8,62
OK-071,"Kay County",57.3,52,-0.7,58
OK-073,"Kingfisher County",57.4,33,-1.9,59.3
OK-075,"Kiowa County",59.1,41,-1.1,60.2
OK-077,"Latimer County",59.1,32,-1.8,60.9
OK-079,"Le Flore County",58.7,31,-1.7,60.4
OK-081,"Lincoln County",58.2,24,-2.3,60.5
OK-083,"Logan County",57.6,30,-1.9,59.5
OK-085,"Love County",60.4,19,-2.5,62.9
OK-087,"McClain County",59.3,41,-1.3,60.6
OK-089,"McCurtain County",60.0,45,-0.8,60.8
OK-091,"McIntosh County",59.4,32,-1.8,61.2
OK-093,"Major County",56.7,39,-1.3,58
OK-095,"Marshall County",60.5,23,-2.1,62.6
OK-097,"Mayes County",58.4,42,-1.2,59.6
OK-099,"Murray County",58.4,13,-3.4,61.8
OK-101,"Muskogee County",59.1,32,-1.8,60.9
OK-103,"Noble County",58.0,49,-0.8,58.8
OK-105,"Nowata County",57.1,39,-1.5,58.6
OK-107,"Okfuskee County",58.8,27,-2.0,60.8
OK-109,"Oklahoma County",58.1,31,-1.8,59.9
OK-111,"Okmulgee County",59.0,32,-1.9,60.9
OK-113,"Osage County",57.4,45,-1.4,58.8
OK-115,"Ottawa County",56.3,33,-1.8,58.1
OK-117,"Pawnee County",58.4,49,-1.1,59.5
OK-119,"Payne County",58.2,37,-1.5,59.7
OK-121,"Pittsburg County",59.4,28,-2.0,61.4
OK-123,"Pontotoc County",58.2,16,-3.1,61.3
OK-125,"Pottawatomie County",58.7,24,-2.2,60.9
OK-127,"Pushmataha County",59.1,29,-1.9,61
OK-129,"Roger Mills County",57.8,69,-0.1,57.9
OK-131,"Rogers County",58.4,41,-1.2,59.6
OK-133,"Seminole County",58.6,21,-2.4,61
OK-135,"Sequoyah County",58.7,29,-1.8,60.5
OK-137,"Stephens County",59.4,21,-2.4,61.8
OK-139,"Texas County",54.9,60,-0.0,54.9
OK-141,"Tillman County",60.4,36,-1.5,61.9
OK-143,"Tulsa County",58.6,40,-1.5,60.1
OK-145,"Wagoner County",59.0,34,-1.5,60.5
OK-147,"Washington County",57.3,41,-1.5,58.8
OK-149,"Washita County",58.1,44,-1.0,59.1
OK-151,"Woods County",55.9,43,-1.0,56.9
OK-153,"Woodward County",55.9,40,-1.1,57
