April 2020 Pennsylvania County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",48.4,32,-1.5,49.9
PA-003,"Allegheny County",47.3,27,-2.1,49.4
PA-005,"Armstrong County",45.9,36,-1.5,47.4
PA-007,"Beaver County",46.4,24,-2.3,48.7
PA-009,"Bedford County",46.5,26,-2.0,48.5
PA-011,"Berks County",48.0,34,-1.1,49.1
PA-013,"Blair County",45.3,30,-1.9,47.2
PA-015,"Bradford County",42.0,21,-2.6,44.6
PA-017,"Bucks County",48.9,57,-0.3,49.2
PA-019,"Butler County",45.5,30,-1.8,47.3
PA-021,"Cambria County",43.4,30,-2.1,45.5
PA-023,"Cameron County",42.1,15,-3.3,45.4
PA-025,"Carbon County",44.2,35,-1.2,45.4
PA-027,"Centre County",44.6,20,-2.4,47
PA-029,"Chester County",49.3,43,-0.7,50
PA-031,"Clarion County",44.8,44,-0.9,45.7
PA-033,"Clearfield County",43.5,26,-2.1,45.6
PA-035,"Clinton County",43.7,13,-3.0,46.7
PA-037,"Columbia County",44.8,29,-2.0,46.8
PA-039,"Crawford County",43.5,43,-1.2,44.7
PA-041,"Cumberland County",48.3,31,-1.6,49.9
PA-043,"Dauphin County",47.6,34,-1.5,49.1
PA-045,"Delaware County",50.8,51,-0.4,51.2
PA-047,"Elk County",42.2,30,-1.9,44.1
PA-049,"Erie County",43.4,44,-1.1,44.5
PA-051,"Fayette County",46.8,27,-2.0,48.8
PA-053,"Forest County",43.4,45,-1.0,44.4
PA-055,"Franklin County",48.1,28,-1.7,49.8
PA-057,"Fulton County",47.7,28,-1.7,49.4
PA-059,"Greene County",47.8,27,-2.0,49.8
PA-061,"Huntingdon County",46.8,30,-1.9,48.7
PA-063,"Indiana County",45.2,31,-1.6,46.8
PA-065,"Jefferson County",43.6,39,-1.4,45
PA-067,"Juniata County",47.4,27,-2.0,49.4
PA-069,"Lackawanna County",42.7,37,-1.6,44.3
PA-071,"Lancaster County",48.6,35,-1.2,49.8
PA-073,"Lawrence County",45.3,27,-2.2,47.5
PA-075,"Lebanon County",47.7,35,-1.1,48.8
PA-077,"Lehigh County",47.6,38,-0.9,48.5
PA-079,"Luzerne County",44.0,38,-1.2,45.2
PA-081,"Lycoming County",43.6,18,-2.6,46.2
PA-083,"McKean County",41.5,35,-1.6,43.1
PA-085,"Mercer County",44.4,38,-1.3,45.7
PA-087,"Mifflin County",46.8,29,-1.9,48.7
PA-089,"Monroe County",42.6,25,-2.2,44.8
PA-091,"Montgomery County",50.0,60,-0.1,50.1
PA-093,"Montour County",45.7,22,-2.3,48
PA-095,"Northampton County",46.5,38,-1.0,47.5
PA-097,"Northumberland County",45.7,20,-2.4,48.1
PA-099,"Perry County",47.7,30,-1.7,49.4
PA-101,"Philadelphia County",51.1,58,-0.1,51.2
PA-103,"Pike County",42.2,23,-2.5,44.7
PA-105,"Potter County",40.7,15,-3.1,43.8
PA-107,"Schuylkill County",45.2,31,-1.6,46.8
PA-109,"Snyder County",46.3,19,-2.5,48.8
PA-111,"Somerset County",43.9,28,-1.8,45.7
PA-113,"Sullivan County",41.0,23,-2.4,43.4
PA-115,"Susquehanna County",41.6,28,-2.5,44.1
PA-117,"Tioga County",41.0,17,-3.0,44
PA-119,"Union County",45.6,18,-2.5,48.1
PA-121,"Venango County",44.5,49,-0.8,45.3
PA-123,"Warren County",42.8,46,-0.9,43.7
PA-125,"Washington County",47.2,23,-2.1,49.3
PA-127,"Wayne County",41.5,25,-2.4,43.9
PA-129,"Westmoreland County",46.4,27,-2.1,48.5
PA-131,"Wyoming County",43.3,36,-1.5,44.8
PA-133,"York County",48.5,34,-1.3,49.8
