April 2020 South Carolina County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SC-001,"Abbeville County",60.4,60,-0.4,60.8
SC-003,"Aiken County",63.9,85,1.3,62.6
SC-005,"Allendale County",64.3,80,0.8,63.5
SC-007,"Anderson County",59.9,58,-0.1,60
SC-009,"Bamberg County",63.7,69,0.4,63.3
SC-011,"Barnwell County",64.0,81,0.9,63.1
SC-013,"Beaufort County",66.9,102,2.0,64.9
SC-015,"Berkeley County",64.5,86,1.1,63.4
SC-017,"Calhoun County",63.9,77,0.8,63.1
SC-019,"Charleston County",65.5,100,1.7,63.8
SC-021,"Cherokee County",58.8,52,-0.4,59.2
SC-023,"Chester County",60.1,56,-0.2,60.3
SC-025,"Chesterfield County",61.1,67,0.4,60.7
SC-027,"Clarendon County",63.6,73,0.6,63
SC-029,"Colleton County",65.0,92,1.3,63.7
SC-031,"Darlington County",62.2,68,0.4,61.8
SC-033,"Dillon County",62.0,68,0.2,61.8
SC-035,"Dorchester County",64.8,86,1.2,63.6
SC-037,"Edgefield County",62.6,71,0.4,62.2
SC-039,"Fairfield County",61.1,59,-0.2,61.3
SC-041,"Florence County",63.1,77,0.7,62.4
SC-043,"Georgetown County",62.9,65,0.2,62.7
SC-045,"Greenville County",59.2,74,0.5,58.7
SC-047,"Greenwood County",61.1,61,-0.1,61.2
SC-049,"Hampton County",64.9,90,1.1,63.8
SC-051,"Horry County",62.4,70,0.5,61.9
SC-053,"Jasper County",66.2,100,1.8,64.4
SC-055,"Kershaw County",61.7,70,0.5,61.2
SC-057,"Lancaster County",60.2,63,0.2,60
SC-059,"Laurens County",60.6,59,-0.1,60.7
SC-061,"Lee County",62.5,74,0.6,61.9
SC-063,"Lexington County",63.6,88,1.6,62
SC-065,"McCormick County",61.5,61,-0.2,61.7
SC-067,"Marion County",62.8,72,0.5,62.3
SC-069,"Marlboro County",61.7,61,0.2,61.5
SC-071,"Newberry County",61.5,66,0.2,61.3
SC-073,"Oconee County",58.5,50,-0.6,59.1
SC-075,"Orangeburg County",63.8,69,0.5,63.3
SC-077,"Pickens County",58.9,68,0.2,58.7
SC-079,"Richland County",63.5,81,1.1,62.4
SC-081,"Saluda County",62.0,68,0.4,61.6
SC-083,"Spartanburg County",59.8,72,0.4,59.4
SC-085,"Sumter County",63.4,81,0.8,62.6
SC-087,"Union County",60.0,52,-0.3,60.3
SC-089,"Williamsburg County",63.1,65,0.2,62.9
SC-091,"York County",59.4,62,-0.1,59.5
