April 2020 California County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",57.6,,2.4,55.2
CA-003,"Alpine County",41.4,,2.7,38.7
CA-005,"Amador County",55.1,,1.9,53.2
CA-007,"Butte County",58.2,,2.6,55.6
CA-009,"Calaveras County",55.5,,2.0,53.5
CA-011,"Colusa County",61.1,,3.8,57.3
CA-013,"Contra Costa County",58.9,,2.2,56.7
CA-015,"Del Norte County",51.7,,4.7,47
CA-017,"El Dorado County",51.0,,2.3,48.7
CA-019,"Fresno County",53.0,,2.3,50.7
CA-021,"Glenn County",59.7,,4.1,55.6
CA-023,"Humboldt County",53.3,,3.6,49.7
CA-025,"Imperial County",72.3,,2.5,69.8
CA-027,"Inyo County",58.2,,1.5,56.7
CA-029,"Kern County",59.0,,2.0,57
CA-031,"Kings County",62.8,,2.4,60.4
CA-033,"Lake County",55.3,,3.7,51.6
CA-035,"Lassen County",46.0,,3.2,42.8
CA-037,"Los Angeles County",58.5,,2.4,56.1
CA-039,"Madera County",53.9,,2.4,51.5
CA-041,"Marin County",54.9,,2.0,52.9
CA-043,"Mariposa County",52.4,,2.1,50.3
CA-045,"Mendocino County",54.3,,3.5,50.8
CA-047,"Merced County",61.5,,2.7,58.8
CA-049,"Modoc County",46.0,,3.6,42.4
CA-051,"Mono County",42.1,,2.7,39.4
CA-053,"Monterey County",56.5,,2.7,53.8
CA-055,"Napa County",58.5,,3.4,55.1
CA-057,"Nevada County",50.0,,2.4,47.6
CA-059,"Orange County",61.5,,2.2,59.3
CA-061,"Placer County",51.6,,2.6,49
CA-063,"Plumas County",45.6,,2.4,43.2
CA-065,"Riverside County",65.9,,2.2,63.7
CA-067,"Sacramento County",62.1,,3.0,59.1
CA-069,"San Benito County",56.2,,2.8,53.4
CA-071,"San Bernardino County",63.8,,1.4,62.4
CA-073,"San Diego County",60.0,,2.5,57.5
CA-075,"San Francisco County",56.1,,1.7,54.4
CA-077,"San Joaquin County",62.2,,3.3,58.9
CA-079,"San Luis Obispo County",57.2,,2.9,54.3
CA-081,"San Mateo County",55.8,,2.7,53.1
CA-083,"Santa Barbara County",56.2,,3.6,52.6
CA-085,"Santa Clara County",56.5,,3.1,53.4
CA-087,"Santa Cruz County",56.0,,3.0,53
CA-089,"Shasta County",54.4,,3.7,50.7
CA-091,"Sierra County",45.1,,2.6,42.5
CA-093,"Siskiyou County",48.4,,4.5,43.9
CA-095,"Solano County",60.9,,3.0,57.9
CA-097,"Sonoma County",56.1,,2.8,53.3
CA-099,"Stanislaus County",60.7,,2.7,58
CA-101,"Sutter County",62.9,,3.2,59.7
CA-103,"Tehama County",57.7,,3.9,53.8
CA-105,"Trinity County",51.6,,4.2,47.4
CA-107,"Tulare County",50.9,,1.6,49.3
CA-109,"Tuolumne County",47.0,,2.0,45
CA-111,"Ventura County",55.0,,3.4,51.6
CA-113,"Yolo County",62.3,,3.9,58.4
CA-115,"Yuba County",59.6,,2.8,56.8
