April 2020 Tennessee County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",54.3,20,-2.3,56.6
TN-003,"Bedford County",56.1,25,-2.0,58.1
TN-005,"Benton County",56.7,31,-1.9,58.6
TN-007,"Bledsoe County",53.7,20,-2.6,56.3
TN-009,"Blount County",54.7,20,-2.4,57.1
TN-011,"Bradley County",56.9,26,-1.9,58.8
TN-013,"Campbell County",52.6,17,-2.6,55.2
TN-015,"Cannon County",54.9,19,-2.4,57.3
TN-017,"Carroll County",55.8,19,-2.8,58.6
TN-019,"Carter County",50.3,27,-1.8,52.1
TN-021,"Cheatham County",55.9,29,-1.9,57.8
TN-023,"Chester County",56.6,18,-2.7,59.3
TN-025,"Claiborne County",52.4,15,-2.9,55.3
TN-027,"Clay County",54.2,19,-2.7,56.9
TN-029,"Cocke County",54.9,33,-1.3,56.2
TN-031,"Coffee County",54.7,20,-2.5,57.2
TN-033,"Crockett County",56.7,22,-2.5,59.2
TN-035,"Cumberland County",51.8,18,-2.9,54.7
TN-037,"Davidson County",56.2,26,-2.0,58.2
TN-039,"Decatur County",56.6,21,-2.8,59.4
TN-041,"DeKalb County",54.9,21,-2.5,57.4
TN-043,"Dickson County",55.7,29,-1.8,57.5
TN-045,"Dyer County",56.9,24,-2.2,59.1
TN-047,"Fayette County",58.0,24,-2.3,60.3
TN-049,"Fentress County",52.1,23,-2.4,54.5
TN-051,"Franklin County",56.0,26,-1.9,57.9
TN-053,"Gibson County",55.7,16,-3.2,58.9
TN-055,"Giles County",55.5,14,-2.9,58.4
TN-057,"Grainger County",54.0,21,-2.1,56.1
TN-059,"Greene County",54.3,24,-1.8,56.1
TN-061,"Grundy County",53.6,22,-2.3,55.9
TN-063,"Hamblen County",55.0,26,-1.6,56.6
TN-065,"Hamilton County",56.9,32,-1.7,58.6
TN-067,"Hancock County",52.8,18,-2.5,55.3
TN-069,"Hardeman County",57.3,22,-2.4,59.7
TN-071,"Hardin County",56.9,20,-2.8,59.7
TN-073,"Hawkins County",54.0,21,-2.0,56
TN-075,"Haywood County",57.4,26,-2.2,59.6
TN-077,"Henderson County",56.2,19,-2.8,59
TN-079,"Henry County",55.9,21,-2.5,58.4
TN-081,"Hickman County",56.0,26,-2.0,58
TN-083,"Houston County",56.3,32,-1.6,57.9
TN-085,"Humphreys County",56.5,31,-1.6,58.1
TN-087,"Jackson County",55.0,25,-2.3,57.3
TN-089,"Jefferson County",55.6,30,-1.4,57
TN-091,"Johnson County",49.1,34,-1.4,50.5
TN-093,"Knox County",55.3,20,-2.2,57.5
TN-095,"Lake County",56.8,23,-2.1,58.9
TN-097,"Lauderdale County",57.9,27,-2.0,59.9
TN-099,"Lawrence County",55.1,15,-3.1,58.2
TN-101,"Lewis County",55.2,18,-2.7,57.9
TN-103,"Lincoln County",56.5,26,-2.2,58.7
TN-105,"Loudon County",55.7,20,-2.3,58
TN-107,"McMinn County",56.2,24,-2.1,58.3
TN-109,"McNairy County",57.0,18,-2.7,59.7
TN-111,"Macon County",54.4,20,-2.7,57.1
TN-113,"Madison County",56.7,22,-2.5,59.2
TN-115,"Marion County",56.0,31,-1.9,57.9
TN-117,"Marshall County",56.3,27,-1.8,58.1
TN-119,"Maury County",55.9,25,-2.0,57.9
TN-121,"Meigs County",56.1,26,-2.1,58.2
TN-123,"Monroe County",54.8,20,-2.4,57.2
TN-125,"Montgomery County",55.8,32,-1.8,57.6
TN-127,"Moore County",56.1,25,-2.0,58.1
TN-129,"Morgan County",53.0,24,-2.2,55.2
TN-131,"Obion County",55.6,18,-3.0,58.6
TN-133,"Overton County",53.1,19,-2.8,55.9
TN-135,"Perry County",56.4,22,-2.4,58.8
TN-137,"Pickett County",53.4,25,-2.3,55.7
TN-139,"Polk County",55.5,20,-2.5,58
TN-141,"Putnam County",53.6,21,-2.8,56.4
TN-143,"Rhea County",55.0,23,-2.3,57.3
TN-145,"Roane County",55.5,25,-2.1,57.6
TN-147,"Robertson County",54.9,22,-2.4,57.3
TN-149,"Rutherford County",56.1,24,-2.1,58.2
TN-151,"Scott County",52.3,20,-2.2,54.5
TN-153,"Sequatchie County",54.4,24,-2.1,56.5
TN-155,"Sevier County",53.1,21,-2.2,55.3
TN-157,"Shelby County",59.0,24,-2.2,61.2
TN-159,"Smith County",56.1,30,-1.8,57.9
TN-161,"Stewart County",56.2,33,-1.8,58
TN-163,"Sullivan County",53.4,33,-1.5,54.9
TN-165,"Sumner County",54.9,22,-2.6,57.5
TN-167,"Tipton County",58.4,24,-2.0,60.4
TN-169,"Trousdale County",55.6,27,-2.2,57.8
TN-171,"Unicoi County",50.5,22,-2.0,52.5
TN-173,"Union County",53.5,15,-2.7,56.2
TN-175,"Van Buren County",53.3,20,-2.7,56
TN-177,"Warren County",54.3,19,-2.6,56.9
TN-179,"Washington County",53.7,24,-1.8,55.5
TN-181,"Wayne County",56.0,20,-2.7,58.7
TN-183,"Weakley County",55.4,16,-3.2,58.6
TN-185,"White County",53.5,19,-3.0,56.5
TN-187,"Williamson County",56.0,28,-1.9,57.9
TN-189,"Wilson County",55.9,26,-2.2,58.1
