April 2020 Texas County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-001,"Anderson County",64.1,39,-1.1,65.2
TX-003,"Andrews County",63.6,87,1.1,62.5
TX-005,"Angelina County",65.9,66,0.0,65.9
TX-007,"Aransas County",72.8,106,2.4,70.4
TX-009,"Archer County",61.3,24,-2.1,63.4
TX-011,"Armstrong County",57.0,60,-0.3,57.3
TX-013,"Atascosa County",70.4,71,0.0,70.4
TX-015,"Austin County",68.2,72,0.2,68
TX-017,"Bailey County",56.4,62,-0.1,56.5
TX-019,"Bandera County",66.9,77,0.4,66.5
TX-021,"Bastrop County",67.1,58,-0.3,67.4
TX-023,"Baylor County",61.0,18,-2.5,63.5
TX-025,"Bee County",71.9,89,1.1,70.8
TX-027,"Bell County",64.8,47,-0.8,65.6
TX-029,"Bexar County",69.0,78,0.3,68.7
TX-031,"Blanco County",66.0,72,-0.2,66.2
TX-033,"Borden County",61.7,35,-1.4,63.1
TX-035,"Bosque County",64.2,39,-0.9,65.1
TX-037,"Bowie County",61.7,39,-1.2,62.9
TX-039,"Brazoria County",71.2,107,2.5,68.7
TX-041,"Brazos County",67.0,71,0.1,66.9
TX-043,"Brewster County",68.3,102,2.5,65.8
TX-045,"Briscoe County",58.4,54,-0.5,58.9
TX-047,"Brooks County",76.8,108,3.1,73.7
TX-049,"Brown County",63.1,36,-1.5,64.6
TX-051,"Burleson County",66.7,60,-0.3,67
TX-053,"Burnet County",64.9,34,-1.2,66.1
TX-055,"Caldwell County",68.2,80,0.2,68
TX-057,"Calhoun County",72.5,110,2.9,69.6
TX-059,"Callahan County",61.5,19,-2.3,63.8
TX-061,"Cameron County",78.7,121,4.2,74.5
TX-063,"Camp County",62.0,31,-1.6,63.6
TX-065,"Carson County",56.2,68,0.1,56.1
TX-067,"Cass County",62.0,27,-1.7,63.7
TX-069,"Castro County",55.1,51,-0.9,56
TX-071,"Chambers County",69.8,101,2.0,67.8
TX-073,"Cherokee County",63.9,34,-1.2,65.1
TX-075,"Childress County",60.3,47,-0.8,61.1
TX-077,"Clay County",61.1,25,-2.1,63.2
TX-079,"Cochran County",58.0,75,0.4,57.6
TX-081,"Coke County",64.0,60,-0.4,64.4
TX-083,"Coleman County",63.5,42,-0.9,64.4
TX-085,"Collin County",62.3,41,-1.0,63.3
TX-087,"Collingsworth County",58.4,44,-1.0,59.4
TX-089,"Colorado County",69.6,93,1.3,68.3
TX-091,"Comal County",67.9,81,0.6,67.3
TX-093,"Comanche County",63.1,39,-1.2,64.3
TX-095,"Concho County",64.5,68,-0.2,64.7
TX-097,"Cooke County",61.2,23,-2.0,63.2
TX-099,"Coryell County",64.6,48,-0.6,65.2
TX-101,"Cottle County",60.8,40,-1.3,62.1
TX-103,"Crane County",67.2,91,1.5,65.7
TX-105,"Crockett County",66.9,91,1.3,65.6
TX-107,"Crosby County",59.0,41,-1.0,60
TX-109,"Culberson County",63.5,98,2.2,61.3
TX-111,"Dallam County",53.6,69,0.5,53.1
TX-113,"Dallas County",63.8,43,-1.0,64.8
TX-115,"Dawson County",61.4,52,-0.7,62.1
TX-117,"Deaf Smith County",54.5,54,-0.4,54.9
TX-119,"Delta County",61.2,30,-1.7,62.9
TX-121,"Denton County",62.6,32,-1.5,64.1
TX-123,"DeWitt County",70.6,92,1.3,69.3
TX-125,"Dickens County",60.2,36,-1.5,61.7
TX-127,"Dimmit County",72.0,56,-0.2,72.2
TX-129,"Donley County",57.6,49,-0.6,58.2
TX-131,"Duval County",73.1,82,0.6,72.5
TX-133,"Eastland County",61.9,29,-1.9,63.8
TX-135,"Ector County",65.3,90,1.5,63.8
TX-137,"Edwards County",66.0,78,0.3,65.7
TX-139,"Ellis County",63.8,30,-1.5,65.3
TX-141,"El Paso County",67.0,119,5.1,61.9
TX-143,"Erath County",63.3,49,-0.8,64.1
TX-145,"Falls County",65.0,51,-0.6,65.6
TX-147,"Fannin County",61.1,32,-1.5,62.6
TX-149,"Fayette County",68.3,79,0.4,67.9
TX-151,"Fisher County",61.8,30,-1.7,63.5
TX-153,"Floyd County",57.5,43,-1.0,58.5
TX-155,"Foard County",60.8,28,-2.0,62.8
