April 2020 Utah County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
UT-001,"Beaver County",46.6,88,1.6,45
UT-003,"Box Elder County",46.2,75,1.0,45.2
UT-005,"Cache County",41.5,71,0.7,40.8
UT-007,"Carbon County",43.2,90,1.8,41.4
UT-009,"Daggett County",38.3,61,-0.1,38.4
UT-011,"Davis County",48.4,96,2.5,45.9
UT-013,"Duchesne County",40.2,86,1.7,38.5
UT-015,"Emery County",49.9,92,2.0,47.9
UT-017,"Garfield County",47.2,98,2.2,45
UT-019,"Grand County",50.4,98,2.3,48.1
UT-021,"Iron County",47.0,95,2.3,44.7
UT-023,"Juab County",47.9,77,1.2,46.7
UT-025,"Kane County",51.7,99,2.7,49
UT-027,"Millard County",48.9,84,1.4,47.5
UT-029,"Morgan County",42.5,88,2.1,40.4
UT-031,"Piute County",41.0,83,1.5,39.5
UT-033,"Rich County",38.7,72,1.0,37.7
UT-035,"Salt Lake County",47.2,90,2.0,45.2
UT-037,"San Juan County",52.0,99,2.2,49.8
UT-039,"Sanpete County",41.8,80,1.3,40.5
UT-041,"Sevier County",41.9,77,1.0,40.9
UT-043,"Summit County",36.0,73,0.9,35.1
UT-045,"Tooele County",49.0,76,1.1,47.9
UT-047,"Uintah County",44.9,81,1.0,43.9
UT-049,"Utah County",45.0,84,1.5,43.5
UT-051,"Wasatch County",38.7,80,1.3,37.4
UT-053,"Washington County",54.0,93,2.1,51.9
UT-055,"Wayne County",50.2,96,2.3,47.9
UT-057,"Weber County",45.0,88,2.2,42.8
