April 2020 Washington County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WA-001,"Adams County",48.0,62,-0.1,48.1
WA-003,"Asotin County",47.7,95,2.1,45.6
WA-005,"Benton County",53.2,92,1.6,51.6
WA-007,"Chelan County",42.6,93,1.3,41.3
WA-009,"Clallam County",45.9,101,1.8,44.1
WA-011,"Clark County",50.7,93,1.5,49.2
WA-013,"Columbia County",47.2,96,2.1,45.1
WA-015,"Cowlitz County",48.8,106,2.2,46.6
WA-017,"Douglas County",48.4,84,1.0,47.4
WA-019,"Ferry County",41.9,63,-0.1,42
WA-021,"Franklin County",51.8,85,1.1,50.7
WA-023,"Garfield County",47.8,98,2.3,45.5
WA-025,"Grant County",50.8,82,0.8,50
WA-027,"Grays Harbor County",48.2,85,1.0,47.2
WA-029,"Island County",51.0,117,2.5,48.5
WA-031,"Jefferson County",43.9,100,1.8,42.1
WA-033,"King County",46.3,93,1.2,45.1
WA-035,"Kitsap County",50.8,107,1.9,48.9
WA-037,"Kittitas County",44.8,99,1.7,43.1
WA-039,"Klickitat County",48.7,108,2.5,46.2
WA-041,"Lewis County",46.4,100,2.0,44.4
WA-043,"Lincoln County",45.5,56,-0.9,46.4
WA-045,"Mason County",47.5,92,1.3,46.2
WA-047,"Okanogan County",41.9,71,0.3,41.6
WA-049,"Pacific County",48.2,87,1.0,47.2
WA-051,"Pend Oreille County",40.8,60,-0.1,40.9
WA-053,"Pierce County",45.5,99,1.7,43.8
WA-055,"San Juan County",49.7,100,1.5,48.2
WA-057,"Skagit County",44.8,88,1.0,43.8
WA-059,"Skamania County",44.6,111,2.7,41.9
WA-061,"Snohomish County",44.9,82,0.7,44.2
WA-063,"Spokane County",46.0,75,0.7,45.3
WA-065,"Stevens County",44.0,59,-0.3,44.3
WA-067,"Thurston County",49.3,83,0.7,48.6
WA-069,"Wahkiakum County",48.7,98,1.7,47
WA-071,"Walla Walla County",51.9,87,1.1,50.8
WA-073,"Whatcom County",42.9,83,0.9,42
WA-075,"Whitman County",48.4,89,1.3,47.1
WA-077,"Yakima County",46.5,102,2.2,44.3
