April 2020 West Virginia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",48.4,32,-1.4,49.8
WV-003,"Berkeley County",49.8,36,-1.2,51
WV-005,"Boone County",51.2,22,-2.5,53.7
WV-007,"Braxton County",50.4,28,-2.1,52.5
WV-009,"Brooke County",47.1,21,-2.4,49.5
WV-011,"Cabell County",52.0,27,-2.0,54
WV-013,"Calhoun County",50.6,28,-1.7,52.3
WV-015,"Clay County",50.5,24,-2.4,52.9
WV-017,"Doddridge County",50.0,31,-1.3,51.3
WV-019,"Fayette County",48.7,22,-2.6,51.3
WV-021,"Gilmer County",50.7,30,-1.5,52.2
WV-023,"Grant County",47.4,31,-1.7,49.1
WV-025,"Greenbrier County",47.0,26,-1.9,48.9
WV-027,"Hampshire County",49.2,32,-1.5,50.7
WV-029,"Hancock County",46.2,19,-2.8,49
WV-031,"Hardy County",48.6,32,-1.6,50.2
WV-033,"Harrison County",49.9,36,-1.1,51
WV-035,"Jackson County",51.3,30,-1.7,53
WV-037,"Jefferson County",50.4,42,-1.1,51.5
WV-039,"Kanawha County",51.4,21,-2.3,53.7
WV-041,"Lewis County",50.3,34,-1.3,51.6
WV-043,"Lincoln County",52.1,24,-2.3,54.4
WV-045,"Logan County",51.6,17,-2.7,54.3
WV-047,"McDowell County",50.8,32,-1.7,52.5
WV-049,"Marion County",48.7,28,-1.9,50.6
WV-051,"Marshall County",48.2,29,-1.9,50.1
WV-053,"Mason County",50.5,20,-2.8,53.3
WV-055,"Mercer County",48.7,23,-2.2,50.9
WV-057,"Mineral County",49.1,27,-1.9,51
WV-059,"Mingo County",52.2,17,-2.6,54.8
WV-061,"Monongalia County",47.8,25,-2.3,50.1
WV-063,"Monroe County",49.2,25,-1.8,51
WV-065,"Morgan County",49.1,30,-1.6,50.7
WV-067,"Nicholas County",48.0,22,-2.5,50.5
WV-069,"Ohio County",47.7,28,-1.8,49.5
WV-071,"Pendleton County",46.8,35,-1.4,48.2
WV-073,"Pleasants County",50.2,35,-1.2,51.4
WV-075,"Pocahontas County",43.6,23,-2.3,45.9
WV-077,"Preston County",46.3,34,-1.5,47.8
WV-079,"Putnam County",51.4,24,-2.3,53.7
WV-081,"Raleigh County",48.6,21,-2.5,51.1
WV-083,"Randolph County",44.6,32,-1.7,46.3
WV-085,"Ritchie County",50.4,32,-1.3,51.7
WV-087,"Roane County",51.0,30,-1.7,52.7
WV-089,"Summers County",49.2,20,-2.5,51.7
WV-091,"Taylor County",48.7,29,-1.8,50.5
WV-093,"Tucker County",44.4,34,-1.6,46
WV-095,"Tyler County",49.7,33,-1.4,51.1
WV-097,"Upshur County",48.8,35,-1.4,50.2
WV-099,"Wayne County",52.4,28,-2.0,54.4
WV-101,"Webster County",46.4,18,-2.7,49.1
WV-103,"Wetzel County",48.6,27,-1.9,50.5
WV-105,"Wirt County",51.0,36,-1.1,52.1
WV-107,"Wood County",51.3,39,-0.9,52.2
WV-109,"Wyoming County",50.3,24,-2.2,52.5
