April 2020 Florida County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
FL-001,"Alachua County",70.4,106,2.4,68
FL-003,"Baker County",69.2,108,2.4,66.8
FL-005,"Bay County",69.3,106,2.5,66.8
FL-007,"Bradford County",70.0,108,2.6,67.4
FL-009,"Brevard County",73.8,117,3.4,70.4
FL-011,"Broward County",79.1,126,6.3,72.8
FL-013,"Calhoun County",69.1,105,2.6,66.5
FL-015,"Charlotte County",76.8,124,4.9,71.9
FL-017,"Citrus County",73.6,122,4.5,69.1
FL-019,"Clay County",71.2,120,3.8,67.4
FL-021,"Collier County",77.9,125,5.3,72.6
FL-023,"Columbia County",68.8,100,1.8,67
FL-027,"DeSoto County",75.4,121,4.1,71.3
FL-029,"Dixie County",70.2,110,3.0,67.2
FL-031,"Duval County",70.5,118,3.6,66.9
FL-033,"Escambia County",68.2,97,1.7,66.5
FL-035,"Flagler County",73.0,123,4.7,68.3
FL-037,"Franklin County",69.8,110,2.8,67
FL-039,"Gadsden County",68.5,101,2.2,66.3
FL-041,"Gilchrist County",69.8,104,2.5,67.3
FL-043,"Glades County",76.4,124,4.8,71.6
FL-045,"Gulf County",69.5,109,2.9,66.6
FL-047,"Hamilton County",68.0,93,1.3,66.7
FL-049,"Hardee County",75.2,122,4.4,70.8
FL-051,"Hendry County",77.2,124,5.2,72
FL-053,"Hernando County",74.7,124,5.5,69.2
FL-055,"Highlands County",75.6,122,4.5,71.1
FL-057,"Hillsborough County",75.3,124,5.0,70.3
FL-059,"Holmes County",68.1,98,1.9,66.2
FL-061,"Indian River County",74.6,122,4.2,70.4
FL-063,"Jackson County",68.9,102,2.2,66.7
FL-065,"Jefferson County",68.8,105,2.3,66.5
FL-067,"Lafayette County",70.0,114,3.1,66.9
FL-069,"Lake County",74.1,122,4.5,69.6
FL-071,"Lee County",77.4,124,5.0,72.4
FL-073,"Leon County",68.7,104,2.3,66.4
FL-075,"Levy County",71.1,113,3.2,67.9
FL-077,"Liberty County",69.1,107,2.7,66.4
FL-079,"Madison County",68.8,107,2.3,66.5
FL-081,"Manatee County",74.8,121,4.1,70.7
FL-083,"Marion County",72.8,121,4.0,68.8
FL-085,"Martin County",76.9,125,5.2,71.7
FL-086,"Miami-Dade County",80.1,126,7.0,73.1
FL-087,"Monroe County",80.2,126,6.5,73.7
FL-089,"Nassau County",69.8,115,3.3,66.5
FL-091,"Okaloosa County",67.9,100,1.9,66
FL-093,"Okeechobee County",75.3,123,4.4,70.9
FL-095,"Orange County",74.3,120,3.9,70.4
FL-097,"Osceola County",74.9,122,4.3,70.6
FL-099,"Palm Beach County",78.0,125,5.8,72.2
FL-101,"Pasco County",74.8,124,5.3,69.5
FL-103,"Pinellas County",75.1,121,4.3,70.8
FL-105,"Polk County",75.7,124,5.0,70.7
FL-107,"Putnam County",72.5,122,4.3,68.2
FL-109,"St. Johns County",72.2,123,4.7,67.5
FL-111,"St. Lucie County",75.6,125,4.4,71.2
FL-113,"Santa Rosa County",67.9,95,1.5,66.4
FL-115,"Sarasota County",75.2,121,3.9,71.3
FL-117,"Seminole County",73.8,118,3.7,70.1
FL-119,"Sumter County",74.0,123,4.6,69.4
FL-121,"Suwannee County",69.4,104,2.5,66.9
FL-123,"Taylor County",69.9,113,2.9,67
FL-125,"Union County",69.3,102,2.1,67.2
FL-127,"Volusia County",73.3,120,4.0,69.3
FL-129,"Wakulla County",69.4,109,2.6,66.8
FL-131,"Walton County",68.1,100,2.1,66
FL-133,"Washington County",68.9,100,2.3,66.6
