"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",2,"0.0 - 62.8 (644)"
02016,"""Aleutians West, (AK)""",0,"0.0 - 62.8 (644)"
02020,"""Anchorage, (AK)""",67.2,"62.9 - 71.8 (651)"
02050,"""Bethel, (AK)""",104.6,"89.4 - 219.7 (639)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",75.2,"71.9 - 78.8 (637)"
02070,"""Dillingham, (AK)""",119,"89.4 - 219.7 (639)"
02090,"""Fairbanks North Star, (AK)""",100.4,"89.4 - 219.7 (639)"
02100,"""Haines, (AK)""",52.6,"0.0 - 62.8 (644)"
02105,"""Hoonah-Angoon, (AK)""",48.1,"0.0 - 62.8 (644)"
02110,"""Juneau, (AK)""",49.4,"0.0 - 62.8 (644)"
02122,"""Kenai Peninsula, (AK)""",69.7,"62.9 - 71.8 (651)"
02130,"""Ketchikan Gateway, (AK)""",67.5,"62.9 - 71.8 (651)"
02150,"""Kodiak Island, (AK)""",41.8,"0.0 - 62.8 (644)"
02164,"""Lake and Peninsula, (AK)""",110.1,"89.4 - 219.7 (639)"
02170,"""Matanuska-Susitna, (AK)""",76,"71.9 - 78.8 (637)"
02180,"""Nome, (AK)""",81.2,"78.9 - 89.3 (647)"
02185,"""North Slope, (AK)""",125.3,"89.4 - 219.7 (639)"
02188,"""Northwest Arctic, (AK)""",118.7,"89.4 - 219.7 (639)"
02195,"""Petersburg, (AK)""",134,"89.4 - 219.7 (639)"
02198,"""Prince of Wales-Hyder, (AK)""",101.3,"89.4 - 219.7 (639)"
02220,"""Sitka, (AK)""",88.1,"78.9 - 89.3 (647)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",86.2,"78.9 - 89.3 (647)"
02261,"""Valdez-Cordova, (AK)""",69.1,"62.9 - 71.8 (651)"
02158,"""Kusilvak, (AK)""",48.8,"0.0 - 62.8 (644)"
02275,"""Wrangell, (AK)""",52.4,"0.0 - 62.8 (644)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",80.9,"78.9 - 89.3 (647)"
06001,"""Alameda, (CA)""",78.2,"71.9 - 78.8 (637)"
06005,"""Amador, (CA)""",71.5,"62.9 - 71.8 (651)"
06007,"""Butte, (CA)""",86,"78.9 - 89.3 (647)"
06009,"""Calaveras, (CA)""",67.1,"62.9 - 71.8 (651)"
06011,"""Colusa, (CA)""",77.2,"71.9 - 78.8 (637)"
06013,"""Contra Costa, (CA)""",82.2,"78.9 - 89.3 (647)"
06015,"""Del Norte, (CA)""",78.1,"71.9 - 78.8 (637)"
06017,"""El Dorado, (CA)""",57.6,"0.0 - 62.8 (644)"
06021,"""Glenn, (CA)""",93,"89.4 - 219.7 (639)"
06023,"""Humboldt, (CA)""",148.8,"89.4 - 219.7 (639)"
06031,"""Kings, (CA)""",75.9,"71.9 - 78.8 (637)"
06033,"""Lake, (CA)""",77.5,"71.9 - 78.8 (637)"
06035,"""Lassen, (CA)""",69.5,"62.9 - 71.8 (651)"
06041,"""Marin, (CA)""",43.2,"0.0 - 62.8 (644)"
06043,"""Mariposa, (CA)""",77.7,"71.9 - 78.8 (637)"
06045,"""Mendocino, (CA)""",68.3,"62.9 - 71.8 (651)"
06047,"""Merced, (CA)""",78.4,"71.9 - 78.8 (637)"
06049,"""Modoc, (CA)""",71.5,"62.9 - 71.8 (651)"
06053,"""Monterey, (CA)""",64.1,"62.9 - 71.8 (651)"
06055,"""Napa, (CA)""",62.3,"0.0 - 62.8 (644)"
06057,"""Nevada, (CA)""",66.9,"62.9 - 71.8 (651)"
06061,"""Placer, (CA)""",71,"62.9 - 71.8 (651)"
06063,"""Plumas, (CA)""",74.6,"71.9 - 78.8 (637)"
06067,"""Sacramento, (CA)""",82.4,"78.9 - 89.3 (647)"
06069,"""San Benito, (CA)""",72.3,"71.9 - 78.8 (637)"
06075,"""San Francisco, (CA)""",66,"62.9 - 71.8 (651)"
06077,"""San Joaquin, (CA)""",97.1,"89.4 - 219.7 (639)"
06079,"""San Luis Obispo, (CA)""",98.5,"89.4 - 219.7 (639)"
06081,"""San Mateo, (CA)""",58.4,"0.0 - 62.8 (644)"
06083,"""Santa Barbara, (CA)""",63.6,"62.9 - 71.8 (651)"
06085,"""Santa Clara, (CA)""",58.1,"0.0 - 62.8 (644)"
06087,"""Santa Cruz, (CA)""",58.5,"0.0 - 62.8 (644)"
06089,"""Shasta, (CA)""",71.2,"62.9 - 71.8 (651)"
06091,"""Sierra, (CA)""",71.5,"62.9 - 71.8 (651)"
06093,"""Siskiyou, (CA)""",77.1,"71.9 - 78.8 (637)"
06095,"""Solano, (CA)""",90.2,"89.4 - 219.7 (639)"
06097,"""Sonoma, (CA)""",65.9,"62.9 - 71.8 (651)"
06099,"""Stanislaus, (CA)""",79.5,"78.9 - 89.3 (647)"
06101,"""Sutter, (CA)""",86,"78.9 - 89.3 (647)"
06103,"""Tehama, (CA)""",71.4,"62.9 - 71.8 (651)"
06105,"""Trinity, (CA)""",75.8,"71.9 - 78.8 (637)"
06109,"""Tuolumne, (CA)""",68.7,"62.9 - 71.8 (651)"
06113,"""Yolo, (CA)""",74.8,"71.9 - 78.8 (637)"
06115,"""Yuba, (CA)""",90.6,"89.4 - 219.7 (639)"
15001,"""Hawaii, (HI)""",71.3,"62.9 - 71.8 (651)"
15003,"""Honolulu, (HI)""",71.2,"62.9 - 71.8 (651)"
15005,"""Kalawao, (HI)""",59.1,"0.0 - 62.8 (644)"
15007,"""Kauai, (HI)""",68.1,"62.9 - 71.8 (651)"
15009,"""Maui, (HI)""",66.8,"62.9 - 71.8 (651)"
41003,"""Benton, (OR)""",70.5,"62.9 - 71.8 (651)"
41005,"""Clackamas, (OR)""",76.2,"71.9 - 78.8 (637)"
41007,"""Clatsop, (OR)""",68.9,"62.9 - 71.8 (651)"
41009,"""Columbia, (OR)""",76.6,"71.9 - 78.8 (637)"
41011,"""Coos, (OR)""",77.7,"71.9 - 78.8 (637)"
41013,"""Crook, (OR)""",106.6,"89.4 - 219.7 (639)"
41015,"""Curry, (OR)""",75.5,"71.9 - 78.8 (637)"
41017,"""Deschutes, (OR)""",69.7,"62.9 - 71.8 (651)"
41019,"""Douglas, (OR)""",73.8,"71.9 - 78.8 (637)"
41021,"""Gilliam, (OR)""",70,"62.9 - 71.8 (651)"
41027,"""Hood River, (OR)""",82,"78.9 - 89.3 (647)"
41029,"""Jackson, (OR)""",73,"71.9 - 78.8 (637)"
41031,"""Jefferson, (OR)""",77.4,"71.9 - 78.8 (637)"
41033,"""Josephine, (OR)""",71.7,"62.9 - 71.8 (651)"
41035,"""Klamath, (OR)""",72.6,"71.9 - 78.8 (637)"
41037,"""Lake, (OR)""",69.9,"62.9 - 71.8 (651)"
41039,"""Lane, (OR)""",73.6,"71.9 - 78.8 (637)"
41041,"""Lincoln, (OR)""",70.6,"62.9 - 71.8 (651)"
41043,"""Linn, (OR)""",75.2,"71.9 - 78.8 (637)"
41047,"""Marion, (OR)""",77.1,"71.9 - 78.8 (637)"
41051,"""Multnomah, (OR)""",83.8,"78.9 - 89.3 (647)"
41053,"""Polk, (OR)""",73.6,"71.9 - 78.8 (637)"
41055,"""Sherman, (OR)""",70.8,"62.9 - 71.8 (651)"
41057,"""Tillamook, (OR)""",69.3,"62.9 - 71.8 (651)"
41065,"""Wasco, (OR)""",77.7,"71.9 - 78.8 (637)"
41067,"""Washington, (OR)""",68.9,"62.9 - 71.8 (651)"
41069,"""Wheeler, (OR)""",78.3,"71.9 - 78.8 (637)"
41071,"""Yamhill, (OR)""",74.3,"71.9 - 78.8 (637)"
53007,"""Chelan, (WA)""",57.8,"0.0 - 62.8 (644)"
53009,"""Clallam, (WA)""",67.9,"62.9 - 71.8 (651)"
53011,"""Clark, (WA)""",73.4,"71.9 - 78.8 (637)"
53015,"""Cowlitz, (WA)""",73.2,"71.9 - 78.8 (637)"
53027,"""Grays Harbor, (WA)""",71.7,"62.9 - 71.8 (651)"
53029,"""Island, (WA)""",63.7,"62.9 - 71.8 (651)"
53031,"""Jefferson, (WA)""",72.2,"71.9 - 78.8 (637)"
53033,"""King, (WA)""",58.2,"0.0 - 62.8 (644)"
53035,"""Kitsap, (WA)""",88.4,"78.9 - 89.3 (647)"
53037,"""Kittitas, (WA)""",65.5,"62.9 - 71.8 (651)"
53039,"""Klickitat, (WA)""",69.7,"62.9 - 71.8 (651)"
53041,"""Lewis, (WA)""",77.6,"71.9 - 78.8 (637)"
53045,"""Mason, (WA)""",74.4,"71.9 - 78.8 (637)"
53047,"""Okanogan, (WA)""",72,"71.9 - 78.8 (637)"
53049,"""Pacific, (WA)""",76.9,"71.9 - 78.8 (637)"
53053,"""Pierce, (WA)""",90.8,"89.4 - 219.7 (639)"
53055,"""San Juan, (WA)""",64.9,"62.9 - 71.8 (651)"
53057,"""Skagit, (WA)""",69.6,"62.9 - 71.8 (651)"
53059,"""Skamania, (WA)""",75.8,"71.9 - 78.8 (637)"
53061,"""Snohomish, (WA)""",63.7,"62.9 - 71.8 (651)"
53067,"""Thurston, (WA)""",69.2,"62.9 - 71.8 (651)"
53069,"""Wahkiakum, (WA)""",76.2,"71.9 - 78.8 (637)"
53073,"""Whatcom, (WA)""",65.7,"62.9 - 71.8 (651)"
53077,"""Yakima, (WA)""",68.8,"62.9 - 71.8 (651)"
04001,"""Apache, (AZ)""",69.9,"62.9 - 71.8 (651)"
04003,"""Cochise, (AZ)""",64.8,"62.9 - 71.8 (651)"
04005,"""Coconino, (AZ)""",64.4,"62.9 - 71.8 (651)"
04007,"""Gila, (AZ)""",60.6,"0.0 - 62.8 (644)"
04009,"""Graham, (AZ)""",75.2,"71.9 - 78.8 (637)"
04011,"""Greenlee, (AZ)""",63.6,"62.9 - 71.8 (651)"
04012,"""La Paz, (AZ)""",59.5,"0.0 - 62.8 (644)"
04013,"""Maricopa, (AZ)""",58.1,"0.0 - 62.8 (644)"
04015,"""Mohave, (AZ)""",67.9,"62.9 - 71.8 (651)"
04017,"""Navajo, (AZ)""",68.5,"62.9 - 71.8 (651)"
04019,"""Pima, (AZ)""",63.5,"62.9 - 71.8 (651)"
04021,"""Pinal, (AZ)""",47.4,"0.0 - 62.8 (644)"
04023,"""Santa Cruz, (AZ)""",64.2,"62.9 - 71.8 (651)"
04025,"""Yavapai, (AZ)""",59.1,"0.0 - 62.8 (644)"
04027,"""Yuma, (AZ)""",59.2,"0.0 - 62.8 (644)"
06003,"""Alpine, (CA)""",89.5,"89.4 - 219.7 (639)"
06019,"""Fresno, (CA)""",85.8,"78.9 - 89.3 (647)"
06025,"""Imperial, (CA)""",67.2,"62.9 - 71.8 (651)"
06027,"""Inyo, (CA)""",74.8,"71.9 - 78.8 (637)"
06029,"""Kern, (CA)""",71.7,"62.9 - 71.8 (651)"
06037,"""Los Angeles, (CA)""",66.7,"62.9 - 71.8 (651)"
06039,"""Madera, (CA)""",77.6,"71.9 - 78.8 (637)"
06051,"""Mono, (CA)""",61.8,"0.0 - 62.8 (644)"
06059,"""Orange, (CA)""",74.2,"71.9 - 78.8 (637)"
06065,"""Riverside, (CA)""",69.8,"62.9 - 71.8 (651)"
06071,"""San Bernardino, (CA)""",79.8,"78.9 - 89.3 (647)"
06073,"""San Diego, (CA)""",73.9,"71.9 - 78.8 (637)"
06107,"""Tulare, (CA)""",86.2,"78.9 - 89.3 (647)"
06111,"""Ventura, (CA)""",68.7,"62.9 - 71.8 (651)"
08007,"""Archuleta, (CO)""",72.9,"71.9 - 78.8 (637)"
08029,"""Delta, (CO)""",72.2,"71.9 - 78.8 (637)"
08033,"""Dolores, (CO)""",73.8,"71.9 - 78.8 (637)"
08045,"""Garfield, (CO)""",53.1,"0.0 - 62.8 (644)"
08051,"""Gunnison, (CO)""",59.3,"0.0 - 62.8 (644)"
08053,"""Hinsdale, (CO)""",73.5,"71.9 - 78.8 (637)"
