Row Label,CountyRelativeDay25Cases,TotalCasesUpToDate,USRelativeDay100Deaths,TotalDeathsUpToDate,FirstCaseDay,county_names,FIPS,CentroidLat,CentroidLon,NearestAirportDistance,NearestAirportEnplanements,NearestAirportOver5000000Distance,Population,PublicTransportation,GDP,AreaLand,air_quality,all_heartdisease_deathrate,all_stroke_deathrate,num_hospitals,percent_park_access,urban_rural_status,Premature.death.raw.value,Poor.or.fair.health.raw.value,Poor.physical.health.days.raw.value,Adult.smoking.raw.value,Adult.obesity.raw.value,Food.environment.index.raw.value,Physical.inactivity.raw.value,Access.to.exercise.opportunities.raw.value,Excessive.drinking.raw.value,Sexually.transmitted.infections.raw.value,Uninsured.raw.value,Primary.care.physicians.raw.value,Ratio.of.population.to.primary.care.physicians.,Preventable.hospital.stays.raw.value,Flu.vaccinations.raw.value,High.school.graduation.raw.value,Some.college.raw.value,Unemployment.raw.value,Income.inequality.raw.value,Air.pollution...particulate.matter.raw.value,Drinking.water.violations.raw.value,Percentage.of.households.with.overcrowding,Driving.alone.to.work.raw.value,Long.commute...driving.alone.raw.value,Life.expectancy.raw.value,Food.insecurity.raw.value,Limited.access.to.healthy.foods.raw.value,Uninsured.adults.raw.value,Median.household.income.raw.value,X2017_prev_all_ages_Alcohol.Abuse,X2017_prev_all_ages_Alzheimer.s.Disease.Dementia,X2017_prev_all_ages_Arthritis,X2017_prev_all_ages_Asthma,X2017_prev_all_ages_Atrial.Fibrillation,X2017_prev_all_ages_Cancer,X2017_prev_all_ages_Chronic.Kidney.Disease,X2017_prev_all_ages_COPD,X2017_prev_all_ages_Depression,X2017_prev_all_ages_Diabetes,X2017_prev_all_ages_Drug.Abuse.Substance.Abuse,X2017_prev_all_ages_Heart.Failure,X2017_prev_all_ages_Hyperlipidemia,X2017_prev_all_ages_Hypertension,X2017_prev_all_ages_Ischemic.Heart.Disease,X2017_prev_all_ages_Osteoporosis,X2017_prev_all_ages_Schizophrenia.Other.Psychotic.Disorders,X2017_prev_all_ages_Stroke,X2017_prev_under_65_Alcohol.Abuse,X2017_prev_under_65_Arthritis,X2017_prev_under_65_Asthma,X2017_prev_under_65_Chronic.Kidney.Disease,X2017_prev_under_65_COPD,X2017_prev_under_65_Depression,X2017_prev_under_65_Diabetes,X2017_prev_under_65_Drug.Abuse.Substance.Abuse,X2017_prev_under_65_Heart.Failure,X2017_prev_under_65_Hyperlipidemia,X2017_prev_under_65_Hypertension,X2017_prev_under_65_Ischemic.Heart.Disease,X2017_prev_under_65_Schizophrenia.Other.Psychotic.Disorders,X2017_prev_over_65_Alcohol.Abuse,X2017_prev_over_65_Arthritis,X2017_prev_over_65_Asthma,X2017_prev_over_65_Chronic.Kidney.Disease,X2017_prev_over_65_COPD,X2017_prev_over_65_Depression,X2017_prev_over_65_Diabetes,X2017_prev_over_65_Drug.Abuse.Substance.Abuse,X2017_prev_over_65_Heart.Failure,X2017_prev_over_65_Hyperlipidemia,X2017_prev_over_65_Hypertension,X2017_prev_over_65_Ischemic.Heart.Disease,total.population.2018,total.female,median.age.male,median.age.female,white..alone.,black..alone.,american.indian.alaskan.native,asian,hawaiian.or.pacific.islander,other,X2.or.more.races,house.hold.size,Male.Public.transportation,public.transportation..white.only.,Public.transportation..BLACK.only.,Public.transportation..excluding.taxicab....Below.100.percent.of.the.poverty.level,pub.trans.MBSA.occupations,pub.trans.Sales.and.office.occupations,pub.trans.PTM.occupations,Total..In.labor.force..Employed..No.health.insurance.coverage,total.insurance.coverage,count_below_pov,pct_below_pov
1,58786,6,6,8,54277,Autauga,1001,32.53492019,-86.64274924,34.96330283,170544,239.7881562,55869,343,1690937,1539602137,11.7,388.7,108.8,1,20,3,8128.59119,0.208829873,4.743888867,0.180815572,0.333,7.2,0.347,0.691301241,0.150260313,407.2,0.08721686,0.000450418,2220.16,7108,0.41,0.9,0.620099737,0.036290789,5.234597269,11.7,0,0.012019231,0.865236614,0.396,76.87947717,0.132,0.11991125,0.111489892,59338,2.4,10.5,35,4.5,8.6,8.5,25.6,13.8,16.9,30.4,3.2,15.9,49,63.7,31.3,6.4,3,4.1,5.7602,28.7063,4.9103,19.5467,11.7092,26.2512,25.9679,8.9707,11.1426,32.6723,47.7809,16.9972,7.7432,1.5731,36.6167,4.453,27.1055,14.3756,14.545,31.5586,1.7425,17.062,53.1462,67.788,34.9952,55200,28326,36.9,38.9,42437,10565,159,568,32,409,1030,21115,6,18980,8,0,6,6,6,54277,1892,8422,15.37843513
2,55962,8,0,13,205452,Baldwin,1003,30.66096966,-87.74984008,47.23176902,297544,251.7376735,223234,729,6606080,4117621645,10.3,362.6,87.6,3,5,3,7354.12253,0.175091344,4.224519202,0.174890326,0.31,8,0.265,0.73713549,0.179583101,325,0.113334045,0.000728973,1371.793548,4041,0.44,0.863615768,0.673716198,0.036153822,4.417766679,10.3,0,0.012707918,0.842824327,0.417,78.45025837,0.116,0.054244266,0.143485248,57588,2.1,10.9,37.7,4.9,9.5,8.6,21.7,11.6,16.7,23.8,4,12.9,44.1,60.3,31.9,6.3,2.1,3.9,4.7818,34.2499,6.0072,19.0675,11.2971,27.2863,22.2355,14.3156,9.8027,25.6426,43.9928,20.2032,5.798,1.727,38.1982,4.7225,22.148,11.6437,15.1244,23.9996,2.4213,13.3262,46.8198,62.7676,33.6004,208107,106919,41.8,44.1,179526,19764,1522,1680,9,2034,3572,78622,45,79973,0,8,61,0,8,205452,12372,21653,10.5660985
3,34186,22,0,0,22882,Barbour,1005,31.86960324,-85.39319698,61.16082933,52855,216.0789071,24686,286,851956,2292160139,11.5,444.3,91.2,1,4,4,10253.5734,0.295918017,5.430278859,0.219999845,0.417,5.6,0.235,0.531667699,0.128440156,716.3,0.122427925,0.000316581,3158.75,6209,0.37,0.814102564,0.348576486,0.051713842,5.681410019,11.5,0,0.016885965,0.833684704,0.322,75.34193493,0.22,0.107396666,0.160858341,34382,4.7,11.5,37.5,5.5,6.9,8.3,28.3,10.6,16.3,33.8,5,13.8,46.6,67.2,26.4,4.7,4.5,4.6,6.5825,29.7565,7.9351,22.633,8.0252,23.6249,31.2894,8.4761,9.5582,33.9946,55.1849,14.9684,9.0171,4.0377,40.4441,4.6097,30.3836,11.6083,13.6272,34.7241,3.6676,15.3432,51.245,71.7362,30.6864,25782,12085,38.1,43.4,12216,12266,72,96,1,778,353,9186,0,4648,0,0,0,0,22,22882,1143,6597,28.86331817
4,45340,37,0,0,20468,Bibb,1007,32.9986443,-87.1264391,51.43705756,3058,260.3858713,22394,460,424510,1612167476,11.2,491.8,109,1,0,2,11977.53948,0.194397242,4.591482438,0.191141999,0.376,7.8,0.335,0.162513637,0.155700424,339.7,0.102062526,0.000485266,2060.727273,5961,0.38,0.837638376,0.441373534,0.039718277,4.368580511,11.2,0,0.002553192,0.849106469,0.498,73.57182028,0.143,0.02601627,0.13,46064,2.9,10.8,37.8,4.9,9,7.2,29.5,13.7,18.9,32.8,4.5,17.4,48.5,67.9,28,6.1,3.6,5.5,5.0432,27.9539,6.3401,21.7579,12.1037,22.1902,27.3775,10.0865,12.3919,35.0144,52.7378,15.562,5.7637,1.8979,42.212,4.2539,33.0497,14.3979,17.4084,35.2749,1.8979,19.6335,54.6466,74.8037,33.7042,22527,10375,37.5,43.1,17268,5018,8,37,0,9,187,6840,11,6611,11,11,0,0,37,20468,767,2863,13.9876881
5,48695,17,0,0,57169,Blount,1009,33.98086739,-86.56737096,49.52452028,1457562,201.1819621,57826,395,942904,1670103866,11.7,437.9,96.1,1,1,2,11335.07113,0.217452928,4.86080763,0.19208672,0.338,8.4,0.303,0.156344859,0.142305938,234.4,0.133607595,0.000224088,4462.538462,4060,0.39,0.934687954,0.533610733,0.035111573,4.430262332,11.7,0,0.018913676,0.86178362,0.594,74.1458259,0.107,0.028801498,0.170823419,50412,2,11.5,34.2,5.3,8.4,6.7,24.6,15,20.6,28.5,4.8,16.3,46.5,63.8,30.6,5.7,2.8,4.4,4.6696,26.3436,6.696,16.652,14.0969,32.5991,23.2599,12.7753,9.5154,29.6916,44.6696,17.7974,6.7841,1.3167,36.3132,4.9665,26.6343,15.1767,17.3943,29.8683,2.772,18.018,50.8894,68.7919,33.9339,57645,29211,40.2,41.7,55054,862,141,198,18,437,935,20600,31,20373,0,0,14,0,17,57169,2358,8220,14.40033636
6,32152,0,0,0,9978,Bullock,1011,32.10055422,-85.71569723,67.54198109,170544,208.7506219,10101,1,256130,1613076054,11.2,456.3,104.5,1,1,4,11679.55898,0.309991019,5.359159343,0.22894664,0.372,4.3,0.246,0.025013744,0.120941012,863.3,0.114403761,0.000291008,3436.333333,6632,0.28,0.702479339,0.349760942,0.046901173,7.410195994,11.2,0,0.001125176,0.790609137,0.46,73.53089479,0.248,0.197433507,0.152409639,29267,2.6,12.2,42.9,4.1,5.2,8.1,25,11.2,8.8,37.6,2.5,17.1,40.3,70,26.1,3.2,4.4,2.8,6.199431621,29.2605,6.1093,18.6495,7.717,11.254,30.8682,4.8232,11.254,23.4727,58.8424,13.5048,9.0032,1.677500281,48.289,3.2953,27.5032,12.5475,7.858,40.3042,1.6477,19.3916,46.8948,74.398,31.052,10352,4689,37.7,42.8,2276,7893,122,56,0,5,0,3609,0,1059,0,0,0,0,0,9978,369,3110,31.38560904
7,39109,0,0,0,19734,Butler,1013,31.75243394,-86.68028922,66.61600638,170544,296.9623342,19448,1,632592,2012002531,10.6,456.4,120.7,2,10,4,14359.9391,0.279106732,5.400806197,0.21765335,0.433,6.6,0.395,0.485797489,0.118574034,761.7,0.111860095,0.000252207,3965,9203,0.35,0.815899582,0.416787565,0.047902176,5.423595582,10.6,1,0.016938111,0.838331832,0.323,72.9183092,0.206,0.029261219,0.145057653,37365,2.2,12.7,38.8,4.7,6.7,7.1,26.9,16.6,14.4,37,2.5,18.3,43.7,70.6,28.7,3.7,4,4.6,4.1885,34.3455,6.7016,25.2356,13.5079,17.5916,37.2775,6.0733,13.089,34.7644,61.466,17.5916,6.5969,1.4286,40.4633,3.9382,27.5676,17.7606,13.2819,36.9112,1.1197,20.1544,46.9884,73.9768,32.7413,20025,10657,39.3,42.3,10414,9055,2,231,0,0,323,6708,0,4388,0,0,0,0,0,19734,1131,4640,23.54493327
8,45197,89,30,11,113561,Calhoun,1015,33.77143246,-85.82603085,88.84891238,1457562,130.0912498,113605,157,4428092,1569195268,11.8,630.3,102.8,2,17,3,12078.61615,0.231077332,4.88037674,0.206125604,0.385,6.9,0.317,0.477212158,0.138422302,654.6,0.119291675,0.000636288,1571.616438,6581,0.38,0.923680457,0.592439886,0.046528322,5.023896449,11.8,0,0.015420457,0.848092137,0.312,73.03910859,0.157,0.091785666,0.153886871,45400,2.8,11.6,42.3,5.6,7.5,7.3,27.8,17.4,20,30.6,6,17,45.7,65.8,34.6,6,2.7,3.9,5.8218,36.3099,6.1283,22.8496,16.3493,30.4881,26.7892,14.8172,11.7531,31.1447,52.3747,20.4859,5.1652,1.7466,44.2105,5.3978,29.4545,17.7963,16.5026,31.8695,3.1338,18.7235,50.442,70.2437,39.2079,115098,59783,38.1,40.9,85558,23676,353,1065,9,1701,2736,45033,95,36230,10,40,22,30,89,113561,5539,20819,18.59154678
9,39872,21,6,0,33433,Chambers,1017,32.91437223,-85.39204295,61.24878533,49354,120.2563267,33254,353,2218892,1545085607,11.4,366.8,91.9,0,2,4,11112.53661,0.239954736,4.941178357,0.193929271,0.401,6.4,0.301,0.618646792,0.127457346,611,0.119380768,0.00041527,2408.071429,5622,0.42,0.862385321,0.48460334,0.039080911,4.744932135,11.4,0,0.040361011,0.85252848,0.318,74.29107603,0.179,0.103285583,0.152263168,39917,2.2,11.7,36.3,4,6.5,7.1,28.3,14.6,13.8,35.1,3.7,17.2,40.4,67,31.8,4.5,3.5,3.5,3.9519,32.7606,5.8419,24.3414,12.0848,19.9313,33.677,8.6483,12.2566,29.6105,56.3574,21.1913,6.5865,1.5504,37.7565,3.3288,29.845,15.6635,11.3087,35.6589,1.7784,19.1746,44.7332,71.2722,36.0693,33826,17569,41.3,44,19483,13319,97,405,0,175,347,13516,12,8205,27,0,0,6,21,33433,1698,5531,16.62258821
10,41014,0,0,0,25587,Cherokee,1019,34.17595597,-85.60379372,102.2582717,504833,123.8821671,26196,286,554189,1433623319,11.4,442.1,92.7,1,3,4,12349.70759,0.206984706,4.775614101,0.174986738,0.35,8.3,0.313,0.334295279,0.141065629,321,0.111726499,0.000386743,2585.7,5521,0.41,0.949044586,0.518362101,0.03570814,4.708465031,11.4,0,0.015,0.831144659,0.461,73.99883376,0.125,0.002211124,0.139403327,42132,3,10.2,38.3,4.7,7.3,7.1,30.9,19.7,20.9,29.1,7,18.9,50.9,64.2,30.5,4.3,2.7,3.3,5.2271,33.3333,5.2271,21.9366,19.88,31.1054,25.5356,18.2519,11.4824,36.0754,52.0137,19.1945,5.6555,2.1713,40.0917,4.4648,34.1284,19.6942,17.2171,30.4281,2.9969,21.4985,56.208,68.5321,34.4954,25853,13033,45,46.5,23997,1267,236,55,0,90,208,10606,8,9061,0,0,22,0,0,25587,1074,3827,15.00725462
