"Rank","RO","state_id","state_name","county_name","county_fips","IATA1","ICAO","Name","City.x","City.y","city","S/L","Hub","Latitude","Longitude","CY 18 Enplanements","CY 17 Enplanements","% Change","Altitude","Timezone","timezone","DST","Tz database","Type","Source"
317,"GL","SD","South Dakota","Brown",46013,"ABR","KABR","Aberdeen Regional Airport","Aberdeen","Aberdeen","Aberdeen","P","N",45.4491004943848,-98.4217987060547,28404,27635,0.0278,1302,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
252,"SW","TX","Texas","Taylor",48441,"ABI","KABI","Abilene Regional Airport","Abilene","Abilene","Abilene","P","N",32.4113006592,-99.6819000244,77229,85085,-0.0923,1791,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
561,"AL","AK","Alaska","Bethel",2050,"AKI","PFAK","Akiak Airport","Akiak","Akiak","Akiak","CS","None",60.9029006958,-161.231002808,2525,1966,0.2843,30,-9,"America/Anchorage","A","America/Anchorage","airport","OurAirports"
131,"GL","OH","Ohio","Summit",39153,"CAK","KCAK","Akron Canton Regional Airport","Akron","Akron","Akron","P","N",40.9160995483398,-81.4421997070312,449731,619321,-0.2738,1228,-5,"America/New_York","A","America/New_York","airport","OurAirports"
544,"AL","AK","Alaska","Kusilvak",2158,"AUK","PAUK","Alakanuk Airport","Alakanuk","Alakanuk","Alakanuk","CS","None",62.6800422668,-164.659927368,2837,2733,0.0381,10,-9,"America/Nome","A","America/Anchorage","airport","OurAirports"
436,"NM","CO","Colorado","Alamosa",8003,"ALS","KALS","San Luis Valley Regional Bergman Field","Alamosa","Alamosa","Alamosa","CS","None",37.434898,-105.866997,7125,6494,0.0972,7539,-7,"America/Denver","A","America/Denver","airport","OurAirports"
82,"EA","NY","New York","Albany",36001,"ALB","KALB","Albany International Airport","Albany","Albany","Albany","P","S",42.7482986450195,-73.8016967773438,1440674,1393666,0.0337,285,-5,"America/New_York","A","America/New_York","airport","OurAirports"
297,"SO","GA","Georgia","Dougherty",13095,"ABY","KABY","Southwest Georgia Regional Airport","Albany","Albany","Albany","P","N",31.5354995727539,-84.1945037841797,39422,37920,0.0396,197,-5,"America/New_York","A","America/New_York","airport","OurAirports"
57,"SW","NM","New Mexico","Bernalillo",35001,"ABQ","KABQ","Albuquerque International Sunport","Albuquerque","Albuquerque","Albuquerque","P","M",35.040199,-106.609001,2647269,2412328,0.0974,5355,-7,"America/Denver","A","America/Denver","airport","OurAirports"
91,"SO","TN","Tennessee","Knox",47093,"TYS","KTYS","McGhee Tyson Airport","Alcoa","Knoxville","Knoxville","P","S",35.81100082,-83.9940033,1069565,963752,0.1098,981,-5,"America/New_York","A","America/New_York","airport","OurAirports"
209,"SW","LA","Louisiana","Rapides",22079,"AEX","KAEX","Alexandria International Airport","Alexandria","Alexandria","Alexandria","P","N",31.3274002075195,-92.5497970581055,143173,156145,-0.0831,89,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
145,"EA","PA","Pennsylvania","Lehigh",42077,"ABE","KABE","Lehigh Valley International Airport","Allentown","Allentown","Allentown","P","N",40.652099609375,-75.440803527832,376468,328914,0.1446,393,-5,"America/New_York","A","America/New_York","airport","OurAirports"
