"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",-1,
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",-1,
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",-1,
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",-1,
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",10.4,"9.9 - 10.7 (602)"
06005,"""Amador, (CA)""",8.9,"7.4 - 8.9 (634)"
06007,"""Butte, (CA)""",8.9,"7.4 - 8.9 (634)"
06009,"""Calaveras, (CA)""",9,"9.0 - 9.8 (632)"
06011,"""Colusa, (CA)""",8.7,"7.4 - 8.9 (634)"
06013,"""Contra Costa, (CA)""",11.6,"10.8 - 19.7 (585)"
06015,"""Del Norte, (CA)""",8.5,"7.4 - 8.9 (634)"
06017,"""El Dorado, (CA)""",9.3,"9.0 - 9.8 (632)"
06021,"""Glenn, (CA)""",9.1,"9.0 - 9.8 (632)"
06023,"""Humboldt, (CA)""",8.8,"7.4 - 8.9 (634)"
06031,"""Kings, (CA)""",16.7,"10.8 - 19.7 (585)"
06033,"""Lake, (CA)""",6.9,"3.0 - 7.3 (654)"
06035,"""Lassen, (CA)""",7.4,"7.4 - 8.9 (634)"
06041,"""Marin, (CA)""",10.3,"9.9 - 10.7 (602)"
06043,"""Mariposa, (CA)""",9.2,"9.0 - 9.8 (632)"
06045,"""Mendocino, (CA)""",8.8,"7.4 - 8.9 (634)"
06047,"""Merced, (CA)""",12,"10.8 - 19.7 (585)"
06049,"""Modoc, (CA)""",6.6,"3.0 - 7.3 (654)"
06053,"""Monterey, (CA)""",6.7,"3.0 - 7.3 (654)"
06055,"""Napa, (CA)""",10.6,"9.9 - 10.7 (602)"
06057,"""Nevada, (CA)""",8.1,"7.4 - 8.9 (634)"
06061,"""Placer, (CA)""",10.5,"9.9 - 10.7 (602)"
06063,"""Plumas, (CA)""",9.9,"9.9 - 10.7 (602)"
06067,"""Sacramento, (CA)""",9.1,"9.0 - 9.8 (632)"
06069,"""San Benito, (CA)""",6.2,"3.0 - 7.3 (654)"
06075,"""San Francisco, (CA)""",9.8,"9.0 - 9.8 (632)"
06077,"""San Joaquin, (CA)""",11.9,"10.8 - 19.7 (585)"
06079,"""San Luis Obispo, (CA)""",10.5,"9.9 - 10.7 (602)"
06081,"""San Mateo, (CA)""",9.2,"9.0 - 9.8 (632)"
06083,"""Santa Barbara, (CA)""",10.2,"9.9 - 10.7 (602)"
06085,"""Santa Clara, (CA)""",8.9,"7.4 - 8.9 (634)"
06087,"""Santa Cruz, (CA)""",7.5,"7.4 - 8.9 (634)"
06089,"""Shasta, (CA)""",8.4,"7.4 - 8.9 (634)"
06091,"""Sierra, (CA)""",6.7,"3.0 - 7.3 (654)"
06093,"""Siskiyou, (CA)""",9.6,"9.0 - 9.8 (632)"
06095,"""Solano, (CA)""",11,"10.8 - 19.7 (585)"
06097,"""Sonoma, (CA)""",10.1,"9.9 - 10.7 (602)"
06099,"""Stanislaus, (CA)""",12.3,"10.8 - 19.7 (585)"
06101,"""Sutter, (CA)""",9.4,"9.0 - 9.8 (632)"
06103,"""Tehama, (CA)""",8.7,"7.4 - 8.9 (634)"
06105,"""Trinity, (CA)""",7.8,"7.4 - 8.9 (634)"
06109,"""Tuolumne, (CA)""",8.9,"7.4 - 8.9 (634)"
06113,"""Yolo, (CA)""",9.8,"9.0 - 9.8 (632)"
06115,"""Yuba, (CA)""",9.6,"9.0 - 9.8 (632)"
15001,"""Hawaii, (HI)""",-1,
15003,"""Honolulu, (HI)""",-1,
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",-1,
15009,"""Maui, (HI)""",-1,
41003,"""Benton, (OR)""",8.3,"7.4 - 8.9 (634)"
41005,"""Clackamas, (OR)""",9.2,"9.0 - 9.8 (632)"
41007,"""Clatsop, (OR)""",6.3,"3.0 - 7.3 (654)"
41009,"""Columbia, (OR)""",7.3,"3.0 - 7.3 (654)"
41011,"""Coos, (OR)""",8,"7.4 - 8.9 (634)"
41013,"""Crook, (OR)""",7.8,"7.4 - 8.9 (634)"
41015,"""Curry, (OR)""",8,"7.4 - 8.9 (634)"
41017,"""Deschutes, (OR)""",8.3,"7.4 - 8.9 (634)"
41019,"""Douglas, (OR)""",8.8,"7.4 - 8.9 (634)"
41021,"""Gilliam, (OR)""",7,"3.0 - 7.3 (654)"
41027,"""Hood River, (OR)""",6.1,"3.0 - 7.3 (654)"
41029,"""Jackson, (OR)""",8.6,"7.4 - 8.9 (634)"
41031,"""Jefferson, (OR)""",7.6,"7.4 - 8.9 (634)"
41033,"""Josephine, (OR)""",7.9,"7.4 - 8.9 (634)"
41035,"""Klamath, (OR)""",7.7,"7.4 - 8.9 (634)"
41037,"""Lake, (OR)""",6.5,"3.0 - 7.3 (654)"
41039,"""Lane, (OR)""",9.9,"9.9 - 10.7 (602)"
41041,"""Lincoln, (OR)""",7.1,"3.0 - 7.3 (654)"
41043,"""Linn, (OR)""",8.8,"7.4 - 8.9 (634)"
41047,"""Marion, (OR)""",9.1,"9.0 - 9.8 (632)"
41051,"""Multnomah, (OR)""",8.4,"7.4 - 8.9 (634)"
41053,"""Polk, (OR)""",8.5,"7.4 - 8.9 (634)"
41055,"""Sherman, (OR)""",6.7,"3.0 - 7.3 (654)"
41057,"""Tillamook, (OR)""",6.4,"3.0 - 7.3 (654)"
41065,"""Wasco, (OR)""",6.9,"3.0 - 7.3 (654)"
41067,"""Washington, (OR)""",8.8,"7.4 - 8.9 (634)"
41069,"""Wheeler, (OR)""",5.8,"3.0 - 7.3 (654)"
41071,"""Yamhill, (OR)""",8.5,"7.4 - 8.9 (634)"
53007,"""Chelan, (WA)""",6.9,"3.0 - 7.3 (654)"
53009,"""Clallam, (WA)""",5.8,"3.0 - 7.3 (654)"
53011,"""Clark, (WA)""",8.3,"7.4 - 8.9 (634)"
53015,"""Cowlitz, (WA)""",6.9,"3.0 - 7.3 (654)"
53027,"""Grays Harbor, (WA)""",6.1,"3.0 - 7.3 (654)"
53029,"""Island, (WA)""",7.4,"7.4 - 8.9 (634)"
53031,"""Jefferson, (WA)""",6.1,"3.0 - 7.3 (654)"
53033,"""King, (WA)""",7.5,"7.4 - 8.9 (634)"
53035,"""Kitsap, (WA)""",7,"3.0 - 7.3 (654)"
53037,"""Kittitas, (WA)""",6.7,"3.0 - 7.3 (654)"
53039,"""Klickitat, (WA)""",6.4,"3.0 - 7.3 (654)"
53041,"""Lewis, (WA)""",6.8,"3.0 - 7.3 (654)"
53045,"""Mason, (WA)""",5.9,"3.0 - 7.3 (654)"
53047,"""Okanogan, (WA)""",7.1,"3.0 - 7.3 (654)"
53049,"""Pacific, (WA)""",6.2,"3.0 - 7.3 (654)"
53053,"""Pierce, (WA)""",7.1,"3.0 - 7.3 (654)"
53055,"""San Juan, (WA)""",7.3,"3.0 - 7.3 (654)"
53057,"""Skagit, (WA)""",7.5,"7.4 - 8.9 (634)"
53059,"""Skamania, (WA)""",6.2,"3.0 - 7.3 (654)"
53061,"""Snohomish, (WA)""",8.1,"7.4 - 8.9 (634)"
53067,"""Thurston, (WA)""",7.2,"3.0 - 7.3 (654)"
53069,"""Wahkiakum, (WA)""",5.9,"3.0 - 7.3 (654)"
53073,"""Whatcom, (WA)""",9.5,"9.0 - 9.8 (632)"
53077,"""Yakima, (WA)""",7.9,"7.4 - 8.9 (634)"
04001,"""Apache, (AZ)""",5.7,"3.0 - 7.3 (654)"
04003,"""Cochise, (AZ)""",7.5,"7.4 - 8.9 (634)"
04005,"""Coconino, (AZ)""",5.6,"3.0 - 7.3 (654)"
04007,"""Gila, (AZ)""",5.8,"3.0 - 7.3 (654)"
04009,"""Graham, (AZ)""",6,"3.0 - 7.3 (654)"
04011,"""Greenlee, (AZ)""",5.7,"3.0 - 7.3 (654)"
04012,"""La Paz, (AZ)""",5.7,"3.0 - 7.3 (654)"
04013,"""Maricopa, (AZ)""",10.6,"9.9 - 10.7 (602)"
04015,"""Mohave, (AZ)""",5.1,"3.0 - 7.3 (654)"
04017,"""Navajo, (AZ)""",5.7,"3.0 - 7.3 (654)"
04019,"""Pima, (AZ)""",7.9,"7.4 - 8.9 (634)"
04021,"""Pinal, (AZ)""",11.7,"10.8 - 19.7 (585)"
04023,"""Santa Cruz, (AZ)""",7.6,"7.4 - 8.9 (634)"
04025,"""Yavapai, (AZ)""",5.1,"3.0 - 7.3 (654)"
