"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (742)"
02016,"""Aleutians West, (AK)""",0,"0 (742)"
02020,"""Anchorage, (AK)""",4,"4+ (214)"
02050,"""Bethel, (AK)""",1,"1 (1655)"
02060,"""Bristol Bay, (AK)""",0,"0 (742)"
02068,"""Denali, (AK)""",0,"0 (742)"
02070,"""Dillingham, (AK)""",0,"0 (742)"
02090,"""Fairbanks North Star, (AK)""",2,"2 - 3 (613)"
02100,"""Haines, (AK)""",0,"0 (742)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (742)"
02110,"""Juneau, (AK)""",1,"1 (1655)"
02122,"""Kenai Peninsula, (AK)""",3,"2 - 3 (613)"
02130,"""Ketchikan Gateway, (AK)""",1,"1 (1655)"
02150,"""Kodiak Island, (AK)""",1,"1 (1655)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (742)"
02170,"""Matanuska-Susitna, (AK)""",1,"1 (1655)"
02180,"""Nome, (AK)""",1,"1 (1655)"
02185,"""North Slope, (AK)""",1,"1 (1655)"
02188,"""Northwest Arctic, (AK)""",0,"0 (742)"
02195,"""Petersburg, (AK)""",1,"1 (1655)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (742)"
02220,"""Sitka, (AK)""",2,"2 - 3 (613)"
02230,"""Skagway, (AK)""",0,"0 (742)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (742)"
02261,"""Valdez-Cordova, (AK)""",2,"2 - 3 (613)"
02158,"""Kusilvak, (AK)""",0,"0 (742)"
02275,"""Wrangell, (AK)""",1,"1 (1655)"
02282,"""Yakutat, (AK)""",0,"0 (742)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (742)"
06001,"""Alameda, (CA)""",12,"4+ (214)"
06005,"""Amador, (CA)""",1,"1 (1655)"
06007,"""Butte, (CA)""",4,"4+ (214)"
06009,"""Calaveras, (CA)""",1,"1 (1655)"
06011,"""Colusa, (CA)""",0,"0 (742)"
06013,"""Contra Costa, (CA)""",7,"4+ (214)"
06015,"""Del Norte, (CA)""",1,"1 (1655)"
06017,"""El Dorado, (CA)""",2,"2 - 3 (613)"
06021,"""Glenn, (CA)""",1,"1 (1655)"
06023,"""Humboldt, (CA)""",4,"4+ (214)"
06031,"""Kings, (CA)""",3,"2 - 3 (613)"
06033,"""Lake, (CA)""",2,"2 - 3 (613)"
06035,"""Lassen, (CA)""",1,"1 (1655)"
06041,"""Marin, (CA)""",3,"2 - 3 (613)"
06043,"""Mariposa, (CA)""",1,"1 (1655)"
06045,"""Mendocino, (CA)""",3,"2 - 3 (613)"
06047,"""Merced, (CA)""",2,"2 - 3 (613)"
06049,"""Modoc, (CA)""",2,"2 - 3 (613)"
06053,"""Monterey, (CA)""",4,"4+ (214)"
06055,"""Napa, (CA)""",2,"2 - 3 (613)"
06057,"""Nevada, (CA)""",2,"2 - 3 (613)"
06061,"""Placer, (CA)""",3,"2 - 3 (613)"
06063,"""Plumas, (CA)""",3,"2 - 3 (613)"
06067,"""Sacramento, (CA)""",8,"4+ (214)"
06069,"""San Benito, (CA)""",1,"1 (1655)"
06075,"""San Francisco, (CA)""",10,"4+ (214)"
06077,"""San Joaquin, (CA)""",7,"4+ (214)"
06079,"""San Luis Obispo, (CA)""",4,"4+ (214)"
06081,"""San Mateo, (CA)""",7,"4+ (214)"
06083,"""Santa Barbara, (CA)""",5,"4+ (214)"
06085,"""Santa Clara, (CA)""",10,"4+ (214)"
06087,"""Santa Cruz, (CA)""",2,"2 - 3 (613)"
06089,"""Shasta, (CA)""",3,"2 - 3 (613)"
06091,"""Sierra, (CA)""",0,"0 (742)"
06093,"""Siskiyou, (CA)""",2,"2 - 3 (613)"
06095,"""Solano, (CA)""",5,"4+ (214)"
06097,"""Sonoma, (CA)""",7,"4+ (214)"
06099,"""Stanislaus, (CA)""",5,"4+ (214)"
06101,"""Sutter, (CA)""",0,"0 (742)"
06103,"""Tehama, (CA)""",1,"1 (1655)"
06105,"""Trinity, (CA)""",1,"1 (1655)"
06109,"""Tuolumne, (CA)""",1,"1 (1655)"
06113,"""Yolo, (CA)""",2,"2 - 3 (613)"
06115,"""Yuba, (CA)""",1,"1 (1655)"
15001,"""Hawaii, (HI)""",6,"4+ (214)"
15003,"""Honolulu, (HI)""",9,"4+ (214)"
15005,"""Kalawao, (HI)""",0,"0 (742)"
15007,"""Kauai, (HI)""",2,"2 - 3 (613)"
15009,"""Maui, (HI)""",4,"4+ (214)"
41003,"""Benton, (OR)""",1,"1 (1655)"
41005,"""Clackamas, (OR)""",3,"2 - 3 (613)"
41007,"""Clatsop, (OR)""",2,"2 - 3 (613)"
41009,"""Columbia, (OR)""",0,"0 (742)"
41011,"""Coos, (OR)""",3,"2 - 3 (613)"
41013,"""Crook, (OR)""",1,"1 (1655)"
41015,"""Curry, (OR)""",1,"1 (1655)"
41017,"""Deschutes, (OR)""",2,"2 - 3 (613)"
41019,"""Douglas, (OR)""",3,"2 - 3 (613)"
41021,"""Gilliam, (OR)""",0,"0 (742)"
41027,"""Hood River, (OR)""",1,"1 (1655)"
41029,"""Jackson, (OR)""",3,"2 - 3 (613)"
41031,"""Jefferson, (OR)""",1,"1 (1655)"
41033,"""Josephine, (OR)""",1,"1 (1655)"
41035,"""Klamath, (OR)""",1,"1 (1655)"
41037,"""Lake, (OR)""",1,"1 (1655)"
41039,"""Lane, (OR)""",5,"4+ (214)"
41041,"""Lincoln, (OR)""",2,"2 - 3 (613)"
41043,"""Linn, (OR)""",2,"2 - 3 (613)"
41047,"""Marion, (OR)""",3,"2 - 3 (613)"
41051,"""Multnomah, (OR)""",7,"4+ (214)"
41053,"""Polk, (OR)""",1,"1 (1655)"
41055,"""Sherman, (OR)""",0,"0 (742)"
41057,"""Tillamook, (OR)""",1,"1 (1655)"
41065,"""Wasco, (OR)""",1,"1 (1655)"
41067,"""Washington, (OR)""",4,"4+ (214)"
41069,"""Wheeler, (OR)""",0,"0 (742)"
41071,"""Yamhill, (OR)""",2,"2 - 3 (613)"
53007,"""Chelan, (WA)""",4,"4+ (214)"
53009,"""Clallam, (WA)""",2,"2 - 3 (613)"
53011,"""Clark, (WA)""",2,"2 - 3 (613)"
53015,"""Cowlitz, (WA)""",1,"1 (1655)"
53027,"""Grays Harbor, (WA)""",2,"2 - 3 (613)"
53029,"""Island, (WA)""",2,"2 - 3 (613)"
53031,"""Jefferson, (WA)""",1,"1 (1655)"
53033,"""King, (WA)""",17,"4+ (214)"
53035,"""Kitsap, (WA)""",2,"2 - 3 (613)"
53037,"""Kittitas, (WA)""",1,"1 (1655)"
53039,"""Klickitat, (WA)""",2,"2 - 3 (613)"
53041,"""Lewis, (WA)""",2,"2 - 3 (613)"
53045,"""Mason, (WA)""",1,"1 (1655)"
53047,"""Okanogan, (WA)""",3,"2 - 3 (613)"
53049,"""Pacific, (WA)""",2,"2 - 3 (613)"
53053,"""Pierce, (WA)""",6,"4+ (214)"
53055,"""San Juan, (WA)""",1,"1 (1655)"
53057,"""Skagit, (WA)""",3,"2 - 3 (613)"
53059,"""Skamania, (WA)""",0,"0 (742)"
53061,"""Snohomish, (WA)""",4,"4+ (214)"
53067,"""Thurston, (WA)""",2,"2 - 3 (613)"
53069,"""Wahkiakum, (WA)""",0,"0 (742)"
53073,"""Whatcom, (WA)""",1,"1 (1655)"
53077,"""Yakima, (WA)""",4,"4+ (214)"
04001,"""Apache, (AZ)""",4,"4+ (214)"
04003,"""Cochise, (AZ)""",4,"4+ (214)"
04005,"""Coconino, (AZ)""",3,"2 - 3 (613)"
04007,"""Gila, (AZ)""",2,"2 - 3 (613)"
04009,"""Graham, (AZ)""",2,"2 - 3 (613)"
04011,"""Greenlee, (AZ)""",0,"0 (742)"
04012,"""La Paz, (AZ)""",2,"2 - 3 (613)"
04013,"""Maricopa, (AZ)""",27,"4+ (214)"
04015,"""Mohave, (AZ)""",4,"4+ (214)"
04017,"""Navajo, (AZ)""",4,"4+ (214)"
04019,"""Pima, (AZ)""",10,"4+ (214)"
04021,"""Pinal, (AZ)""",3,"2 - 3 (613)"
04023,"""Santa Cruz, (AZ)""",1,"1 (1655)"
04025,"""Yavapai, (AZ)""",2,"2 - 3 (613)"
04027,"""Yuma, (AZ)""",1,"1 (1655)"
06003,"""Alpine, (CA)""",0,"0 (742)"
06019,"""Fresno, (CA)""",6,"4+ (214)"
06025,"""Imperial, (CA)""",2,"2 - 3 (613)"
06027,"""Inyo, (CA)""",2,"2 - 3 (613)"
06029,"""Kern, (CA)""",9,"4+ (214)"
06037,"""Los Angeles, (CA)""",79,"4+ (214)"
06039,"""Madera, (CA)""",1,"1 (1655)"
06051,"""Mono, (CA)""",1,"1 (1655)"
06059,"""Orange, (CA)""",21,"4+ (214)"
06065,"""Riverside, (CA)""",16,"4+ (214)"
06071,"""San Bernardino, (CA)""",20,"4+ (214)"
06073,"""San Diego, (CA)""",19,"4+ (214)"
06107,"""Tulare, (CA)""",2,"2 - 3 (613)"
06111,"""Ventura, (CA)""",7,"4+ (214)"
08007,"""Archuleta, (CO)""",1,"1 (1655)"
08029,"""Delta, (CO)""",1,"1 (1655)"
08033,"""Dolores, (CO)""",0,"0 (742)"
08045,"""Garfield, (CO)""",2,"2 - 3 (613)"
08051,"""Gunnison, (CO)""",1,"1 (1655)"
08053,"""Hinsdale, (CO)""",0,"0 (742)"
08067,"""La Plata, (CO)""",1,"1 (1655)"
08077,"""Mesa, (CO)""",4,"4+ (214)"
08079,"""Mineral, (CO)""",0,"0 (742)"
08081,"""Moffat, (CO)""",1,"1 (1655)"
08083,"""Montezuma, (CO)""",1,"1 (1655)"
08085,"""Montrose, (CO)""",1,"1 (1655)"
08091,"""Ouray, (CO)""",0,"0 (742)"
08097,"""Pitkin, (CO)""",1,"1 (1655)"
08103,"""Rio Blanco, (CO)""",2,"2 - 3 (613)"
08107,"""Routt, (CO)""",1,"1 (1655)"
08111,"""San Juan, (CO)""",0,"0 (742)"
08113,"""San Miguel, (CO)""",0,"0 (742)"
16001,"""Ada, (ID)""",4,"4+ (214)"
16005,"""Bannock, (ID)""",1,"1 (1655)"
16007,"""Bear Lake, (ID)""",1,"1 (1655)"
16011,"""Bingham, (ID)""",1,"1 (1655)"
16013,"""Blaine, (ID)""",1,"1 (1655)"
16015,"""Boise, (ID)""",0,"0 (742)"
16019,"""Bonneville, (ID)""",2,"2 - 3 (613)"
16023,"""Butte, (ID)""",1,"1 (1655)"
16025,"""Camas, (ID)""",0,"0 (742)"
16027,"""Canyon, (ID)""",3,"2 - 3 (613)"
16029,"""Caribou, (ID)""",1,"1 (1655)"
16031,"""Cassia, (ID)""",1,"1 (1655)"
16033,"""Clark, (ID)""",0,"0 (742)"
16037,"""Custer, (ID)""",0,"0 (742)"
16039,"""Elmore, (ID)""",1,"1 (1655)"
16041,"""Franklin, (ID)""",1,"1 (1655)"
16043,"""Fremont, (ID)""",0,"0 (742)"
16045,"""Gem, (ID)""",1,"1 (1655)"
16047,"""Gooding, (ID)""",1,"1 (1655)"
16051,"""Jefferson, (ID)""",0,"0 (742)"
16053,"""Jerome, (ID)""",1,"1 (1655)"
16063,"""Lincoln, (ID)""",0,"0 (742)"
16065,"""Madison, (ID)""",1,"1 (1655)"
16067,"""Minidoka, (ID)""",1,"1 (1655)"
16071,"""Oneida, (ID)""",1,"1 (1655)"
16073,"""Owyhee, (ID)""",0,"0 (742)"
16075,"""Payette, (ID)""",0,"0 (742)"
16077,"""Power, (ID)""",1,"1 (1655)"
16081,"""Teton, (ID)""",1,"1 (1655)"
16083,"""Twin Falls, (ID)""",1,"1 (1655)"
16087,"""Washington, (ID)""",1,"1 (1655)"
