"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 - 2 (638)"
02016,"""Aleutians West, (AK)""",0,"0 - 2 (638)"
02020,"""Anchorage, (AK)""",79,"35.1 - 100 (612)"
02050,"""Bethel, (AK)""",0,"0 - 2 (638)"
02060,"""Bristol Bay, (AK)""",1,"0 - 2 (638)"
02068,"""Denali, (AK)""",16,"9.1 - 20 (668)"
02070,"""Dillingham, (AK)""",5,"2.1 - 9 (628)"
02090,"""Fairbanks North Star, (AK)""",30,"20.1 - 35 (594)"
02100,"""Haines, (AK)""",0,"0 - 2 (638)"
02105,"""Hoonah-Angoon, (AK)""",6,"2.1 - 9 (628)"
02110,"""Juneau, (AK)""",40,"35.1 - 100 (612)"
02122,"""Kenai Peninsula, (AK)""",24,"20.1 - 35 (594)"
02130,"""Ketchikan Gateway, (AK)""",0,"0 - 2 (638)"
02150,"""Kodiak Island, (AK)""",7,"2.1 - 9 (628)"
02164,"""Lake and Peninsula, (AK)""",11,"9.1 - 20 (668)"
02170,"""Matanuska-Susitna, (AK)""",7,"2.1 - 9 (628)"
02180,"""Nome, (AK)""",0,"0 - 2 (638)"
02185,"""North Slope, (AK)""",3,"2.1 - 9 (628)"
02188,"""Northwest Arctic, (AK)""",0,"0 - 2 (638)"
02195,"""Petersburg, (AK)""",0,"0 - 2 (638)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 - 2 (638)"
02220,"""Sitka, (AK)""",12,"9.1 - 20 (668)"
02230,"""Skagway, (AK)""",0,"0 - 2 (638)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 - 2 (638)"
02261,"""Valdez-Cordova, (AK)""",6,"2.1 - 9 (628)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",0,"0 - 2 (638)"
02282,"""Yakutat, (AK)""",0,"0 - 2 (638)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 - 2 (638)"
06001,"""Alameda, (CA)""",85,"35.1 - 100 (612)"
06005,"""Amador, (CA)""",3,"2.1 - 9 (628)"
06007,"""Butte, (CA)""",26,"20.1 - 35 (594)"
06009,"""Calaveras, (CA)""",13,"9.1 - 20 (668)"
06011,"""Colusa, (CA)""",9,"2.1 - 9 (628)"
06013,"""Contra Costa, (CA)""",68,"35.1 - 100 (612)"
06015,"""Del Norte, (CA)""",13,"9.1 - 20 (668)"
06017,"""El Dorado, (CA)""",28,"20.1 - 35 (594)"
06021,"""Glenn, (CA)""",29,"20.1 - 35 (594)"
06023,"""Humboldt, (CA)""",49,"35.1 - 100 (612)"
06031,"""Kings, (CA)""",36,"35.1 - 100 (612)"
06033,"""Lake, (CA)""",27,"20.1 - 35 (594)"
06035,"""Lassen, (CA)""",15,"9.1 - 20 (668)"
06041,"""Marin, (CA)""",71,"35.1 - 100 (612)"
06043,"""Mariposa, (CA)""",7,"2.1 - 9 (628)"
06045,"""Mendocino, (CA)""",20,"9.1 - 20 (668)"
06047,"""Merced, (CA)""",42,"35.1 - 100 (612)"
06049,"""Modoc, (CA)""",18,"9.1 - 20 (668)"
06053,"""Monterey, (CA)""",64,"35.1 - 100 (612)"
06055,"""Napa, (CA)""",61,"35.1 - 100 (612)"
06057,"""Nevada, (CA)""",19,"9.1 - 20 (668)"
06061,"""Placer, (CA)""",61,"35.1 - 100 (612)"
06063,"""Plumas, (CA)""",0,"0 - 2 (638)"
06067,"""Sacramento, (CA)""",66,"35.1 - 100 (612)"
06069,"""San Benito, (CA)""",59,"35.1 - 100 (612)"
06075,"""San Francisco, (CA)""",97,"35.1 - 100 (612)"
06077,"""San Joaquin, (CA)""",66,"35.1 - 100 (612)"
06079,"""San Luis Obispo, (CA)""",49,"35.1 - 100 (612)"
06081,"""San Mateo, (CA)""",80,"35.1 - 100 (612)"
06083,"""Santa Barbara, (CA)""",56,"35.1 - 100 (612)"
06085,"""Santa Clara, (CA)""",77,"35.1 - 100 (612)"
