"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",4,"Nonmetro (1974)"
02016,"""Aleutians West, (AK)""",4,"Nonmetro (1974)"
02020,"""Anchorage, (AK)""",3,"Medium/small metro (730)"
02050,"""Bethel, (AK)""",4,"Nonmetro (1974)"
02060,"""Bristol Bay, (AK)""",4,"Nonmetro (1974)"
02068,"""Denali, (AK)""",4,"Nonmetro (1974)"
02070,"""Dillingham, (AK)""",4,"Nonmetro (1974)"
02090,"""Fairbanks North Star, (AK)""",3,"Medium/small metro (730)"
02100,"""Haines, (AK)""",4,"Nonmetro (1974)"
02105,"""Hoonah-Angoon, (AK)""",4,"Nonmetro (1974)"
02110,"""Juneau, (AK)""",4,"Nonmetro (1974)"
02122,"""Kenai Peninsula, (AK)""",4,"Nonmetro (1974)"
02130,"""Ketchikan Gateway, (AK)""",4,"Nonmetro (1974)"
02150,"""Kodiak Island, (AK)""",4,"Nonmetro (1974)"
02164,"""Lake and Peninsula, (AK)""",4,"Nonmetro (1974)"
02170,"""Matanuska-Susitna, (AK)""",3,"Medium/small metro (730)"
02180,"""Nome, (AK)""",4,"Nonmetro (1974)"
02185,"""North Slope, (AK)""",4,"Nonmetro (1974)"
02188,"""Northwest Arctic, (AK)""",4,"Nonmetro (1974)"
02195,"""Petersburg, (AK)""",4,"Nonmetro (1974)"
02198,"""Prince of Wales-Hyder, (AK)""",4,"Nonmetro (1974)"
02220,"""Sitka, (AK)""",4,"Nonmetro (1974)"
02230,"""Skagway, (AK)""",4,"Nonmetro (1974)"
02240,"""Southeast Fairbanks, (AK)""",4,"Nonmetro (1974)"
02261,"""Valdez-Cordova, (AK)""",4,"Nonmetro (1974)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",4,"Nonmetro (1974)"
02282,"""Yakutat, (AK)""",4,"Nonmetro (1974)"
02290,"""Yukon-Koyukuk, (AK)""",4,"Nonmetro (1974)"
06001,"""Alameda, (CA)""",1,"Large central metro (68)"
06005,"""Amador, (CA)""",4,"Nonmetro (1974)"
06007,"""Butte, (CA)""",3,"Medium/small metro (730)"
06009,"""Calaveras, (CA)""",4,"Nonmetro (1974)"
06011,"""Colusa, (CA)""",4,"Nonmetro (1974)"
06013,"""Contra Costa, (CA)""",2,"Large fringe metro (368)"
06015,"""Del Norte, (CA)""",4,"Nonmetro (1974)"
06017,"""El Dorado, (CA)""",2,"Large fringe metro (368)"
06021,"""Glenn, (CA)""",4,"Nonmetro (1974)"
06023,"""Humboldt, (CA)""",4,"Nonmetro (1974)"
06031,"""Kings, (CA)""",3,"Medium/small metro (730)"
06033,"""Lake, (CA)""",4,"Nonmetro (1974)"
06035,"""Lassen, (CA)""",4,"Nonmetro (1974)"
06041,"""Marin, (CA)""",2,"Large fringe metro (368)"
06043,"""Mariposa, (CA)""",4,"Nonmetro (1974)"
06045,"""Mendocino, (CA)""",4,"Nonmetro (1974)"
06047,"""Merced, (CA)""",3,"Medium/small metro (730)"
06049,"""Modoc, (CA)""",4,"Nonmetro (1974)"
06053,"""Monterey, (CA)""",3,"Medium/small metro (730)"
06055,"""Napa, (CA)""",3,"Medium/small metro (730)"
06057,"""Nevada, (CA)""",4,"Nonmetro (1974)"
06061,"""Placer, (CA)""",2,"Large fringe metro (368)"
06063,"""Plumas, (CA)""",4,"Nonmetro (1974)"
06067,"""Sacramento, (CA)""",1,"Large central metro (68)"
06069,"""San Benito, (CA)""",2,"Large fringe metro (368)"
06075,"""San Francisco, (CA)""",1,"Large central metro (68)"
06077,"""San Joaquin, (CA)""",3,"Medium/small metro (730)"
06079,"""San Luis Obispo, (CA)""",3,"Medium/small metro (730)"
06081,"""San Mateo, (CA)""",2,"Large fringe metro (368)"
06083,"""Santa Barbara, (CA)""",3,"Medium/small metro (730)"
06085,"""Santa Clara, (CA)""",1,"Large central metro (68)"
06087,"""Santa Cruz, (CA)""",3,"Medium/small metro (730)"
06089,"""Shasta, (CA)""",3,"Medium/small metro (730)"
06091,"""Sierra, (CA)""",4,"Nonmetro (1974)"
06093,"""Siskiyou, (CA)""",4,"Nonmetro (1974)"
06095,"""Solano, (CA)""",3,"Medium/small metro (730)"
06097,"""Sonoma, (CA)""",3,"Medium/small metro (730)"
06099,"""Stanislaus, (CA)""",3,"Medium/small metro (730)"
06101,"""Sutter, (CA)""",3,"Medium/small metro (730)"
06103,"""Tehama, (CA)""",4,"Nonmetro (1974)"
06105,"""Trinity, (CA)""",4,"Nonmetro (1974)"
06109,"""Tuolumne, (CA)""",4,"Nonmetro (1974)"
06113,"""Yolo, (CA)""",2,"Large fringe metro (368)"
06115,"""Yuba, (CA)""",3,"Medium/small metro (730)"
15001,"""Hawaii, (HI)""",4,"Nonmetro (1974)"
15003,"""Honolulu, (HI)""",3,"Medium/small metro (730)"
15005,"""Kalawao, (HI)""",3,"Medium/small metro (730)"
15007,"""Kauai, (HI)""",4,"Nonmetro (1974)"
15009,"""Maui, (HI)""",3,"Medium/small metro (730)"
41003,"""Benton, (OR)""",3,"Medium/small metro (730)"
41005,"""Clackamas, (OR)""",2,"Large fringe metro (368)"
41007,"""Clatsop, (OR)""",4,"Nonmetro (1974)"
41009,"""Columbia, (OR)""",2,"Large fringe metro (368)"
41011,"""Coos, (OR)""",4,"Nonmetro (1974)"
41013,"""Crook, (OR)""",4,"Nonmetro (1974)"
41015,"""Curry, (OR)""",4,"Nonmetro (1974)"
41017,"""Deschutes, (OR)""",3,"Medium/small metro (730)"
41019,"""Douglas, (OR)""",4,"Nonmetro (1974)"
41021,"""Gilliam, (OR)""",4,"Nonmetro (1974)"
41027,"""Hood River, (OR)""",4,"Nonmetro (1974)"
41029,"""Jackson, (OR)""",3,"Medium/small metro (730)"
41031,"""Jefferson, (OR)""",4,"Nonmetro (1974)"
41033,"""Josephine, (OR)""",3,"Medium/small metro (730)"
41035,"""Klamath, (OR)""",4,"Nonmetro (1974)"
41037,"""Lake, (OR)""",4,"Nonmetro (1974)"
41039,"""Lane, (OR)""",3,"Medium/small metro (730)"
41041,"""Lincoln, (OR)""",4,"Nonmetro (1974)"
41043,"""Linn, (OR)""",3,"Medium/small metro (730)"
41047,"""Marion, (OR)""",3,"Medium/small metro (730)"
41051,"""Multnomah, (OR)""",1,"Large central metro (68)"
41053,"""Polk, (OR)""",3,"Medium/small metro (730)"
41055,"""Sherman, (OR)""",4,"Nonmetro (1974)"
41057,"""Tillamook, (OR)""",4,"Nonmetro (1974)"
41065,"""Wasco, (OR)""",4,"Nonmetro (1974)"
41067,"""Washington, (OR)""",2,"Large fringe metro (368)"
41069,"""Wheeler, (OR)""",4,"Nonmetro (1974)"
41071,"""Yamhill, (OR)""",2,"Large fringe metro (368)"
53007,"""Chelan, (WA)""",3,"Medium/small metro (730)"
53009,"""Clallam, (WA)""",4,"Nonmetro (1974)"
53011,"""Clark, (WA)""",2,"Large fringe metro (368)"
53015,"""Cowlitz, (WA)""",3,"Medium/small metro (730)"
53027,"""Grays Harbor, (WA)""",4,"Nonmetro (1974)"
53029,"""Island, (WA)""",4,"Nonmetro (1974)"
53031,"""Jefferson, (WA)""",4,"Nonmetro (1974)"
53033,"""King, (WA)""",1,"Large central metro (68)"
53035,"""Kitsap, (WA)""",3,"Medium/small metro (730)"
53037,"""Kittitas, (WA)""",4,"Nonmetro (1974)"
53039,"""Klickitat, (WA)""",4,"Nonmetro (1974)"
53041,"""Lewis, (WA)""",4,"Nonmetro (1974)"
53045,"""Mason, (WA)""",4,"Nonmetro (1974)"
53047,"""Okanogan, (WA)""",4,"Nonmetro (1974)"
53049,"""Pacific, (WA)""",4,"Nonmetro (1974)"
53053,"""Pierce, (WA)""",2,"Large fringe metro (368)"
53055,"""San Juan, (WA)""",4,"Nonmetro (1974)"
53057,"""Skagit, (WA)""",3,"Medium/small metro (730)"
53059,"""Skamania, (WA)""",2,"Large fringe metro (368)"
53061,"""Snohomish, (WA)""",2,"Large fringe metro (368)"
53067,"""Thurston, (WA)""",3,"Medium/small metro (730)"
53069,"""Wahkiakum, (WA)""",4,"Nonmetro (1974)"
53073,"""Whatcom, (WA)""",3,"Medium/small metro (730)"
53077,"""Yakima, (WA)""",3,"Medium/small metro (730)"
04001,"""Apache, (AZ)""",4,"Nonmetro (1974)"
04003,"""Cochise, (AZ)""",3,"Medium/small metro (730)"
04005,"""Coconino, (AZ)""",3,"Medium/small metro (730)"
04007,"""Gila, (AZ)""",4,"Nonmetro (1974)"
04009,"""Graham, (AZ)""",4,"Nonmetro (1974)"
04011,"""Greenlee, (AZ)""",4,"Nonmetro (1974)"
04012,"""La Paz, (AZ)""",4,"Nonmetro (1974)"
04013,"""Maricopa, (AZ)""",1,"Large central metro (68)"
04015,"""Mohave, (AZ)""",3,"Medium/small metro (730)"
04017,"""Navajo, (AZ)""",4,"Nonmetro (1974)"
04019,"""Pima, (AZ)""",3,"Medium/small metro (730)"
04021,"""Pinal, (AZ)""",2,"Large fringe metro (368)"
04023,"""Santa Cruz, (AZ)""",4,"Nonmetro (1974)"
04025,"""Yavapai, (AZ)""",3,"Medium/small metro (730)"
04027,"""Yuma, (AZ)""",3,"Medium/small metro (730)"
06003,"""Alpine, (CA)""",4,"Nonmetro (1974)"
06019,"""Fresno, (CA)""",3,"Medium/small metro (730)"
06025,"""Imperial, (CA)""",3,"Medium/small metro (730)"
06027,"""Inyo, (CA)""",4,"Nonmetro (1974)"
06029,"""Kern, (CA)""",3,"Medium/small metro (730)"
06037,"""Los Angeles, (CA)""",1,"Large central metro (68)"
06039,"""Madera, (CA)""",3,"Medium/small metro (730)"
06051,"""Mono, (CA)""",4,"Nonmetro (1974)"
06059,"""Orange, (CA)""",1,"Large central metro (68)"
06065,"""Riverside, (CA)""",1,"Large central metro (68)"
06071,"""San Bernardino, (CA)""",2,"Large fringe metro (368)"
06073,"""San Diego, (CA)""",1,"Large central metro (68)"
06107,"""Tulare, (CA)""",3,"Medium/small metro (730)"
06111,"""Ventura, (CA)""",3,"Medium/small metro (730)"
08007,"""Archuleta, (CO)""",4,"Nonmetro (1974)"
08029,"""Delta, (CO)""",4,"Nonmetro (1974)"
08033,"""Dolores, (CO)""",4,"Nonmetro (1974)"
08045,"""Garfield, (CO)""",4,"Nonmetro (1974)"
08051,"""Gunnison, (CO)""",4,"Nonmetro (1974)"
08053,"""Hinsdale, (CO)""",4,"Nonmetro (1974)"
08067,"""La Plata, (CO)""",4,"Nonmetro (1974)"
08077,"""Mesa, (CO)""",3,"Medium/small metro (730)"
08079,"""Mineral, (CO)""",4,"Nonmetro (1974)"
08081,"""Moffat, (CO)""",4,"Nonmetro (1974)"
