"FIPS","Name","city","ST","state_name","lat","lng","timezone","zips","case"
1003,"Baldwin County","Gulf Shores","AL","Alabama",30.2758,-87.7014,"America/Chicago","36542 36547","yes"
1003,"Baldwin County","Lillian","AL","Alabama",30.4122,-87.432,"America/Chicago","36549","yes"
1003,"Baldwin County","Spanish Fort","AL","Alabama",30.7257,-87.8601,"America/Chicago","36507 36527 36578 36577","yes"
1003,"Baldwin County","Magnolia Springs","AL","Alabama",30.4003,-87.7748,"America/Chicago","36535 36555","yes"
1003,"Baldwin County","Stockton","AL","Alabama",30.9946,-87.86,"America/Chicago","36507 36579","yes"
1003,"Baldwin County","Bay Minette","AL","Alabama",30.893,-87.7912,"America/Chicago","36507","yes"
1003,"Baldwin County","Elberta","AL","Alabama",30.3847,-87.5886,"America/Chicago","36530","yes"
1003,"Baldwin County","Silverhill","AL","Alabama",30.5455,-87.7505,"America/Chicago","36576","yes"
1003,"Baldwin County","Perdido Beach","AL","Alabama",30.3553,-87.5036,"America/Chicago","36530","yes"
1003,"Baldwin County","Orange Beach","AL","Alabama",30.2941,-87.5851,"America/Chicago","36561 36530","yes"
1003,"Baldwin County","Fairhope","AL","Alabama",30.522,-87.8816,"America/Chicago","36532","yes"
1003,"Baldwin County","Daphne","AL","Alabama",30.6286,-87.8866,"America/Chicago","36527 36526","yes"
1003,"Baldwin County","Stapleton","AL","Alabama",30.7394,-87.7948,"America/Chicago","36578","yes"
1003,"Baldwin County","Robertsdale","AL","Alabama",30.5534,-87.7022,"America/Chicago","36567","yes"
1003,"Baldwin County","Loxley","AL","Alabama",30.6822,-87.7418,"America/Chicago","36551 36527 36578","yes"
1003,"Baldwin County","Foley","AL","Alabama",30.3984,-87.6648,"America/Chicago","36535 36530 36536","yes"
1003,"Baldwin County","Point Clear","AL","Alabama",30.4902,-87.9105,"America/Chicago","36564 36532","yes"
1003,"Baldwin County","Summerdale","AL","Alabama",30.4785,-87.6906,"America/Chicago","36535 36580","yes"
1003,"Baldwin County","Bon Secour","AL","Alabama",30.3222,-87.7271,"America/Chicago","36511 36535","yes"
1003,"Baldwin County","Perdido","AL","Alabama",31.0034,-87.6323,"America/Chicago","36562","yes"
1051,"Elmore County","Holtville","AL","Alabama",32.6314,-86.3268,"America/Chicago","36092 36022","yes"
1051,"Elmore County","Redland","AL","Alabama",32.4754,-86.1375,"America/Chicago","36093","yes"
1051,"Elmore County","Wetumpka","AL","Alabama",32.5405,-86.2053,"America/Chicago","36093 36092","yes"
1051,"Elmore County","Tallassee","AL","Alabama",32.5316,-85.8903,"America/Chicago","36078","yes"
1051,"Elmore County","Blue Ridge","AL","Alabama",32.501,-86.1839,"America/Chicago","36093","yes"
1051,"Elmore County","Elmore","AL","Alabama",32.5552,-86.3425,"America/Chicago","36022 36025","yes"
1051,"Elmore County","Deatsville","AL","Alabama",32.5864,-86.3915,"America/Chicago","36054 36022","yes"
1051,"Elmore County","Emerald Mountain","AL","Alabama",32.4396,-86.0857,"America/Chicago","36093 36078","yes"
1051,"Elmore County","Coosada","AL","Alabama",32.4984,-86.3279,"America/Chicago","36054 36020","yes"
1051,"Elmore County","Eclectic","AL","Alabama",32.6387,-86.0386,"America/Chicago","36024","yes"
1051,"Elmore County","Millbrook","AL","Alabama",32.5035,-86.3728,"America/Chicago","36054 36022","yes"
1073,"Jefferson County","Irondale","AL","Alabama",33.544,-86.6599,"America/Chicago","35210 35015","yes"
1073,"Jefferson County","Concord","AL","Alabama",33.4674,-87.0392,"America/Chicago","35023","yes"
1073,"Jefferson County","Trussville","AL","Alabama",33.6404,-86.5818,"America/Chicago","35235 35173","yes"
1073,"Jefferson County","West Jefferson","AL","Alabama",33.6521,-87.0569,"America/Chicago","35130 35005 35062","yes"
1073,"Jefferson County","Rock Creek","AL","Alabama",33.4772,-87.0812,"America/Chicago","35023","yes"
1073,"Jefferson County","Warrior","AL","Alabama",33.8153,-86.8153,"America/Chicago","35180","yes"
1073,"Jefferson County","McDonald Chapel","AL","Alabama",33.5189,-86.9385,"America/Chicago","35224","yes"
1073,"Jefferson County","Gardendale","AL","Alabama",33.6679,-86.8068,"America/Chicago","35071 35119","yes"
1073,"Jefferson County","Sylvan Springs","AL","Alabama",33.5287,-87.0312,"America/Chicago","35118","yes"
1073,"Jefferson County","Birmingham","AL","Alabama",33.5277,-86.7987,"America/Chicago","35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298","yes"
1073,"Jefferson County","Tarrant","AL","Alabama",33.5945,-86.7684,"America/Chicago","35217","yes"
1073,"Jefferson County","Lipscomb","AL","Alabama",33.4261,-86.926,"America/Chicago","35020","yes"
1073,"Jefferson County","Fairfield","AL","Alabama",33.4747,-86.9194,"America/Chicago","35064","yes"
1073,"Jefferson County","Midfield","AL","Alabama",33.4552,-86.9227,"America/Chicago","35221 35228","yes"
