ID,State,FIPS,County,County Seat(s),Latitude,Longitude
1,AL,1001,Autauga,Prattville,32.54,-86.64
2,AL,1003,Baldwin,Bay Minette,30.66,-87.75
3,AL,1005,Barbour,Clayton,31.87,-85.41
4,AL,1007,Bibb,Centreville,33.02,-87.13
5,AL,1009,Blount,Oneonta,33.98,-86.57
6,AL,1011,Bullock,Union Springs,32.10,-85.72
7,AL,1013,Butler,Greenville,31.75,-86.68
8,AL,1015,Calhoun,Anniston,33.77,-85.82
9,AL,1017,Chambers,Lafayette,32.92,-85.39
10,AL,1019,Cherokee,Centre,34.07,-85.65
11,AL,1021,Chilton,Clanton,32.85,-86.73
12,AL,1023,Choctaw,Butler,31.99,-88.25
13,AL,1025,Clarke,Grove Hill,31.69,-87.82
14,AL,1027,Clay,Ashland,33.27,-85.86
15,AL,1029,Cleburne,Heflin,33.67,-85.52
16,AL,1031,Coffee,"Elba, Enterprise",31.40,-85.99
17,AL,1033,Colbert,Tuscumbia,34.70,-87.80
18,AL,1035,Conecuh,Evergreen,31.43,-86.99
19,AL,1037,Coosa,Rockford,32.93,-86.24
20,AL,1039,Covington,Andalusia,31.24,-86.45
21,AL,1041,Crenshaw,Luverne,31.73,-86.32
22,AL,1043,Cullman,Cullman,34.13,-86.87
23,AL,1045,Dale,Ozark,31.43,-85.61
24,AL,1047,Dallas,Selma,32.33,-87.11
25,AL,1049,DeKalb,Fort Payne,34.46,-85.80
26,AL,1051,Elmore,Wetumpka,32.60,-86.14
27,AL,1053,Escambia,Brewton,31.12,-87.17
28,AL,1055,Etowah,Gadsden,34.05,-86.03
29,AL,1057,Fayette,Fayette,33.73,-87.75
30,AL,1059,Franklin,Russellville,34.44,-87.84
31,AL,1061,Geneva,Geneva,31.09,-85.82
32,AL,1063,Greene,Eutaw,32.84,-87.96
33,AL,1065,Hale,Greensboro,32.75,-87.62
34,AL,1067,Henry,Abbeville,31.52,-85.24
35,AL,1069,Houston,Dothan,31.16,-85.30
36,AL,1071,Jackson,Scottsboro,34.76,-85.98
37,AL,1073,Jefferson,Birmingham,33.55,-86.90
38,AL,1075,Lamar,Vernon,33.79,-88.09
39,AL,1077,Lauderdale,Florence,34.90,-87.65
40,AL,1079,Lawrence,Moulton,34.53,-87.32
41,AL,1081,Lee,Opelika,32.60,-85.35
42,AL,1083,Limestone,Athens,34.81,-86.98
43,AL,1085,Lowndes,Hayneville,32.15,-86.65
44,AL,1087,Macon,Tuskegee,32.39,-85.69
45,AL,1089,Madison,Huntsville,34.76,-86.55
46,AL,1091,Marengo,Linden,32.25,-87.79
47,AL,1093,Marion,Hamilton,34.14,-87.88
48,AL,1095,Marshall,Guntersville,34.31,-86.32
49,AL,1097,Mobile,Mobile,30.68,-88.20
50,AL,1099,Monroe,Monroeville,31.58,-87.38
51,AL,1101,Montgomery,Montgomery,32.20,-86.20
52,AL,1103,Morgan,Decatur,34.45,-86.85
53,AL,1105,Perry,Marion,32.64,-87.29
54,AL,1107,Pickens,Carrollton,33.30,-88.10
55,AL,1109,Pike,Troy,31.80,-85.94
56,AL,1111,Randolph,Wedowee,33.30,-85.46
57,AL,1113,Russell,Phenix City,32.29,-85.19
58,AL,1115,St. Clair,"Ashville, Pell City",33.71,-86.32
59,AL,1117,Shelby,Columbiana,33.26,-86.68
60,AL,1119,Sumter,Livingston,32.60,-88.20
61,AL,1121,Talladega,Talladega,33.37,-86.18
62,AL,1123,Tallapoosa,Dadeville,32.86,-85.80
63,AL,1125,Tuscaloosa,Tuscaloosa,33.29,-87.52
64,AL,1127,Walker,Jasper,33.79,-87.30
65,AL,1129,Washington,Chatom,31.41,-88.20
66,AL,1131,Wilcox,Camden,31.99,-87.30
67,AL,1133,Winston,Double Springs,34.16,-87.36
68,AK,2013,Aleutians East,Sand Point,55.24,-161.95
69,AK,2016,Aleutians West [4],—,51.96,178.34
70,AK,2020,Anchorage,Anchorage,61.18,-149.27
71,AK,2050,Bethel [4],—,60.93,-160.15
72,AK,2060,Bristol Bay,Naknek,58.73,-156.99
73,AK,2068,Denali,Healy,63.68,-150.03
74,AK,2070,Dillingham [4],—,59.82,-158.60
75,AK,2090,Fairbanks North Star,Fairbanks,64.69,-146.60
76,AK,2100,Haines,Haines,59.10,-135.58
77,AK,2105,Hoonah-Angoon [4],—,58.08,-135.19
78,AK,2110,Juneau,Juneau,58.37,-134.18
79,AK,2122,Kenai Peninsula,Soldotna,60.37,-152.32
80,AK,2130,Ketchikan Gateway,Ketchikan,55.45,-131.11
81,AK,2150,Kodiak Island,Kodiak,57.55,-153.63
82,AK,2164,Lake and Peninsula,King Salmon [5],58.21,-156.71
83,AK,2170,Matanuska-Susitna,Palmer,62.18,-149.41
84,AK,2180,Nome [4],—,64.78,-164.19
85,AK,2185,North Slope,Barrow,69.45,-153.47
86,AK,2188,Northwest Arctic,Kotzebue,67.01,-160.02
87,AK,2195,Petersburg [4],—,56.64,-133.53
88,AK,2198,Prince of Wales-Hyder [4],—,55.42,-132.88
89,AK,2220,Sitka,Sitka,57.14,-135.33
90,AK,2230,Skagway,Skagway,59.58,-135.34
91,AK,2240,Southeast Fairbanks [4],—,63.86,-143.22
92,AK,2261,Valdez-Cordova [4],—,61.35,-145.02
93,AK,2270,Wade Hampton [4],—,62.28,-163.19
94,AK,2275,Wrangell,Wrangell,56.28,-132.04
95,AK,2282,Yakutat,Yakutat,60.00,-140.24
96,AK,2290,Yukon-Koyukuk [4],—,65.38,-151.58
97,AZ,4001,Apache,St. Johns,35.39,-109.49
98,AZ,4003,Cochise,Bisbee,31.88,-109.75
99,AZ,4005,Coconino,Flagstaff,35.83,-111.77
100,AZ,4007,Gila,Globe,33.79,-110.81
101,AZ,4009,Graham,Safford,32.93,-109.88
102,AZ,4011,Greenlee,Clifton,33.24,-109.24
103,AZ,4012,La Paz,Parker,33.73,-114.04
104,AZ,4013,Maricopa,Phoenix,33.35,-112.50
105,AZ,4015,Mohave,Kingman,35.72,-113.75
106,AZ,4017,Navajo,Holbrook,35.39,-110.32
107,AZ,4019,Pima,Tucson,32.13,-111.78
108,AZ,4021,Pinal,Florence,32.92,-111.37
109,AZ,4023,Santa Cruz,Nogales,31.53,-110.85
110,AZ,4025,Yavapai,Prescott,34.63,-112.57
111,AZ,4027,Yuma,Yuma,32.77,-113.91
112,AR,5001,Arkansas,"De Witt, Stuttgart",34.29,-91.38
113,AR,5003,Ashley,Hamburg,33.19,-91.77
114,AR,5005,Baxter,Mountain Home,36.28,-92.33
115,AR,5007,Benton,Bentonville,36.34,-94.26
116,AR,5009,Boone,Harrison,36.30,-93.08
117,AR,5011,Bradley,Warren,33.46,-92.17
118,AR,5013,Calhoun,Hampton,33.56,-92.51
119,AR,5015,Carroll,"Berryville, Eureka Springs",36.34,-93.54
120,AR,5017,Chicot,Lake Village,33.27,-91.30
121,AR,5019,Clark,Arkadelphia,34.05,-93.18
122,AR,5021,Clay,"Piggott, Corning",36.37,-90.42
123,AR,5023,Cleburne,Heber Springs,35.57,-92.06
124,AR,5025,Cleveland,Rison,33.89,-92.19
125,AR,5027,Columbia,Magnolia,33.22,-93.23
126,AR,5029,Conway,Morrilton,35.27,-92.69
127,AR,5031,Craighead,"Lake City, Jonesboro",35.83,-90.63
128,AR,5033,Crawford,Van Buren,35.58,-94.24
129,AR,5035,Crittenden,Marion,35.21,-90.32
130,AR,5037,Cross,Wynne,35.29,-90.77
131,AR,5039,Dallas,Fordyce,33.97,-92.65
132,AR,5041,Desha,Arkansas City,33.83,-91.24
133,AR,5043,Drew,Monticello,33.59,-91.72
134,AR,5045,Faulkner,Conway,35.15,-92.32
135,AR,5047,Franklin,"Charleston, Ozark",35.51,-93.89
136,AR,5049,Fulton,Salem,36.38,-91.82
137,AR,5051,Garland,Hot Springs,34.58,-93.15
138,AR,5053,Grant,Sheridan,34.29,-92.42
139,AR,5055,Greene,Paragould,36.12,-90.57
140,AR,5057,Hempstead,Hope,33.73,-93.67
141,AR,5059,Hot Spring,Malvern,34.32,-92.94
142,AR,5061,Howard,Nashville,34.08,-93.99
143,AR,5063,Independence,Batesville,35.74,-91.56
144,AR,5065,Izard,Melbourne,36.09,-91.91
145,AR,5067,Jackson,Newport,35.60,-91.22
146,AR,5069,Jefferson,Pine Bluff,34.28,-91.93
147,AR,5071,Johnson,Clarksville,35.57,-93.47
148,AR,5073,Lafayette,Lewisville,33.24,-93.61
149,AR,5075,Lawrence,Walnut Ridge,36.04,-91.10
150,AR,5077,Lee,Marianna,34.78,-90.78
151,AR,5079,Lincoln,Star City,33.96,-91.73
152,AR,5081,Little River,Ashdown,33.70,-94.23
153,AR,5083,Logan,"Booneville, Paris",35.22,-93.72
154,AR,5085,Lonoke,Lonoke,34.76,-91.89
155,AR,5087,Madison,Huntsville,36.01,-93.72
156,AR,5089,Marion,Yellville,36.27,-92.68
157,AR,5091,Miller,Texarkana,33.31,-93.90
158,AR,5093,Mississippi,"Blytheville, Osceola",35.77,-90.05
159,AR,5095,Monroe,Clarendon,34.68,-91.20
160,AR,5097,Montgomery,Mount Ida,34.55,-93.66
161,AR,5099,Nevada,Prescott,33.67,-93.31
162,AR,5101,Newton,Jasper,35.91,-93.22
163,AR,5103,Ouachita,Camden,33.59,-92.88
164,AR,5105,Perry,Perryville,34.95,-92.93
165,AR,5107,Phillips,Helena-West Helena,34.43,-90.85
166,AR,5109,Pike,Murfreesboro,34.16,-93.66
167,AR,5111,Poinsett,Harrisburg,35.57,-90.68
168,AR,5113,Polk,Mena,34.49,-94.23
169,AR,5115,Pope,Russellville,35.46,-93.03
170,AR,5117,Prairie,"Des Arc, De Valls Bluff",34.83,-91.56
171,AR,5119,Pulaski,Little Rock,34.77,-92.32
172,AR,5121,Randolph,Pocahontas,36.34,-91.03
173,AR,5123,St. Francis,Forrest City,35.01,-90.74
174,AR,5125,Saline,Benton,34.65,-92.67
175,AR,5127,Scott,Waldron,34.86,-94.06
176,AR,5129,Searcy,Marshall,35.91,-92.70
177,AR,5131,Sebastian,"Greenwood, Fort Smith",35.20,-94.27
178,AR,5133,Sevier,De Queen,33.99,-94.24
179,AR,5135,Sharp,Ash Flat,36.17,-91.47
180,AR,5137,Stone,Mountain View,35.86,-92.14
181,AR,5139,Union,El Dorado,33.17,-92.60
182,AR,5141,Van Buren,Clinton,35.58,-92.52
183,AR,5143,Washington,Fayetteville,35.97,-94.22
184,AR,5145,White,Searcy,35.25,-91.75
185,AR,5147,Woodruff,Augusta,35.19,-91.24
186,AR,5149,Yell,"Dardanelle, Danville",35.00,-93.41
187,CA,6001,Alameda,Oakland,37.65,-121.91
188,CA,6003,Alpine,Markleeville,38.62,-119.80
189,CA,6005,Amador,Jackson,38.44,-120.65
190,CA,6007,Butte,Oroville,39.67,-121.60
191,CA,6009,Calaveras,San Andreas,38.19,-120.56
192,CA,6011,Colusa,Colusa,39.18,-122.24
193,CA,6013,Contra Costa,Martinez,37.92,-121.95
194,CA,6015,Del Norte,Crescent City,41.75,-123.98
195,CA,6017,El Dorado,Placerville,38.79,-120.53
196,CA,6019,Fresno,Fresno,36.76,-119.66
