Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,642,607","2,556,191",3.38%
122,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"549,289","543,839",1.00%
133,AL,AK,JNU,Juneau,Juneau International,P,N,"440,277","422,266",4.27%
198,AL,AK,BET,Bethel,Bethel,P,N,"160,110","146,652",9.18%
212,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"135,389","131,144",3.24%
239,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"93,889","92,973",0.99%
243,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"87,119","83,598",4.21%
247,AL,AK,ADQ,Kodiak,Kodiak,P,N,"81,562","83,577",-2.41%
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"69,070","67,951",1.65%
265,AL,AK,OME,Nome,Nome,P,N,"64,122","61,651",4.01%
283,AL,AK,HOM,Homer,Homer,P,N,"46,867","46,322",1.18%
285,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"46,450","45,958",1.07%
291,AL,AK,AKN,King Salmon,King Salmon,P,N,"44,131","34,800",26.81%
292,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"43,655","41,849",4.32%
309,AL,AK,DLG,Dillingham,Dillingham,P,N,"34,496","28,895",19.38%
315,AL,AK,DUT,Unalaska,Unalaska,P,N,"29,229","30,080",-2.83%
329,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"24,520","22,915",7.00%
358,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"17,654","18,280",-3.42%
367,AL,AK,UNK,Unalakleet,Unalakleet,P,N,"16,208","16,111",0.60%
375,AL,AK,WRG,Wrangell,Wrangell,P,N,"14,033","13,160",6.63%
378,AL,AK,AKW,Klawock,Klawock,P,N,"13,503","10,923",23.62%
382,AL,AK,LHD,Anchorage,Lake Hood,P,N,"12,898","20,689",-37.66%
383,AL,AK,ANI,Aniak,Aniak,P,N,"12,853","12,735",0.93%
391,AL,AK,YAK,Yakutat,Yakutat,P,N,"11,800","10,886",8.40%
398,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,"11,442","11,528",-0.75%
400,AL,AK,GST,Gustavus,Gustavus,P,N,"11,023","9,061",21.65%
404,AL,AK,MRI,Anchorage,Merrill Field,P,N,"10,478","18,298",-42.74%
414,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,"10,050","11,321",-11.23%
311,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,"30,172","42,492",-28.99%
384,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,"12,429","11,350",9.51%
417,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,"9,440","9,664",-2.32%
419,AL,AK,ENM,Emmonak,Emmonak,CS,None,"9,117","8,004",13.91%
427,AL,AK,HNS,Haines,Haines,CS,None,"8,026","7,864",2.06%
431,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,"7,725","5,677",36.08%
435,AL,AK,SGY,Skagway,Skagway,CS,None,"7,324","7,380",-0.76%
437,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"7,071","6,101",15.90%
438,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"7,042","7,338",-4.03%
440,AL,AK,HNH,Hoonah,Hoonah,CS,None,"6,817","6,820",-0.04%
442,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"6,641","6,799",-2.32%
448,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,"6,186","5,176",19.51%
450,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"6,020","6,345",-5.12%
456,AL,AK,VAK,Chevak,Chevak,CS,None,"5,891","5,243",12.36%
464,AL,AK,ILI,Iliamna,Iliamna,CS,None,"5,553","5,752",-3.46%
