FIPS,Name,State,Population,LandArea,TotalArea,CommutingByPublicTransportation,GDP,DayOfFirstCases,ConfirmedCasesDay25
1003,Baldwin County,AL,223234,4117546676,5250602512,82,6606080,53,364
1051,Elmore County,AL,81209,1601769095,1701726818,42,1902516,52,257
1073,Jefferson County,AL,658573,2878465205,2911350249,2694,46959136,52,4649
1081,Lee County,AL,164542,1573548952,1595041243,504,6818940,54,1643
1083,Limestone County,AL,98915,1450277885,1572607614,71,3717509,52,329
1101,Montgomery County,AL,226486,2033918497,2071762502,546,14237190,52,603
1117,Shelby County,AL,217702,2034112797,2096650584,30,11594728,54,1841
1125,Tuscaloosa County,AL,209355,3421009204,3499724554,283,9793605,52,580
4009,Graham County,AZ,38837,11972737302,12020215018,41,1234253,48,39
4013,Maricopa County,AZ,4485414,23825949527,23890186474,41442,247622633,5,26
4019,Pima County,AZ,1047279,23794796847,23800048217,11018,44876057,50,2450
4021,Pinal County,AZ,462789,13897458216,13919802591,310,7589136,46,517
5051,Garland County,AR,99386,1755290360,1902674297,195,3434549,54,622
5069,Jefferson County,AR,66824,2253242466,2366673554,41,3284170,50,587
5119,Pulaski County,AR,391911,1965579500,2091815879,1499,30084230,51,1738
5125,Saline County,AR,122437,1873977181,1891956867,23,2277673,6,4
6001,Alameda County,CA,1671329,1909598013,2126521758,115383,144494091,42,1398
6009,Calaveras County,CA,45905,2641829200,2685626859,189,1642450,52,72
6013,Contra Costa County,CA,1153526,1857233047,2082515683,56287,82436416,43,1343
6019,Fresno County,CA,999101,15431404077,15568749229,4609,47408857,47,529
6023,Humboldt County,CA,135558,9241527430,10495291187,1185,6817827,31,26
6025,Imperial County,CA,181215,10817292933,11607505214,493,8444865,50,502
6037,Los Angeles County,CA,10039107,10510671776,12305346943,286686,787176672,5,26
6039,Madera County,CA,157327,5534617472,5576863403,245,7201526,46,161
6041,Marin County,CA,258826,1347976788,2145005925,12241,23648191,50,1514
6059,Orange County,CA,3175692,2053294769,2455299613,31296,260484674,5,26
6061,Placer County,CA,398329,3644325262,3890819752,1988,24748629,41,286
6065,Riverside County,CA,2470546,18664901451,18915096148,12792,90768490,47,2750
6067,Sacramento County,CA,1552058,2500490904,2575385273,17270,96628861,31,219
6069,San Benito County,CA,62808,3596590995,3601310291,161,2759377,13,52
6071,San Bernardino County,CA,2180085,51954895600,52071990740,13197,96340623,54,4863
6073,San Diego County,CA,3338330,10900649391,11721344890,46506,245138815,21,53
6075,San Francisco County,CA,881549,121375681,600592353,172593,183171673,44,2641
6077,San Joaquin County,CA,762148,3606263159,3695237488,4485,32328427,52,2402
6079,San Luis Obispo County,CA,283111,8548611925,9364131097,1577,18520901,50,1107
6081,San Mateo County,CA,766573,1161960635,1919071180,42791,114862990,41,1672
6083,Santa Barbara County,CA,446499,7083976828,9813815108,6406,30191620,54,2127
6085,Santa Clara County,CA,1927852,3343896477,3377486343,41240,328260759,10,49
6087,Santa Cruz County,CA,273213,1152866293,1572537802,3834,15310247,48,607
6089,Shasta County,CA,180080,9778230074,9964709533,483,8723326,48,79
6095,Solano County,CA,447643,2128327622,2347027558,6004,26440606,48,604
6097,Sonoma County,CA,494336,4081491107,4578946411,4553,31959962,41,312
6099,Stanislaus County,CA,550660,3874662824,3921019213,1789,25133925,51,617
6107,Tulare County,CA,466195,12495083015,12532097659,1226,19137922,51,879
6111,Ventura County,CA,846006,4771968316,5719333321,4857,59631268,48,1390
6113,Yolo County,CA,220500,2628144763,2651023215,3961,15336770,45,184
8001,Adams County,CO,517421,3020592854,3065039959,9366,26808606,51,2647
8005,Arapahoe County,CO,656590,2066632437,2086132027,14115,48610332,48,3106
8013,Boulder County,CO,326196,1881290197,1917802841,8047,27533518,54,2317
8019,Clear Creek County,CO,9700,1023561805,1026836687,30,505016,54,104
8031,Denver County,CO,727211,397024697,401270097,25040,77455208,45,3421
8035,Douglas County,CO,351154,2176237637,2183034695,3280,17335732,46,1070
8037,Eagle County,CO,55127,4362761542,4381724900,1667,3903441,48,2814
8041,El Paso County,CO,720403,5508504028,5515601485,2556,37001039,46,1998
8045,Garfield County,CO,60061,7634105497,7655503898,1184,3893318,54,610
8051,Gunnison County,CO,17462,8389338082,8442405150,409,1120201,48,941
8059,Jefferson County,CO,582881,1979501357,2004827679,10458,33039256,49,3375
8069,Larimer County,CO,356899,6723008226,6822032893,2567,18783482,48,1044
8077,Mesa County,CO,154210,8621899288,8653339789,305,7017336,53,256
8097,Pitkin County,CO,17767,2514104904,2520577479,1721,2203979,51,573
8101,Pueblo County,CO,168424,6179916826,6210184320,656,6888420,52,324
8107,Routt County,CO,25638,6117602765,6133434509,434,1873786,52,303
8117,Summit County,CO,31011,1575590691,1603874160,946,2472134,45,146
8123,Weld County,CO,324492,10323763901,10403322265,757,19759560,52,4303
9001,Fairfield County,CT,943332,1618651428,2167944946,46650,89387658,48,15624
9003,Hartford County,CT,891720,1903543897,1944087674,14071,84111164,53,8362
9005,Litchfield County,CT,180333,2384116952,2446451477,1224,8742282,49,1242
9009,New Haven County,CT,854757,1565688367,2232769609,17343,53613901,53,11578
10003,New Castle County,DE,558753,1104149852,1279526142,10470,50522842,51,3284
11001,Washington,DC,705749,158340391,177027589,127530,140660945,47,4712
12001,Alachua County,FL,269043,2266324954,2509201961,4705,14129555,49,1064
12003,Baker County,FL,29210,1515738968,1525425088,0,654846,50,116
12005,Bay County,FL,174705,1964585684,2675853671,863,8649911,50,135
12007,Bradford County,FL,28201,761362115,778267316,60,733405,50,41
12011,Broward County,FL,1952778,3116026236,3426078723,24663,108572033,46,8582
12015,Charlotte County,FL,188910,1764058624,2222795311,147,5227779,48,217
12017,Citrus County,FL,149657,1507142282,2002690225,124,3989942,53,450
12019,Clay County,FL,219252,1566375291,1666778190,108,5095775,49,497
12021,Collier County,FL,384902,5170431469,5969863477,3303,17910636,49,1682
12023,Columbia County,FL,71686,2065645989,2075401962,19,2324177,50,64
12027,DeSoto County,FL,38001,1649027555,1655271103,517,883839,50,92
