Location,Official AirportWebsite,State,IATA
Atlanta,Hartsfield-Jackson Atlanta International,Georgia,ATL
Anchorage,Ted Stevens Anchorage International Airport,Alaska,ANC
Austin,Austin-Bergstrom International,Texas,AUS
Baltimore,Baltimore/Washington International - BWI Airport,Maryland,BWI
Boston,Logan International Airport,Massachusetts,BOS
Charlotte,Charlotte Douglas International,North Carolina,CLT
Chicago,Chicago Midway Airport,Illinois,MDW
Chicago,Chicago O'Hare International,Illinois,ORD
Cincinnati,Cincinnati/Northern Kentucky International,Ohio,CVG
Cleveland,Cleveland Hopkins International,Ohio,CLE
Columbus,Port Columbus International,Ohio,CMH
Dallas,Dallas/Ft. Worth International - DFW Airport,Texas,DFW
Denver,Denver International Airport,Colorado,DEN
Detroit,Detroit Metropolitan Wayne County Airport,Michigan,DTW
Fort Lauderdale,Fort Lauderdale/Hollywood International,Florida,FLL
Fort Myers,Southwest Florida International,Florida,RSW
Hartford,Bradley International,Connecticut,BDL
Honolulu,Hawaii Honolulu International,Hawaii,HNL
Houston,George Bush Intercontinental,Texas,IAH
Houston,William P. Hobby Airport,Texas,HOU
Indianapolis,Indianapolis International,Indiana,IND
Kansas City,Kansas City International,Missouri,MCI
Las Vegas,McCarran International,Nevada,LAS
Los Angeles,Los Angeles International - LAX Airport,California,LAX
Memphis,Memphis International,Tennessee,MEM
Miami,Miami International Airport,Florida,MIA
Minneapolis,Minneapolis/St. Paul International,Minnesota,MSP
Nashville,Nashville International,Tennessee,BNA
New Orleans,Louis Armstrong International,Louisiana,MSY
New York,John F. Kennedy International,New York,JFK
New York,LaGuardia International,New York,LGA
Newark,Newark Liberty International,New Jersey,EWR
Oakland,Metropolitan Oakland International,California,OAK
Ontario,Ontario International,California,ONT
Orlando,Orlando International,Florida,MCO
Philadelphia,Philadelphia International,Pennsylvania,PHL
Phoenix,Sky Harbor International,Arizona,PHX
Pittsburgh,Pittsburgh International,Pennsylvania,PIT
Portland,Portland International,Oregon,PDX
Raleigh-Durham,Raleigh-Durham International,North Carolina,RDU
Sacramento,Sacramento International,California,SMF
Salt Lake City,Salt Lake City International,Utah,SLC
San Antonio,San Antonio International,Texas,SAT
San Diego,Lindbergh Field International,California,SAN
San Francisco,San Francisco International,California,SFO
San Jose,Mineta San José International,California,SJC
Santa Ana,"John Wayne Airport, Orange County",California,SNA
Seattle,Seattle-Tacoma International - Seatac Airport,Washington,SEA
St. Louis,Lambert-St. Louis International,Missouri,STL
Tampa,Tampa International,Florida,TPA
Washington D.C.,Dulles International Airport,Washington D.C.,IAD
Washington D.C.,Ronald Reagan Washington National,Washington D.C.,DCA
